,MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,filename,RelativeTime,poke_int,Errors,Nighttime,RelativeTime2,Retrieval_Time_filt,Errors_binned,Successes_binned,NewRT,active_bias
0.0,2020-06-08 18:49:00,0.0,3.71,3.0,1.0,Poke,Left,20.0,8.0,20.0,NaN,FED1.CSV,0 days 03:54:00,0 days 02:22:00,1.0,0.0,14040.0,NaN,NaN,NaN,0.0,NaN
4.0,2020-06-08 22:36:00,0.0,3.69,3.0,1.0,Poke,Left,45.0,16.0,45.0,NaN,FED1.CSV,0 days 07:41:00,0 days 00:46:00,1.0,1.0,27660.0,NaN,8.0,25.0,4.0,75.75757575757575
8.0,2020-06-09 02:14:00,0.0,3.67,3.0,1.0,Poke,Left,54.0,24.0,54.0,NaN,FED1.CSV,0 days 11:19:00,0 days 01:19:00,1.0,1.0,40740.0,NaN,8.0,9.0,8.0,52.94117647058824
12.0,2020-06-09 06:49:00,0.0,3.66,2.0,1.0,Poke,Left,60.0,32.0,60.0,NaN,FED1.CSV,0 days 15:54:00,0 days 01:17:00,1.0,1.0,57240.0,NaN,8.0,6.0,12.0,42.857142857142854
16.0,2020-06-09 10:40:00,0.0,3.66,3.0,1.0,Poke,Left,70.0,41.0,70.0,NaN,FED1.CSV,0 days 19:45:00,0 days 01:25:00,1.0,0.0,71100.0,NaN,9.0,10.0,16.0,52.63157894736842
20.0,2020-06-09 13:37:00,0.0,3.65,3.0,1.0,Poke,Left,72.0,45.0,72.0,NaN,FED1.CSV,0 days 22:42:00,0 days 02:34:00,1.0,0.0,81720.0,NaN,4.0,2.0,20.0,33.33333333333333
24.0,2020-06-09 18:48:00,0.0,3.64,20.0,1.0,Poke,Left,94.0,66.0,94.0,NaN,FED1.CSV,1 days 03:53:00,0 days 01:56:00,1.0,0.0,100380.0,NaN,21.0,22.0,24.0,51.162790697674424
28.0,2020-06-09 22:43:00,0.0,3.64,9.0,1.0,Poke,Left,116.0,84.0,116.0,NaN,FED1.CSV,1 days 07:48:00,0 days 00:29:00,1.0,1.0,114480.0,NaN,18.0,22.0,28.0,55.00000000000001
32.0,2020-06-10 02:40:00,0.0,3.63,22.0,1.0,Poke,Left,136.0,93.0,136.0,NaN,FED1.CSV,1 days 11:45:00,0 days 00:42:00,1.0,1.0,128700.0,NaN,9.0,20.0,32.0,68.96551724137932
36.0,2020-06-10 06:54:00,0.0,3.62,20.0,1.0,Poke,Left,153.0,101.0,150.0,NaN,FED1.CSV,1 days 15:59:00,0 days 00:37:00,1.0,1.0,143940.0,NaN,8.0,17.0,36.0,68.0
40.0,2020-06-10 10:21:00,0.0,3.62,21.0,1.0,Poke,Left,162.0,106.0,160.0,NaN,FED1.CSV,1 days 19:26:00,0 days 01:29:00,1.0,0.0,156360.0,NaN,5.0,9.0,40.0,64.28571428571429
44.0,2020-06-10 14:25:00,0.0,3.61,3.0,1.0,Poke,Left,170.0,110.0,168.0,NaN,FED1.CSV,1 days 23:30:00,0 days 00:57:00,1.0,0.0,171000.0,NaN,4.0,8.0,44.0,66.66666666666666
