MM:DD:YYYY hh:mm:ss,LibaryVersion,Sessiontype,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
1/29/2021 16:01:01,1.1.4,ProRat2,2,4.20,0,1,Left,Left,1,0,0,0,nan,0.24
1/29/2021 16:01:15,1.1.4,ProRat2,2,4.20,0,1,Pellet,Left,1,0,1,1,6.56,nan
1/29/2021 16:01:52,1.1.4,ProRat2,2,4.20,0,1,Left,Left,2,0,1,1,nan,0.02
1/29/2021 16:01:55,1.1.4,ProRat2,2,4.20,0,1,Pellet,Left,2,0,2,2,1.53,nan
1/29/2021 16:07:32,1.1.4,ProRat2,2,4.20,0,2,Right,Left,2,1,2,2,nan,0.22
1/29/2021 16:14:20,1.1.4,ProRat2,2,4.20,0,2,Right,Left,2,2,2,2,nan,0.16
1/29/2021 16:14:56,1.1.4,ProRat2,2,4.20,0,2,Right,Left,2,3,2,2,nan,0.10
1/29/2021 16:15:18,1.1.4,ProRat2,2,4.20,0,2,Left,Left,3,3,2,2,nan,0.44
1/29/2021 16:18:29,1.1.4,ProRat2,2,4.20,0,2,Right,Left,3,4,2,2,nan,0.13
1/29/2021 16:18:35,1.1.4,ProRat2,2,4.20,0,2,Left,Left,4,4,2,2,nan,0.28
1/29/2021 16:18:38,1.1.4,ProRat2,2,4.20,0,2,Pellet,Left,4,4,3,3,0.06,nan
1/29/2021 16:21:26,1.1.4,ProRat2,2,4.20,0,2,Right,Left,4,5,3,3,nan,0.02
1/29/2021 16:22:04,1.1.4,ProRat2,2,4.20,0,2,Left,Left,5,5,3,3,nan,0.36
1/29/2021 16:23:06,1.1.4,ProRat2,2,4.20,0,2,Left,Left,6,5,3,3,nan,0.06
1/29/2021 16:23:08,1.1.4,ProRat2,2,4.20,0,2,Pellet,Left,6,5,4,4,0.31,nan
1/29/2021 16:23:45,1.1.4,ProRat2,2,4.20,0,3,Left,Left,7,5,4,4,nan,0.41
1/29/2021 16:24:18,1.1.4,ProRat2,2,4.20,0,3,Left,Left,8,5,4,4,nan,0.28
1/29/2021 16:28:44,1.1.4,ProRat2,2,4.20,0,3,Left,Left,9,5,4,4,nan,0.30
1/29/2021 16:28:49,1.1.4,ProRat2,2,4.20,0,3,Pellet,Left,9,5,5,5,0.73,nan
1/29/2021 16:32:45,1.1.4,ProRat2,2,4.20,0,4,Left,Left,10,5,5,5,nan,0.15
1/29/2021 16:38:48,1.1.4,ProRat2,2,4.20,0,4,Left,Left,11,5,5,5,nan,0.32
1/29/2021 16:41:52,1.1.4,ProRat2,2,4.20,0,4,Right,Left,11,6,5,5,nan,0.01
1/29/2021 16:43:28,1.1.4,ProRat2,2,4.20,0,4,Right,Left,11,7,5,5,nan,1.00
1/29/2021 16:43:31,1.1.4,ProRat2,2,4.20,0,4,Right,Left,11,8,5,5,nan,0.15
1/29/2021 16:43:33,1.1.4,ProRat2,2,4.20,0,4,Right,Left,11,9,5,5,nan,0.21
1/29/2021 16:43:38,1.1.4,ProRat2,2,4.20,0,4,Left,Left,12,9,5,5,nan,0.31
1/29/2021 16:43:40,1.1.4,ProRat2,2,4.20,0,4,Left,Left,13,9,5,5,nan,0.44
1/29/2021 16:43:41,1.1.4,ProRat2,2,4.20,0,4,Pellet,Left,13,9,6,6,0.12,nan
1/29/2021 16:45:35,1.1.4,ProRat2,2,4.20,0,5,Left,Left,14,9,6,6,nan,0.07
1/29/2021 16:45:36,1.1.4,ProRat2,2,4.20,0,5,Left,Left,15,9,6,6,nan,0.00
1/29/2021 16:45:39,1.1.4,ProRat2,2,4.20,0,5,Left,Left,16,9,6,6,nan,0.56
1/29/2021 16:45:43,1.1.4,ProRat2,2,4.20,0,5,Left,Left,17,9,6,6,nan,0.54
1/29/2021 16:45:46,1.1.4,ProRat2,2,4.20,0,5,Left,Left,18,9,6,6,nan,0.00
1/29/2021 16:45:48,1.1.4,ProRat2,2,4.20,0,5,Pellet,Left,18,9,7,7,0.43,nan
1/29/2021 16:46:49,1.1.4,ProRat2,2,4.20,0,6,Left,Left,19,9,7,7,nan,1.11
1/29/2021 16:46:50,1.1.4,ProRat2,2,4.20,0,6,Left,Left,20,9,7,7,nan,0.00
1/29/2021 16:46:51,1.1.4,ProRat2,2,4.20,0,6,Left,Left,21,9,7,7,nan,0.00
1/29/2021 16:46:52,1.1.4,ProRat2,2,4.20,0,6,Left,Left,22,9,7,7,nan,0.05
1/29/2021 16:46:53,1.1.4,ProRat2,2,4.20,0,6,Left,Left,23,9,7,7,nan,0.01
1/29/2021 16:46:54,1.1.4,ProRat2,2,4.20,0,6,Left,Left,24,9,7,7,nan,0.59
1/29/2021 16:46:56,1.1.4,ProRat2,2,4.20,0,6,Pellet,Left,24,9,8,8,0.55,nan
1/29/2021 16:47:24,1.1.4,ProRat2,2,4.20,0,7,Left,Left,25,9,8,8,nan,0.62
1/29/2021 16:47:30,1.1.4,ProRat2,2,4.20,0,7,Left,Left,26,9,8,8,nan,1.32
1/29/2021 16:47:32,1.1.4,ProRat2,2,4.20,0,7,Left,Left,27,9,8,8,nan,0.00
1/29/2021 16:47:33,1.1.4,ProRat2,2,4.20,0,7,Left,Left,28,9,8,8,nan,0.09
1/29/2021 16:47:59,1.1.4,ProRat2,2,4.20,0,7,Right,Left,28,10,8,8,nan,0.00
1/29/2021 16:48:09,1.1.4,ProRat2,2,4.20,0,7,Left,Left,29,10,8,8,nan,0.00
1/29/2021 16:49:27,1.1.4,ProRat2,2,4.20,0,7,Left,Left,30,10,8,8,nan,0.60
1/29/2021 16:50:02,1.1.4,ProRat2,2,4.20,0,7,Left,Left,31,10,8,8,nan,0.13
1/29/2021 16:50:04,1.1.4,ProRat2,2,4.20,0,7,Pellet,Left,31,10,9,9,0.43,nan
1/29/2021 16:50:27,1.1.4,ProRat2,2,4.20,0,9,Left,Left,32,10,9,9,nan,0.45
1/29/2021 16:51:55,1.1.4,ProRat2,2,4.20,0,9,Left,Left,33,10,9,9,nan,0.10
1/29/2021 16:51:58,1.1.4,ProRat2,2,4.20,0,9,Left,Left,34,10,9,9,nan,0.36
1/29/2021 16:52:02,1.1.4,ProRat2,2,4.20,0,9,Right,Left,34,11,9,9,nan,0.53
1/29/2021 16:52:13,1.1.4,ProRat2,2,4.20,0,9,Left,Left,35,11,9,9,nan,0.39
1/29/2021 17:00:16,1.1.4,ProRat2,2,4.20,0,9,Left,Left,36,11,9,9,nan,0.47
1/29/2021 17:07:01,1.1.4,ProRat2,2,4.20,0,9,Left,Left,37,11,9,9,nan,0.38
1/29/2021 17:07:04,1.1.4,ProRat2,2,4.20,0,9,Left,Left,38,11,9,9,nan,0.54
1/29/2021 17:07:08,1.1.4,ProRat2,2,4.20,0,9,Left,Left,39,11,9,9,nan,0.07
1/29/2021 17:07:09,1.1.4,ProRat2,2,4.20,0,9,Left,Left,40,11,9,9,nan,0.00
1/29/2021 17:07:41,1.1.4,ProRat2,2,4.20,0,9,Pellet,Left,40,11,10,10,25.96,nan
1/29/2021 17:08:48,1.1.4,ProRat2,2,4.20,0,10,Left,Left,41,11,10,10,nan,0.00
1/29/2021 17:08:49,1.1.4,ProRat2,2,4.20,0,10,Left,Left,42,11,10,10,nan,0.20
1/29/2021 17:08:52,1.1.4,ProRat2,2,4.20,0,10,Left,Left,43,11,10,10,nan,0.45
1/29/2021 17:08:56,1.1.4,ProRat2,2,4.20,0,10,Right,Left,43,12,10,10,nan,0.31
1/29/2021 17:10:55,1.1.4,ProRat2,2,4.20,0,10,Left,Left,44,12,10,10,nan,0.31
1/29/2021 17:11:44,1.1.4,ProRat2,2,4.20,0,10,Right,Left,44,13,10,10,nan,0.00
1/29/2021 17:56:41,1.1.4,ProRat2,2,4.20,0,1,Right,Left,44,14,10,0,nan,0.45
1/29/2021 17:57:56,1.1.4,ProRat2,2,4.20,0,1,Right,Left,44,15,10,0,nan,0.21
1/29/2021 17:59:58,1.1.4,ProRat2,2,4.20,0,1,Right,Left,44,16,10,0,nan,0.57
1/29/2021 18:00:22,1.1.4,ProRat2,2,4.20,0,1,Right,Left,44,17,10,0,nan,0.24
1/29/2021 18:06:29,1.1.4,ProRat2,2,4.20,0,1,Left,Left,45,17,10,0,nan,0.05
1/29/2021 18:06:31,1.1.4,ProRat2,2,4.20,0,1,Pellet,Left,45,17,11,1,0.18,nan
1/29/2021 18:07:05,1.1.4,ProRat2,2,4.20,0,1,Left,Left,46,17,11,1,nan,1.22
1/29/2021 18:07:07,1.1.4,ProRat2,2,4.20,0,1,Pellet,Left,46,17,12,2,0.18,nan
1/29/2021 18:07:34,1.1.4,ProRat2,2,4.20,0,2,Left,Left,47,17,12,2,nan,0.00
1/29/2021 18:07:37,1.1.4,ProRat2,2,4.20,0,2,Left,Left,48,17,12,2,nan,0.56
1/29/2021 18:08:02,1.1.4,ProRat2,2,4.20,0,2,Pellet,Left,48,17,13,3,20.12,nan
1/29/2021 18:08:30,1.1.4,ProRat2,2,4.20,0,2,Left,Left,49,17,13,3,nan,0.83
1/29/2021 18:08:32,1.1.4,ProRat2,2,4.20,0,2,Left,Left,50,17,13,3,nan,0.00
1/29/2021 18:08:34,1.1.4,ProRat2,2,4.20,0,2,Pellet,Left,50,17,14,4,0.06,nan
1/29/2021 18:09:05,1.1.4,ProRat2,2,4.20,0,3,Left,Left,51,17,14,4,nan,0.71
1/29/2021 18:09:07,1.1.4,ProRat2,2,4.20,0,3,Left,Left,52,17,14,4,nan,0.00
1/29/2021 18:09:09,1.1.4,ProRat2,2,4.20,0,3,Left,Left,53,17,14,4,nan,1.61
1/29/2021 18:09:11,1.1.4,ProRat2,2,4.20,0,3,Pellet,Left,53,17,15,5,0.18,nan
