,MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Target_Sequence,Mouse_Sequence,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,filename,RelativeTime,Errors
0,2019-09-24 14:01:00,1,3.72,1448297262,R,NaN,1,0,0,0,g_8_FED001_092419_05.CSV,0 days 00:00:00,NaN
1,2019-09-24 14:09:00,1,3.72,0,R,NaN,1,1,0,0,g_8_FED001_092419_05.CSV,0 days 00:08:00,1.0
2,2019-09-24 14:11:00,1,3.72,0,R,NaN,1,2,1,0,g_8_FED001_092419_05.CSV,0 days 00:10:00,1.0
3,2019-09-24 14:11:00,1,3.72,0,R,NaN,1,3,2,0,g_8_FED001_092419_05.CSV,0 days 00:10:00,1.0
4,2019-09-24 14:11:00,1,3.72,0,R,NaN,1,4,3,0,g_8_FED001_092419_05.CSV,0 days 00:10:00,1.0
5,2019-09-24 14:12:00,1,3.72,0,R,NaN,1,5,4,0,g_8_FED001_092419_05.CSV,0 days 00:11:00,1.0
6,2019-09-24 14:12:00,1,3.72,0,R,NaN,1,6,5,0,g_8_FED001_092419_05.CSV,0 days 00:11:00,1.0
7,2019-09-24 14:13:00,1,3.72,0,R,NaN,1,7,6,0,g_8_FED001_092419_05.CSV,0 days 00:12:00,1.0
8,2019-09-24 14:13:00,1,3.72,0,R,NaN,2,7,7,0,g_8_FED001_092419_05.CSV,0 days 00:12:00,0.0
9,2019-09-24 14:27:00,1,3.72,0,R,NaN,3,7,7,0,g_8_FED001_092419_05.CSV,0 days 00:26:00,0.0
10,2019-09-24 14:27:00,1,3.72,0,R,NaN,4,7,7,0,g_8_FED001_092419_05.CSV,0 days 00:26:00,0.0
11,2019-09-24 14:27:00,1,3.72,0,R,NaN,5,7,7,0,g_8_FED001_092419_05.CSV,0 days 00:26:00,0.0
12,2019-09-24 14:27:00,1,3.72,0,R,NaN,6,7,7,0,g_8_FED001_092419_05.CSV,0 days 00:26:00,0.0
13,2019-09-24 14:27:00,1,3.72,0,R,NaN,7,7,7,0,g_8_FED001_092419_05.CSV,0 days 00:26:00,0.0
14,2019-09-24 14:28:00,1,3.72,0,R,NaN,7,8,7,0,g_8_FED001_092419_05.CSV,0 days 00:27:00,1.0
15,2019-09-24 14:28:00,1,3.72,0,R,NaN,7,9,8,0,g_8_FED001_092419_05.CSV,0 days 00:27:00,1.0
16,2019-09-24 14:30:00,1,3.72,0,R,NaN,8,9,9,0,g_8_FED001_092419_05.CSV,0 days 00:29:00,0.0
17,2019-09-24 14:30:00,1,3.72,0,R,NaN,8,10,9,0,g_8_FED001_092419_05.CSV,0 days 00:29:00,1.0
18,2019-09-24 14:31:00,1,3.72,0,R,NaN,8,11,10,0,g_8_FED001_092419_05.CSV,0 days 00:30:00,1.0
19,2019-09-24 14:33:00,1,3.72,0,R,NaN,9,11,11,0,g_8_FED001_092419_05.CSV,0 days 00:32:00,0.0
20,2019-09-24 14:33:00,1,3.72,0,R,NaN,9,12,11,0,g_8_FED001_092419_05.CSV,0 days 00:32:00,1.0
21,2019-09-24 14:34:00,1,3.72,0,R,NaN,9,13,12,0,g_8_FED001_092419_05.CSV,0 days 00:33:00,1.0
