,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,filename,group,sex,MM:DD:YYYY hh:mm:ss,RelativeTime,Errors,Mouse,MotorTurns,RelativeTime2,Retrieval_Time_filt,count,Retrieval_Time_filt_count,Retrieval_Time_filt_sum,Retrieval_Time_filt_percent,Errors_binned,Successes_binned,NewRT,active_bias,active_bias_percent
0.0,1.0,2.0,1.0,299.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-28 18:57:00,0 days 03:58:00,1.0,NaN,NaN,14280.0,NaN,12811.0,0.0,5474.0,0.4273891317926296,2.0,1.0,4.0,0.3333333333333333,33.33333333333333
4.0,47.0,19.0,47.0,529.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-28 22:58:00,0 days 07:59:00,1.0,NaN,NaN,28740.0,10.0,12920.0,1.0,5514.0,0.4272556977833281,17.0,46.0,8.0,0.7301587301587301,73.01587301587301
8.0,72.0,23.0,72.0,354.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-29 00:16:00,0 days 09:17:00,1.0,NaN,NaN,33420.0,4.0,12974.0,1.0,5534.0,0.4268160741885626,4.0,25.0,12.0,0.8620689655172413,86.20689655172413
12.0,105.0,34.0,105.0,33.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-29 05:40:00,0 days 14:41:00,1.0,NaN,NaN,52860.0,3.0,13051.0,1.0,5561.0,0.42662457653218355,11.0,33.0,16.0,0.75,75.0
16.0,120.0,37.0,120.0,23.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-29 09:21:00,0 days 18:22:00,1.0,NaN,NaN,66120.0,6.0,13084.0,1.0,5574.0,0.4261241970021413,3.0,15.0,20.0,0.8333333333333334,83.33333333333334
20.0,145.0,37.0,145.0,7.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-29 13:09:00,0 days 22:10:00,0.0,NaN,NaN,79800.0,7.0,13134.0,1.0,5599.0,0.42629815745393634,0.0,25.0,24.0,1.0,100.0
0.0,0.0,2.0,0.0,NaN,AMY_2M_FR1_sucrose_CvS.CSV,A,m,2020-01-28 23:09:44,0 days 03:03:01,1.0,NaN,NaN,10981.0,NaN,13568.0,0.0,5681.0,0.4187366403773863,2.0,0.0,4.0,0.0,0.0
4.0,0.0,3.0,0.0,NaN,AMY_2M_FR1_sucrose_CvS.CSV,A,m,2020-01-29 03:13:21,0 days 07:06:38,1.0,NaN,NaN,25598.0,NaN,13569.0,0.0,5681.0,0.4186749207752966,1.0,0.0,8.0,0.0,0.0
8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0,NaN,NaN
12.0,0.0,11.0,0.0,NaN,AMY_2M_FR1_sucrose_CvS.CSV,A,m,2020-01-29 11:46:33,0 days 15:39:50,1.0,NaN,NaN,56390.0,NaN,13577.0,0.0,5681.0,0.4186440677966102,NaN,NaN,16.0,NaN,NaN
0.0,0.0,7.0,0.0,NaN,AMY_3F_FR1_chow_CvS.CSV,A,m,2020-02-21 20:36:30,0 days 03:55:07,1.0,NaN,NaN,14107.0,NaN,13968.0,0.0,5764.0,0.412834837415843,7.0,0.0,4.0,0.0,0.0
