MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/15/2113 2:37:23,0,4.21,0,1,Poke,Left,1,0,0,nan
7/15/2113 2:38:06,0,4.22,2,1,Pellet,Left,1,0,1,34
7/15/2113 2:39:56,0,4.22,0,1,Poke,Left,2,0,1,nan
7/15/2113 2:40:01,0,4.22,1,1,Pellet,Left,2,0,2,3
7/15/2113 2:43:37,0,4.22,0,1,Poke,Left,3,0,2,nan
7/15/2113 2:43:40,0,4.22,1,1,Pellet,Left,3,0,3,1
7/15/2113 3:39:12,0,4.22,0,1,Poke,Left,4,0,3,nan
7/15/2113 3:39:24,0,4.21,2,1,Pellet,Left,4,0,4,5
7/15/2113 4:24:46,0,4.21,0,1,Poke,Left,5,0,4,nan
7/15/2113 4:24:48,0,4.21,1,1,Pellet,Left,5,0,5,0
7/15/2113 4:25:09,0,4.21,0,1,Poke,Left,6,0,5,nan
7/15/2113 4:25:27,0,4.20,2,1,Pellet,Left,6,0,6,10
7/15/2113 4:26:15,0,4.20,0,1,Poke,Left,7,0,6,nan
7/15/2113 4:26:18,0,4.20,1,1,Pellet,Left,7,0,7,0
7/15/2113 4:26:35,0,4.20,0,1,Poke,Left,8,0,7,nan
7/15/2113 4:26:49,0,4.20,2,1,Pellet,Left,8,0,8,6
7/15/2113 4:27:13,0,4.20,0,1,Poke,Left,9,0,8,nan
7/15/2113 4:27:30,0,4.20,2,1,Pellet,Left,9,0,9,9
7/15/2113 4:28:01,0,4.20,0,1,Poke,Left,10,0,9,nan
7/15/2113 4:28:12,0,4.20,2,1,Pellet,Left,10,0,10,3
7/15/2113 4:28:37,0,4.20,0,1,Poke,Left,11,0,10,nan
7/15/2113 4:28:55,0,4.20,2,1,Pellet,Left,11,0,11,9
7/15/2113 4:29:30,0,4.20,0,1,Poke,Left,12,0,11,nan
7/15/2113 4:29:34,0,4.20,1,1,Pellet,Left,12,0,12,2
7/15/2113 5:40:08,0,4.20,0,1,Poke,Left,13,0,12,nan
7/15/2113 5:40:11,0,4.20,1,1,Pellet,Left,13,0,13,0
7/15/2113 5:50:25,0,4.20,0,1,Poke,Left,13,1,13,nan
7/15/2113 5:50:38,0,4.20,0,1,Poke,Left,14,1,13,nan
7/15/2113 5:50:40,0,4.20,1,1,Pellet,Left,14,1,14,0
7/15/2113 5:54:48,0,4.20,0,1,Poke,Left,15,1,14,nan
7/15/2113 5:54:51,0,4.20,1,1,Pellet,Left,15,1,15,1
7/15/2113 5:55:19,0,4.20,0,1,Poke,Left,16,1,15,nan
7/15/2113 5:55:31,0,4.19,2,1,Pellet,Left,16,1,16,4
7/15/2113 5:55:54,0,4.19,0,1,Poke,Left,17,1,16,nan
7/15/2113 5:55:57,0,4.19,1,1,Pellet,Left,17,1,17,0
7/15/2113 6:13:55,0,4.19,0,1,Poke,Left,17,2,17,nan
7/15/2113 6:14:38,0,4.19,0,1,Poke,Left,18,2,17,nan
7/15/2113 6:14:40,0,4.19,1,1,Pellet,Left,18,2,18,1
7/15/2113 6:15:57,0,4.19,0,1,Poke,Left,19,2,18,nan
7/15/2113 6:16:00,0,4.19,1,1,Pellet,Left,19,2,19,1
7/15/2113 6:26:11,0,4.19,0,1,Poke,Left,20,2,19,nan
7/15/2113 6:26:22,0,4.18,2,1,Pellet,Left,20,2,20,3
7/15/2113 6:26:46,0,4.18,0,1,Poke,Left,21,2,20,nan
7/15/2113 6:26:49,0,4.18,1,1,Pellet,Left,21,2,21,1
7/15/2113 6:26:59,0,4.18,0,1,Poke,Left,22,2,21,nan
7/15/2113 6:27:13,0,4.18,2,1,Pellet,Left,22,2,22,6
7/15/2113 6:27:54,0,4.18,0,1,Poke,Left,23,2,22,nan
7/15/2113 6:28:05,0,4.18,2,1,Pellet,Left,23,2,23,2
7/15/2113 6:31:42,0,4.18,0,1,Poke,Left,24,2,23,nan
7/15/2113 6:31:46,0,4.18,1,1,Pellet,Left,24,2,24,1
7/15/2113 6:50:22,0,4.18,0,1,Poke,Left,24,3,24,nan
7/15/2113 6:52:43,0,4.18,0,1,Poke,Left,25,3,24,nan
7/15/2113 6:52:55,0,4.18,2,1,Pellet,Left,25,3,25,4
7/15/2113 6:53:32,0,4.18,0,1,Poke,Left,26,3,25,nan
7/15/2113 6:53:44,0,4.18,2,1,Pellet,Left,26,3,26,5
7/15/2113 6:54:04,0,4.18,0,1,Poke,Left,27,3,26,nan
7/15/2113 6:54:14,0,4.18,2,1,Pellet,Left,27,3,27,7
7/15/2113 6:54:38,0,4.18,0,1,Poke,Left,28,3,27,nan
7/15/2113 6:54:47,0,4.18,2,1,Pellet,Left,28,3,28,1
7/15/2113 7:11:48,0,4.18,0,1,Poke,Left,29,3,28,nan
7/15/2113 7:11:51,0,4.18,1,1,Pellet,Left,29,3,29,1
7/15/2113 7:12:21,0,4.18,0,1,Poke,Left,30,3,29,nan
7/15/2113 7:12:33,0,4.18,2,1,Pellet,Left,30,3,30,4
7/15/2113 7:24:35,0,4.18,0,1,Poke,Left,31,3,30,nan
7/15/2113 7:25:25,0,4.18,2,1,Pellet,Left,31,3,31,43
7/15/2113 7:26:13,0,4.18,0,1,Poke,Left,32,3,31,nan
7/15/2113 7:26:16,0,4.18,1,1,Pellet,Left,32,3,32,1
7/15/2113 7:37:21,0,4.18,0,1,Poke,Left,32,4,32,nan
7/15/2113 7:37:26,0,4.18,0,1,Poke,Left,33,4,32,nan
7/15/2113 7:37:29,0,4.18,1,1,Pellet,Left,33,4,33,1
7/15/2113 7:39:26,0,4.18,0,1,Poke,Left,33,5,33,nan
7/15/2113 7:42:07,0,4.18,0,1,Poke,Left,34,5,33,nan
7/15/2113 7:42:10,0,4.18,1,1,Pellet,Left,34,5,34,0
7/15/2113 7:53:08,0,4.18,0,1,Poke,Left,35,5,34,nan
7/15/2113 7:53:10,0,4.18,1,1,Pellet,Left,35,5,35,0
7/15/2113 7:53:27,0,4.18,0,1,Poke,Left,36,5,35,nan
7/15/2113 7:53:42,0,4.18,2,1,Pellet,Left,36,5,36,7
7/15/2113 7:54:19,0,4.18,0,1,Poke,Left,37,5,36,nan
7/15/2113 7:54:33,0,4.17,2,1,Pellet,Left,37,5,37,6
7/15/2113 7:55:02,0,4.17,0,1,Poke,Left,38,5,37,nan
7/15/2113 7:55:05,0,4.17,1,1,Pellet,Left,38,5,38,0
7/15/2113 7:55:19,0,4.17,0,1,Poke,Left,39,5,38,nan
7/15/2113 7:55:21,0,4.17,1,1,Pellet,Left,39,5,39,0
7/15/2113 7:55:34,0,4.17,0,1,Poke,Left,40,5,39,nan
7/15/2113 7:55:48,0,4.18,1,1,Pellet,Left,40,5,40,12
7/15/2113 7:56:21,0,4.18,0,1,Poke,Left,41,5,40,nan
7/15/2113 7:56:24,0,4.18,1,1,Pellet,Left,41,5,41,1
7/15/2113 8:25:57,0,4.18,0,1,Poke,Left,42,5,41,nan
7/15/2113 8:26:06,0,4.18,2,1,Pellet,Left,42,5,42,0
7/15/2113 8:26:26,0,4.18,0,1,Poke,Left,43,5,42,nan
7/15/2113 8:26:42,0,4.18,2,1,Pellet,Left,43,5,43,9
7/15/2113 8:27:14,0,4.18,0,1,Poke,Left,44,5,43,nan
7/15/2113 8:27:28,0,4.18,2,1,Pellet,Left,44,5,44,11
7/15/2113 8:27:58,0,4.18,0,1,Poke,Left,45,5,44,nan
7/15/2113 8:40:24,0,4.17,1,1,Pellet,Left,45,5,45,Timed_out
7/15/2113 9:02:49,0,4.17,0,1,Poke,Left,46,5,45,nan
7/15/2113 9:03:12,0,4.17,1,1,Pellet,Left,46,5,46,21
7/15/2113 9:49:21,0,4.17,0,1,Poke,Left,47,5,46,nan
7/15/2113 9:49:23,0,4.17,1,1,Pellet,Left,47,5,47,1
7/15/2113 9:49:44,0,4.17,0,1,Poke,Left,48,5,47,nan
7/15/2113 9:50:01,0,4.16,2,1,Pellet,Left,48,5,48,10
7/15/2113 9:50:27,0,4.16,0,1,Poke,Left,49,5,48,nan
7/15/2113 9:50:44,0,4.16,2,1,Pellet,Left,49,5,49,9
7/15/2113 9:51:12,0,4.16,0,1,Poke,Left,50,5,49,nan
7/15/2113 9:51:46,0,4.16,2,1,Pellet,Left,50,5,50,26
7/15/2113 9:52:27,0,4.16,0,1,Poke,Left,51,5,50,nan
7/15/2113 9:52:30,0,4.16,1,1,Pellet,Left,51,5,51,1
7/15/2113 10:15:59,0,4.16,0,1,Poke,Left,52,5,51,nan
7/15/2113 10:16:17,0,4.16,2,1,Pellet,Left,52,5,52,10
7/15/2113 10:16:36,0,4.16,0,1,Poke,Left,53,5,52,nan
7/15/2113 10:16:45,0,4.16,2,1,Pellet,Left,53,5,53,0
7/15/2113 10:16:59,0,4.16,0,1,Poke,Left,54,5,53,nan
7/15/2113 10:17:15,0,4.16,2,1,Pellet,Left,54,5,54,8
7/15/2113 10:17:38,0,4.16,0,1,Poke,Left,55,5,54,nan
7/15/2113 10:17:49,0,4.16,2,1,Pellet,Left,55,5,55,2
7/15/2113 10:39:10,0,4.16,0,1,Poke,Left,55,6,55,nan
7/15/2113 10:54:32,0,4.16,0,1,Poke,Left,56,6,55,nan
7/15/2113 10:54:35,0,4.16,1,1,Pellet,Left,56,6,56,1
7/15/2113 11:36:27,0,4.16,0,1,Poke,Left,57,6,56,nan
7/15/2113 11:36:30,0,4.16,1,1,Pellet,Left,57,6,57,1
7/15/2113 11:37:28,0,4.16,0,1,Poke,Left,58,6,57,nan
7/15/2113 11:37:31,0,4.16,1,1,Pellet,Left,58,6,58,0
7/15/2113 12:00:38,0,4.16,0,1,Poke,Left,59,6,58,nan
7/15/2113 12:00:55,0,4.15,2,1,Pellet,Left,59,6,59,14
7/15/2113 12:01:16,0,4.15,0,1,Poke,Left,60,6,59,nan
7/15/2113 12:01:32,0,4.14,2,1,Pellet,Left,60,6,60,8
7/15/2113 12:01:54,0,4.14,0,1,Poke,Left,61,6,60,nan
7/15/2113 12:01:57,0,4.15,1,1,Pellet,Left,61,6,61,1
7/15/2113 12:02:17,0,4.15,0,1,Poke,Left,62,6,61,nan
7/15/2113 12:02:31,0,4.15,1,1,Pellet,Left,62,6,62,11
7/15/2113 12:03:09,0,4.15,0,1,Poke,Left,63,6,62,nan
7/15/2113 12:03:31,0,4.15,2,1,Pellet,Left,63,6,63,13
7/15/2113 12:04:00,0,4.15,0,1,Poke,Left,64,6,63,nan
7/15/2113 12:04:03,0,4.15,1,1,Pellet,Left,64,6,64,1
7/15/2113 12:17:27,0,4.15,0,1,Poke,Left,65,6,64,nan
7/15/2113 12:17:31,0,4.14,1,1,Pellet,Left,65,6,65,1
7/15/2113 12:29:55,0,4.14,0,1,Poke,Left,66,6,65,nan
7/15/2113 12:30:06,0,4.14,1,1,Pellet,Left,66,6,66,8
7/15/2113 12:42:01,0,4.14,0,1,Poke,Left,66,7,66,nan
7/15/2113 12:46:40,0,4.14,0,1,Poke,Left,66,8,66,nan
7/15/2113 12:57:55,0,4.14,0,1,Poke,Left,67,8,66,nan
7/15/2113 12:57:58,0,4.14,1,1,Pellet,Left,67,8,67,1
7/15/2113 13:10:11,0,4.14,0,1,Poke,Left,68,8,67,nan
7/15/2113 13:10:14,0,4.14,1,1,Pellet,Left,68,8,68,1
7/15/2113 14:11:36,0,4.14,0,1,Poke,Left,69,8,68,nan
7/15/2113 14:11:39,0,4.14,1,1,Pellet,Left,69,8,69,1
7/15/2113 15:09:25,0,4.14,0,1,Poke,Left,69,9,69,nan
7/15/2113 15:10:18,0,4.14,0,1,Poke,Left,70,9,69,nan
7/15/2113 15:10:21,0,4.14,1,1,Pellet,Left,70,9,70,1
7/15/2113 15:12:02,0,4.14,0,1,Poke,Left,71,9,70,nan
7/15/2113 15:12:06,0,4.13,1,1,Pellet,Left,71,9,71,2
7/15/2113 15:14:13,0,4.13,0,1,Poke,Left,72,9,71,nan
7/15/2113 15:14:33,0,4.13,1,1,Pellet,Left,72,9,72,18
7/15/2113 15:14:58,0,4.13,0,1,Poke,Left,73,9,72,nan
7/15/2113 15:15:16,0,4.13,2,1,Pellet,Left,73,9,73,10
7/15/2113 15:20:46,0,4.13,0,1,Poke,Left,74,9,73,nan
7/15/2113 15:20:50,0,4.13,1,1,Pellet,Left,74,9,74,1
7/15/2113 15:31:22,0,4.13,0,1,Poke,Left,74,10,74,nan
