MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/16/2113 2:24:50,1.1.45,0,4.12,0,FR1,Poke,Left,1,0,0,nan
7/16/2113 2:26:15,1.1.45,0,4.10,3,FR1,Pellet,Left,1,0,1,67
7/16/2113 2:26:49,1.1.45,0,4.10,0,FR1,Poke,Left,1,1,1,nan
7/16/2113 2:26:51,1.1.45,0,4.10,0,FR1,Poke,Left,2,1,1,nan
7/16/2113 2:26:58,1.1.45,0,4.10,1,FR1,Pellet,Left,2,1,2,6
7/16/2113 2:27:00,1.1.45,0,4.10,0,FR1,Poke,Left,3,1,2,nan
7/16/2113 2:27:03,1.1.45,0,4.10,1,FR1,Pellet,Left,3,1,3,1
7/16/2113 2:28:03,1.1.45,0,4.10,0,FR1,Poke,Left,4,1,3,nan
7/16/2113 2:30:08,1.1.45,0,4.09,1,FR1,Pellet,Left,4,1,4,7
7/16/2113 2:30:28,1.1.45,0,4.09,0,FR1,Poke,Left,5,1,4,nan
7/16/2113 2:30:30,1.1.45,0,4.09,1,FR1,Pellet,Left,5,1,5,0
7/16/2113 2:33:07,1.1.45,0,4.09,0,FR1,Poke,Left,5,2,5,nan
7/16/2113 2:33:32,1.1.45,0,4.09,0,FR1,Poke,Left,6,2,5,nan
7/16/2113 2:37:01,1.1.45,0,4.09,1,FR1,Pellet,Left,6,2,6,71
7/16/2113 2:37:07,1.1.45,0,4.09,0,FR1,Poke,Left,6,3,6,nan
7/16/2113 2:37:46,1.1.45,0,4.09,0,FR1,Poke,Left,7,3,6,nan
7/16/2113 2:42:13,1.1.45,0,4.09,1,FR1,Pellet,Left,7,3,7,67
7/16/2113 2:44:49,1.1.45,0,4.09,0,FR1,Poke,Left,8,3,7,nan
7/16/2113 2:45:38,1.1.45,0,4.09,1,FR1,Pellet,Left,8,3,8,2
7/16/2113 2:49:44,1.1.45,0,4.09,0,FR1,Poke,Left,8,4,8,nan
7/16/2113 2:52:30,1.1.45,0,4.09,0,FR1,Poke,Left,8,5,8,nan
7/16/2113 2:54:58,1.1.45,0,4.09,0,FR1,Poke,Left,9,5,8,nan
7/16/2113 2:55:00,1.1.45,0,4.09,1,FR1,Pellet,Left,9,5,9,0
7/16/2113 2:58:00,1.1.45,0,4.09,0,FR1,Poke,Left,10,5,9,nan
7/16/2113 2:58:03,1.1.45,0,4.09,1,FR1,Pellet,Left,10,5,10,1
7/16/2113 3:04:12,1.1.45,0,4.09,0,FR1,Poke,Left,10,6,10,nan
7/16/2113 3:07:02,1.1.45,0,4.09,0,FR1,Poke,Left,11,6,10,nan
7/16/2113 3:07:05,1.1.45,0,4.09,1,FR1,Pellet,Left,11,6,11,1
7/16/2113 3:09:19,1.1.45,0,4.09,0,FR1,Poke,Left,11,7,11,nan
7/16/2113 3:09:27,1.1.45,0,4.09,0,FR1,Poke,Left,12,7,11,nan
7/16/2113 3:09:29,1.1.45,0,4.09,1,FR1,Pellet,Left,12,7,12,0
7/16/2113 3:13:09,1.1.45,0,4.09,0,FR1,Poke,Left,13,7,12,nan
7/16/2113 3:13:37,1.1.45,0,4.09,1,FR1,Pellet,Left,13,7,13,27
7/16/2113 3:14:20,1.1.45,0,4.09,0,FR1,Poke,Left,14,7,13,nan
7/16/2113 3:15:08,1.1.45,0,4.09,1,FR1,Pellet,Left,14,7,14,46
7/16/2113 3:18:13,1.1.45,0,4.09,0,FR1,Poke,Left,15,7,14,nan
7/16/2113 3:18:16,1.1.45,0,4.09,1,FR1,Pellet,Left,15,7,15,1
7/16/2113 3:23:04,1.1.45,0,4.09,0,FR1,Poke,Left,16,7,15,nan
7/16/2113 3:23:08,1.1.45,0,4.09,1,FR1,Pellet,Left,16,7,16,2
7/16/2113 3:28:51,1.1.45,0,4.09,0,FR1,Poke,Left,17,7,16,nan
7/16/2113 3:29:01,1.1.45,0,4.09,1,FR1,Pellet,Left,17,7,17,3
7/16/2113 3:31:02,1.1.45,0,4.09,0,FR1,Poke,Left,18,7,17,nan
7/16/2113 3:31:42,1.1.45,0,4.09,1,FR1,Pellet,Left,18,7,18,38
7/16/2113 3:32:06,1.1.45,0,4.09,0,FR1,Poke,Left,18,8,18,nan
7/16/2113 3:32:10,1.1.45,0,4.09,0,FR1,Poke,Left,18,9,18,nan
7/16/2113 3:33:37,1.1.45,0,4.09,0,FR1,Poke,Left,19,9,18,nan
7/16/2113 3:33:41,1.1.45,0,4.09,1,FR1,Pellet,Left,19,9,19,2
7/16/2113 3:42:14,1.1.45,0,4.09,0,FR1,Poke,Left,20,9,19,nan
7/16/2113 3:42:38,1.1.45,0,4.09,1,FR1,Pellet,Left,20,9,20,22
7/16/2113 3:45:29,1.1.45,0,4.09,0,FR1,Poke,Left,20,10,20,nan
7/16/2113 3:54:41,1.1.45,0,4.09,0,FR1,Poke,Left,20,11,20,nan
7/16/2113 3:54:44,1.1.45,0,4.09,0,FR1,Poke,Left,21,11,20,nan
7/16/2113 3:55:11,1.1.45,0,4.09,1,FR1,Pellet,Left,21,11,21,25
7/16/2113 3:55:12,1.1.45,0,4.09,0,FR1,Poke,Left,22,11,21,nan
7/16/2113 3:55:53,1.1.45,0,4.09,3,FR1,Pellet,Left,22,11,22,36
7/16/2113 4:24:43,1.1.45,0,4.09,0,FR1,Poke,Left,22,12,22,nan
7/16/2113 4:24:56,1.1.45,0,4.09,0,FR1,Poke,Left,23,12,22,nan
7/16/2113 4:25:00,1.1.45,0,4.09,1,FR1,Pellet,Left,23,12,23,2
7/16/2113 4:25:20,1.1.45,0,4.09,0,FR1,Poke,Left,24,12,23,nan
7/16/2113 4:25:22,1.1.45,0,4.09,1,FR1,Pellet,Left,24,12,24,0
7/16/2113 4:25:38,1.1.45,0,4.09,0,FR1,Poke,Left,25,12,24,nan
7/16/2113 4:25:41,1.1.45,0,4.09,1,FR1,Pellet,Left,25,12,25,1
7/16/2113 4:48:39,1.1.45,0,4.09,0,FR1,Poke,Left,26,12,25,nan
7/16/2113 4:48:41,1.1.45,0,4.09,1,FR1,Pellet,Left,26,12,26,0
7/16/2113 4:48:59,1.1.45,0,4.09,0,FR1,Poke,Left,27,12,26,nan
7/16/2113 4:49:01,1.1.45,0,4.09,1,FR1,Pellet,Left,27,12,27,1
7/16/2113 5:12:43,1.1.45,0,4.09,0,FR1,Poke,Left,28,12,27,nan
7/16/2113 5:12:45,1.1.45,0,4.09,1,FR1,Pellet,Left,28,12,28,0
7/16/2113 5:13:14,1.1.45,0,4.09,0,FR1,Poke,Left,28,13,28,nan
7/16/2113 5:13:20,1.1.45,0,4.09,0,FR1,Poke,Left,29,13,28,nan
7/16/2113 5:13:23,1.1.45,0,4.08,1,FR1,Pellet,Left,29,13,29,0
7/16/2113 5:14:35,1.1.45,0,4.08,0,FR1,Poke,Left,29,14,29,nan
7/16/2113 5:14:43,1.1.45,0,4.08,0,FR1,Poke,Left,29,15,29,nan
7/16/2113 5:14:45,1.1.45,0,4.08,0,FR1,Poke,Left,30,15,29,nan
7/16/2113 5:14:48,1.1.45,0,4.08,1,FR1,Pellet,Left,30,15,30,0
7/16/2113 5:18:16,1.1.45,0,4.08,0,FR1,Poke,Left,31,15,30,nan
7/16/2113 5:18:20,1.1.45,0,4.08,1,FR1,Pellet,Left,31,15,31,2
7/16/2113 5:29:03,1.1.45,0,4.08,0,FR1,Poke,Left,32,15,31,nan
7/16/2113 5:29:05,1.1.45,0,4.08,1,FR1,Pellet,Left,32,15,32,0
7/16/2113 5:29:25,1.1.45,0,4.08,0,FR1,Poke,Left,33,15,32,nan
7/16/2113 5:29:27,1.1.45,0,4.08,1,FR1,Pellet,Left,33,15,33,0
7/16/2113 5:29:48,1.1.45,0,4.08,0,FR1,Poke,Left,34,15,33,nan
7/16/2113 5:39:40,1.1.45,0,4.09,1,FR1,Pellet,Left,34,15,34,Timed_out
7/16/2113 5:39:47,1.1.45,0,4.09,0,FR1,Poke,Left,35,15,34,nan
7/16/2113 5:39:57,1.1.45,0,4.07,2,FR1,Pellet,Left,35,15,35,7
7/16/2113 5:40:23,1.1.45,0,4.07,0,FR1,Poke,Left,36,15,35,nan
7/16/2113 5:40:36,1.1.45,0,4.07,2,FR1,Pellet,Left,36,15,36,9
7/16/2113 5:41:04,1.1.45,0,4.07,0,FR1,Poke,Left,37,15,36,nan
7/16/2113 5:41:06,1.1.45,0,4.07,1,FR1,Pellet,Left,37,15,37,0
7/16/2113 5:42:00,1.1.45,0,4.07,0,FR1,Poke,Left,37,16,37,nan
7/16/2113 5:42:31,1.1.45,0,4.07,0,FR1,Poke,Left,38,16,37,nan
7/16/2113 5:42:34,1.1.45,0,4.08,1,FR1,Pellet,Left,38,16,38,2
7/16/2113 5:43:39,1.1.45,0,4.08,0,FR1,Poke,Left,38,17,38,nan
7/16/2113 5:44:30,1.1.45,0,4.08,0,FR1,Poke,Left,39,17,38,nan
7/16/2113 5:44:34,1.1.45,0,4.08,2,FR1,Pellet,Left,39,17,39,0
7/16/2113 5:46:18,1.1.45,0,4.08,0,FR1,Poke,Left,40,17,39,nan
7/16/2113 5:46:33,1.1.45,0,4.08,1,FR1,Pellet,Left,40,17,40,13
7/16/2113 6:00:03,1.1.45,0,4.08,0,FR1,Poke,Left,41,17,40,nan
7/16/2113 6:00:20,1.1.45,0,4.08,3,FR1,Pellet,Left,41,17,41,11
7/16/2113 6:00:38,1.1.45,0,4.08,0,FR1,Poke,Left,42,17,41,nan
7/16/2113 6:00:41,1.1.45,0,4.07,1,FR1,Pellet,Left,42,17,42,1
7/16/2113 6:00:58,1.1.45,0,4.07,0,FR1,Poke,Left,43,17,42,nan
7/16/2113 6:01:01,1.1.45,0,4.07,1,FR1,Pellet,Left,43,17,43,1
7/16/2113 6:01:50,1.1.45,0,4.07,0,FR1,Poke,Left,44,17,43,nan
7/16/2113 6:01:55,1.1.45,0,4.07,1,FR1,Pellet,Left,44,17,44,3
7/16/2113 6:02:41,1.1.45,0,4.07,0,FR1,Poke,Left,44,18,44,nan
7/16/2113 6:05:01,1.1.45,0,4.07,0,FR1,Poke,Left,45,18,44,nan
7/16/2113 6:05:03,1.1.45,0,4.08,1,FR1,Pellet,Left,45,18,45,0
7/16/2113 6:06:30,1.1.45,0,4.07,0,FR1,Poke,Left,45,19,45,nan
7/16/2113 6:19:56,1.1.45,0,4.07,0,FR1,Poke,Left,45,20,45,nan
7/16/2113 6:20:00,1.1.45,0,4.07,0,FR1,Poke,Left,46,20,45,nan
7/16/2113 6:20:04,1.1.45,0,4.07,1,FR1,Pellet,Left,46,20,46,3
7/16/2113 6:21:27,1.1.45,0,4.08,0,FR1,Poke,Left,47,20,46,nan
7/16/2113 6:26:08,1.1.45,0,4.08,1,FR1,Pellet,Left,47,20,47,Timed_out
7/16/2113 6:27:28,1.1.45,0,4.08,0,FR1,Poke,Left,48,20,47,nan
7/16/2113 6:27:32,1.1.45,0,4.07,1,FR1,Pellet,Left,48,20,48,2
