MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/26/2020 16:41:51,1.1.46,700,3.93,0,FR1,Poke,Left,1,0,0,nan
8/26/2020 16:55:53,1.1.46,700,3.91,4,FR1,Pellet,Left,1,0,1,7
8/26/2020 17:01:48,1.1.46,700,3.91,0,FR1,Poke,Left,2,0,1,nan
8/26/2020 17:01:51,1.1.46,700,3.90,1,FR1,Pellet,Left,2,0,2,1
8/26/2020 17:04:33,1.1.46,700,3.90,0,FR1,Poke,Left,3,0,2,nan
8/26/2020 17:04:37,1.1.46,700,3.91,1,FR1,Pellet,Left,3,0,3,1
8/26/2020 17:11:31,1.1.46,700,3.91,0,FR1,Poke,Left,3,1,3,nan
8/26/2020 17:13:53,1.1.46,700,3.91,0,FR1,Poke,Left,4,1,3,nan
8/26/2020 17:17:37,1.1.46,700,3.90,3,FR1,Pellet,Left,4,1,4,16
8/26/2020 17:21:09,1.1.46,700,3.90,0,FR1,Poke,Left,5,1,4,nan
8/26/2020 17:23:08,1.1.46,700,3.90,1,FR1,Pellet,Left,5,1,5,17
8/26/2020 17:23:35,1.1.46,700,3.90,0,FR1,Poke,Left,6,1,5,nan
8/26/2020 17:23:38,1.1.46,700,3.91,1,FR1,Pellet,Left,6,1,6,1
8/26/2020 17:24:15,1.1.46,700,3.90,0,FR1,Poke,Left,7,1,6,nan
8/26/2020 17:24:18,1.1.46,700,3.90,1,FR1,Pellet,Left,7,1,7,1
8/26/2020 17:24:51,1.1.46,700,3.90,0,FR1,Poke,Left,8,1,7,nan
8/26/2020 17:24:54,1.1.46,700,3.90,1,FR1,Pellet,Left,8,1,8,1
8/26/2020 17:25:27,1.1.46,700,3.90,0,FR1,Poke,Left,9,1,8,nan
8/26/2020 17:25:30,1.1.46,700,3.90,1,FR1,Pellet,Left,9,1,9,1
8/26/2020 17:26:00,1.1.46,700,3.90,0,FR1,Poke,Left,10,1,9,nan
8/26/2020 18:56:38,1.1.46,700,3.91,1,FR1,Pellet,Left,10,1,10,4
8/26/2020 18:57:19,1.1.46,700,3.91,0,FR1,Poke,Left,11,1,10,nan
8/26/2020 18:57:22,1.1.46,700,3.90,1,FR1,Pellet,Left,11,1,11,0
8/26/2020 18:57:46,1.1.46,700,3.90,0,FR1,Poke,Left,12,1,11,nan
8/26/2020 18:57:51,1.1.46,700,3.89,2,FR1,Pellet,Left,12,1,12,1
8/26/2020 18:58:15,1.1.46,700,3.89,0,FR1,Poke,Left,13,1,12,nan
8/26/2020 18:58:18,1.1.46,700,3.90,1,FR1,Pellet,Left,13,1,13,1
8/26/2020 18:58:48,1.1.46,700,3.90,0,FR1,Poke,Left,14,1,13,nan
8/26/2020 18:58:51,1.1.46,700,3.90,1,FR1,Pellet,Left,14,1,14,0
8/26/2020 18:59:22,1.1.46,700,3.90,0,FR1,Poke,Left,15,1,14,nan
8/26/2020 18:59:26,1.1.46,700,3.90,1,FR1,Pellet,Left,15,1,15,2
8/26/2020 18:59:54,1.1.46,700,3.90,0,FR1,Poke,Left,16,1,15,nan
8/26/2020 19:00:01,1.1.46,700,3.89,3,FR1,Pellet,Left,16,1,16,2
8/26/2020 19:02:29,1.1.46,700,3.89,0,FR1,Poke,Left,16,2,16,nan
8/26/2020 19:03:09,1.1.46,700,3.89,0,FR1,Poke,Left,17,2,16,nan
8/26/2020 19:03:42,1.1.46,700,3.89,2,FR1,Pellet,Left,17,2,17,30
8/26/2020 19:05:54,1.1.46,700,3.89,0,FR1,Poke,Left,18,2,17,nan
8/26/2020 19:06:44,1.1.46,700,3.89,1,FR1,Pellet,Left,18,2,18,11
8/26/2020 19:56:07,1.1.46,700,3.89,0,FR1,Poke,Left,18,3,18,nan
8/26/2020 19:56:25,1.1.46,700,3.89,0,FR1,Poke,Left,19,3,18,nan
8/26/2020 19:56:30,1.1.46,700,3.89,1,FR1,Pellet,Left,19,3,19,3
