MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/27/2020 9:29:41,5,3.74,1,FED,Pellet,Left,0,0,1,88
7/27/2020 9:31:48,5,3.74,1,FED,Pellet,Left,0,0,2,Timed_out
7/27/2020 9:35:32,5,3.74,1,FED,Pellet,Left,0,0,3,1
7/27/2020 10:49:53,5,3.74,20,FED,Pellet,Left,0,0,4,Timed_out
7/27/2020 10:49:59,5,3.74,2,FED,Pellet,Left,0,0,5,0
7/27/2020 10:50:06,5,3.73,1,FED,Pellet,Left,0,0,6,4
7/27/2020 10:50:37,5,3.73,4,FED,Pellet,Left,0,0,7,23
7/27/2020 10:50:49,5,3.74,1,FED,Pellet,Left,0,0,8,6
7/27/2020 10:51:05,5,3.74,3,FED,Pellet,Left,0,0,9,10
7/27/2020 10:51:17,5,3.73,1,FED,Pellet,Left,0,0,10,9
