MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
6/8/2020 14:18:50,0,3.95,0,1,Poke,Left,0,1,0,nan
6/8/2020 14:20:07,0,3.95,0,1,Poke,Left,0,2,0,nan
6/8/2020 14:20:50,0,3.94,0,1,Poke,Left,1,2,0,nan
6/8/2020 14:20:55,0,3.93,1,1,Pellet,Left,1,2,1,2
6/8/2020 14:21:19,0,3.94,0,1,Poke,Left,2,2,1,nan
6/8/2020 14:21:22,0,3.94,1,1,Pellet,Left,2,2,2,1
6/8/2020 14:21:42,0,3.95,0,1,Poke,Left,3,2,2,nan
6/8/2020 14:21:55,0,3.94,2,1,Pellet,Left,3,2,3,9
6/8/2020 14:22:41,0,3.95,0,1,Poke,Left,3,3,3,nan
6/8/2020 14:22:45,0,3.96,0,1,Poke,Left,3,4,3,nan
6/8/2020 14:23:23,0,3.96,0,1,Poke,Left,4,4,3,nan
6/8/2020 14:23:27,0,3.94,1,1,Pellet,Left,4,4,4,1
6/8/2020 14:23:45,0,3.95,0,1,Poke,Left,5,4,4,nan
6/8/2020 14:23:56,0,3.94,2,1,Pellet,Left,5,4,5,7
6/8/2020 14:24:20,0,3.95,0,1,Poke,Left,6,4,5,nan
6/8/2020 14:24:31,0,3.94,2,1,Pellet,Left,6,4,6,6
6/8/2020 14:25:01,0,3.96,0,1,Poke,Left,7,4,6,nan
6/8/2020 14:25:11,0,3.94,2,1,Pellet,Left,7,4,7,5
6/8/2020 14:27:58,0,3.94,0,1,Poke,Left,7,5,7,nan
6/8/2020 14:33:20,0,3.95,0,1,Poke,Left,8,5,7,nan
6/8/2020 14:33:34,0,3.94,2,1,Pellet,Left,8,5,8,10
6/8/2020 14:33:53,0,3.94,0,1,Poke,Left,9,5,8,nan
6/8/2020 14:34:05,0,3.94,2,1,Pellet,Left,9,5,9,7
6/8/2020 16:35:59,0,3.94,0,1,Poke,Left,9,6,9,nan
6/8/2020 16:36:04,0,3.94,0,1,Poke,Left,9,7,9,nan
6/8/2020 16:37:30,0,3.94,0,1,Poke,Left,10,7,9,nan
6/8/2020 16:37:34,0,3.93,1,1,Pellet,Left,10,7,10,1
6/8/2020 16:38:00,0,3.94,0,1,Poke,Left,11,7,10,nan
6/8/2020 16:38:16,0,3.93,2,1,Pellet,Left,11,7,11,11
6/8/2020 16:38:41,0,3.94,0,1,Poke,Left,11,8,11,nan
6/8/2020 16:40:01,0,3.94,0,1,Poke,Left,12,8,11,nan
6/8/2020 16:40:05,0,3.93,1,1,Pellet,Left,12,8,12,1
6/8/2020 17:38:09,0,3.94,0,1,Poke,Left,12,9,12,nan
6/8/2020 17:38:11,0,3.94,0,1,Poke,Left,12,10,12,nan
6/8/2020 17:38:12,0,3.94,0,1,Poke,Left,12,11,12,nan
6/8/2020 17:38:14,0,3.93,0,1,Poke,Left,12,12,12,nan
6/8/2020 17:38:19,0,3.93,0,1,Poke,Left,13,12,12,nan
6/8/2020 17:38:23,0,3.93,1,1,Pellet,Left,13,12,13,1
6/8/2020 17:38:37,0,3.93,0,1,Poke,Left,14,12,13,nan
6/8/2020 17:38:40,0,3.92,1,1,Pellet,Left,14,12,14,1
6/8/2020 17:39:02,0,3.94,0,1,Poke,Left,14,13,14,nan
6/8/2020 17:39:06,0,3.93,0,1,Poke,Left,14,14,14,nan
6/8/2020 17:39:10,0,3.93,0,1,Poke,Left,15,14,14,nan
6/8/2020 17:39:23,0,3.92,2,1,Pellet,Left,15,14,15,8
6/8/2020 17:41:19,0,3.93,0,1,Poke,Left,16,14,15,nan
6/8/2020 17:41:23,0,3.93,1,1,Pellet,Left,16,14,16,1
6/8/2020 17:41:47,0,3.93,0,1,Poke,Left,17,14,16,nan
6/8/2020 17:42:00,0,3.93,2,1,Pellet,Left,17,14,17,7
