MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
1/28/2020 20:06:43,0,3.90,0,1,Poke,Left,0,1,0,nan
1/28/2020 23:09:44,0,3.89,0,1,Poke,Left,0,2,0,nan
1/29/2020 3:13:21,0,3.86,0,1,Poke,Left,0,3,0,nan
1/29/2020 8:13:49,0,3.83,0,1,Poke,Left,0,4,0,nan
1/29/2020 11:45:06,0,3.81,0,1,Poke,Left,0,5,0,nan
1/29/2020 11:46:04,0,3.82,0,1,Poke,Left,0,6,0,nan
1/29/2020 11:46:06,0,3.81,0,1,Poke,Left,0,7,0,nan
1/29/2020 11:46:17,0,3.82,0,1,Poke,Left,0,8,0,nan
1/29/2020 11:46:24,0,3.82,0,1,Poke,Left,0,9,0,nan
1/29/2020 11:46:30,0,3.82,0,1,Poke,Left,0,10,0,nan
1/29/2020 11:46:33,0,3.82,0,1,Poke,Left,0,11,0,nan
