MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/21/2020 16:26,50,4.22,0,1,Poke,Left,1,0,0,0
2/21/2020 16:26,50,4.22,2,1,Pellet,Left,1,0,1,3
2/21/2020 16:42,50,4.23,0,1,Poke,Left,2,0,1,nan
2/21/2020 16:42,50,4.22,2,1,Pellet,Left,2,0,2,5
2/21/2020 16:46,50,4.22,0,1,Poke,Left,2,1,2,nan
2/21/2020 17:12,50,4.22,0,1,Poke,Left,3,1,2,nan
2/21/2020 17:12,50,4.22,4,1,Pellet,Left,3,1,3,6
2/21/2020 18:08,50,4.2,0,1,Poke,Left,3,2,3,nan
2/21/2020 18:08,50,4.2,0,1,Poke,Left,4,2,3,nan
2/21/2020 18:08,50,4.2,2,1,Pellet,Left,4,2,4,1
2/21/2020 18:59,50,4.2,0,1,Poke,Left,5,2,4,nan
2/21/2020 18:59,50,4.2,2,1,Pellet,Left,5,2,5,2
2/21/2020 19:00,50,4.19,0,1,Poke,Left,6,2,5,nan
2/21/2020 19:00,50,4.19,2,1,Pellet,Left,6,2,6,1
2/21/2020 19:01,50,4.2,0,1,Poke,Left,6,3,6,nan
2/21/2020 19:01,50,4.19,0,1,Poke,Left,6,4,6,nan
2/21/2020 19:05,50,4.2,0,1,Poke,Left,7,4,6,nan
2/21/2020 19:05,50,4.18,4,1,Pellet,Left,7,4,7,9
2/21/2020 19:06,50,4.2,0,1,Poke,Left,8,4,7,nan
2/21/2020 19:06,50,4.18,2,1,Pellet,Left,8,4,8,1
2/21/2020 19:07,50,4.19,0,1,Poke,Left,9,4,8,nan
2/21/2020 19:07,50,4.19,2,1,Pellet,Left,9,4,9,2
2/21/2020 19:07,50,4.2,0,1,Poke,Left,10,4,9,nan
2/21/2020 19:07,50,4.19,4,1,Pellet,Left,10,4,10,7
2/21/2020 19:08,50,4.19,0,1,Poke,Left,11,4,10,nan
2/21/2020 19:08,50,4.19,2,1,Pellet,Left,11,4,11,1
2/21/2020 19:09,50,4.19,0,1,Poke,Left,12,4,11,nan
2/21/2020 19:09,50,4.19,2,1,Pellet,Left,12,4,12,1
2/21/2020 19:11,50,4.19,0,1,Poke,Left,13,4,12,nan
2/21/2020 19:11,50,4.18,2,1,Pellet,Left,13,4,13,1
2/21/2020 20:30,50,4.18,0,1,Poke,Left,14,4,13,nan
2/21/2020 20:44,50,4.18,2,1,Pellet,Left,14,4,14,761
2/21/2020 20:45,50,4.18,0,1,Poke,Left,15,4,14,nan
2/21/2020 20:45,50,4.18,2,1,Pellet,Left,15,4,15,1
2/21/2020 20:49,50,4.18,0,1,Poke,Left,16,4,15,nan
2/21/2020 20:49,50,4.18,2,1,Pellet,Left,16,4,16,1
2/21/2020 20:50,50,4.18,0,1,Poke,Left,17,4,16,nan
2/21/2020 20:50,50,4.17,2,1,Pellet,Left,17,4,17,2
2/21/2020 20:50,50,4.18,0,1,Poke,Left,18,4,17,nan
2/21/2020 20:50,50,4.17,4,1,Pellet,Left,18,4,18,7
2/21/2020 20:51,50,4.18,0,1,Poke,Left,19,4,18,nan
2/21/2020 20:51,50,4.17,2,1,Pellet,Left,19,4,19,1
2/21/2020 21:33,50,4.17,0,1,Poke,Left,19,5,19,nan
2/21/2020 21:33,50,4.17,0,1,Poke,Left,19,6,19,nan
2/21/2020 21:33,50,4.18,0,1,Poke,Left,19,7,19,nan
2/21/2020 21:33,50,4.17,0,1,Poke,Left,19,8,19,nan
2/21/2020 21:34,50,4.17,0,1,Poke,Left,19,9,19,nan
2/21/2020 21:34,50,4.17,0,1,Poke,Left,19,10,19,nan
2/21/2020 21:34,50,4.17,0,1,Poke,Left,19,11,19,nan
2/21/2020 21:34,50,4.17,0,1,Poke,Left,19,12,19,nan
2/21/2020 21:34,50,4.17,0,1,Poke,Left,19,13,19,nan
2/21/2020 21:57,50,4.17,0,1,Poke,Left,20,13,19,nan
2/21/2020 21:57,50,4.16,4,1,Pellet,Left,20,13,20,10
2/21/2020 21:57,50,4.16,0,1,Poke,Left,21,13,20,nan
2/21/2020 21:58,50,4.16,2,1,Pellet,Left,21,13,21,2
2/21/2020 22:09,50,4.17,0,1,Poke,Left,22,13,21,nan
2/21/2020 22:09,50,4.16,2,1,Pellet,Left,22,13,22,1
2/22/2020 0:33,50,4.14,0,1,Poke,Left,23,13,22,nan
2/22/2020 0:33,50,4.14,2,1,Pellet,Left,23,13,23,3
2/22/2020 0:33,50,4.14,0,1,Poke,Left,24,13,23,nan
2/22/2020 0:33,50,4.14,2,1,Pellet,Left,24,13,24,2
2/22/2020 0:33,50,4.14,0,1,Poke,Left,25,13,24,nan
2/22/2020 0:34,50,4.14,3,1,Pellet,Left,25,13,25,9
2/22/2020 0:34,50,4.15,0,1,Poke,Left,26,13,25,nan
2/22/2020 0:34,50,4.14,2,1,Pellet,Left,26,13,26,2
2/22/2020 0:36,50,4.14,0,1,Poke,Left,27,13,26,nan
2/22/2020 0:36,50,4.14,2,1,Pellet,Left,27,13,27,2
2/22/2020 0:36,50,4.15,0,1,Poke,Left,28,13,27,nan
2/22/2020 0:36,50,4.14,2,1,Pellet,Left,28,13,28,1
2/22/2020 3:39,50,4.12,0,1,Poke,Left,28,14,28,nan
2/22/2020 3:39,50,4.12,0,1,Poke,Left,28,15,28,nan
2/22/2020 3:39,50,4.12,0,1,Poke,Left,29,15,28,nan
2/22/2020 3:39,50,4.12,2,1,Pellet,Left,29,15,29,2
2/22/2020 3:40,50,4.12,0,1,Poke,Left,30,15,29,nan
2/22/2020 3:40,50,4.12,4,1,Pellet,Left,30,15,30,10
2/22/2020 3:41,50,4.12,0,1,Poke,Left,31,15,30,nan
2/22/2020 3:41,50,4.12,2,1,Pellet,Left,31,15,31,1
2/22/2020 3:55,50,4.12,0,1,Poke,Left,32,15,31,nan
2/22/2020 3:55,50,4.12,2,1,Pellet,Left,32,15,32,1
2/22/2020 3:56,50,4.12,0,1,Poke,Left,33,15,32,nan
2/22/2020 3:56,50,4.12,2,1,Pellet,Left,33,15,33,1
2/22/2020 4:18,50,4.12,0,1,Poke,Left,33,16,33,nan
2/22/2020 4:44,50,4.12,0,1,Poke,Left,33,17,33,nan
2/22/2020 4:44,50,4.12,0,1,Poke,Left,33,18,33,nan
2/22/2020 4:44,50,4.12,0,1,Poke,Left,33,19,33,nan
2/22/2020 4:44,50,4.12,0,1,Poke,Left,33,20,33,nan
2/22/2020 4:44,50,4.12,0,1,Poke,Left,33,21,33,nan
2/22/2020 4:44,50,4.12,0,1,Poke,Left,33,22,33,nan
2/22/2020 4:44,50,4.12,0,1,Poke,Left,33,23,33,nan
2/22/2020 4:44,50,4.12,0,1,Poke,Left,34,23,33,nan
2/22/2020 4:45,50,4.11,3,1,Pellet,Left,34,23,34,19
2/22/2020 4:45,50,4.12,0,1,Poke,Left,35,23,34,nan
2/22/2020 4:45,50,4.11,2,1,Pellet,Left,35,23,35,2
2/22/2020 4:46,50,4.12,0,1,Poke,Left,36,23,35,nan
2/22/2020 4:46,50,4.12,15,1,Pellet,Left,36,23,36,9
2/22/2020 6:57,50,4.11,0,1,Poke,Left,37,23,36,nan
2/22/2020 6:57,50,4.09,2,1,Pellet,Left,37,23,37,2
2/22/2020 6:58,50,4.11,0,1,Poke,Left,38,23,37,nan
2/22/2020 6:58,50,4.1,2,1,Pellet,Left,38,23,38,3
2/22/2020 7:15,50,4.11,0,1,Poke,Left,39,23,38,nan
2/22/2020 7:16,50,4.1,3,1,Pellet,Left,39,23,39,15
2/22/2020 7:16,50,4.1,0,1,Poke,Left,40,23,39,nan
2/22/2020 7:17,50,4.1,4,1,Pellet,Left,40,23,40,9
2/22/2020 10:41,50,4.09,0,1,Poke,Left,41,23,40,nan
2/22/2020 10:41,50,4.09,2,1,Pellet,Left,41,23,41,2
2/22/2020 10:42,50,4.09,0,1,Poke,Left,42,23,41,nan
2/22/2020 10:42,50,4.09,3,1,Pellet,Left,42,23,42,9
2/22/2020 14:03,50,4.07,0,1,Poke,Left,43,23,42,nan
2/22/2020 14:03,50,4.07,2,1,Pellet,Left,43,23,43,1
2/22/2020 14:06,50,4.07,0,1,Poke,Left,44,23,43,nan
2/22/2020 14:06,50,4.07,2,1,Pellet,Left,44,23,44,2
2/22/2020 14:06,50,4.08,0,1,Poke,Left,45,23,44,nan
2/22/2020 14:06,50,4.07,2,1,Pellet,Left,45,23,45,1
2/22/2020 15:06,50,4.07,0,1,Poke,Left,45,24,45,nan
