MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Warning_Stim, Aversive_Stim, Active_Poke, Reward_Prob, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
12/12/2018 21:30:59,37,3.72,4,1,0,0,Left,NA,1,0,1,48
12/12/2018 21:52:20,37,3.71,4,1,0,0,Left,NA,2,2,2,8
12/12/2018 21:55:12,37,3.71,5,1,0,0,Left,NA,3,2,3,44
12/12/2018 21:58:10,37,3.71,3,1,0,0,Left,NA,4,5,4,4
12/12/2018 22:07:07,37,3.71,3,1,0,0,Left,NA,5,7,5,5
12/12/2018 22:08:01,37,3.71,9,1,0,0,Left,NA,7,7,6,8
12/12/2018 22:10:18,37,3.71,3,1,0,0,Left,NA,8,7,7,4
12/12/2018 22:11:49,37,3.71,4,1,0,0,Left,NA,9,7,8,9
12/12/2018 22:16:19,37,3.71,20,1,0,0,Left,NA,10,7,9,90
12/12/2018 22:22:27,37,3.71,20,1,0,0,Left,NA,11,7,10,17
12/12/2018 22:29:53,37,3.71,5,1,0,0,Left,NA,12,8,11,80
12/12/2018 22:45:33,37,3.71,4,1,0,0,Left,NA,13,11,12,2
12/12/2018 22:52:29,37,3.71,20,1,0,0,Left,NA,14,13,13,7
12/12/2018 22:54:41,37,3.71,6,1,0,0,Left,NA,15,13,14,27
12/12/2018 22:59:30,37,3.71,3,1,0,0,Left,NA,16,13,15,13
12/12/2018 23:13:52,37,3.71,5,1,0,0,Left,NA,18,15,16,3
12/12/2018 23:19:17,37,3.70,20,1,0,0,Left,NA,19,15,17,13
12/12/2018 23:20:22,37,3.71,8,1,0,0,Left,NA,20,15,18,3
12/12/2018 23:21:59,37,3.71,20,1,0,0,Left,NA,22,18,19,2
12/12/2018 23:44:16,37,3.70,8,1,0,0,Left,NA,23,19,20,307
12/12/2018 23:45:19,37,3.70,4,1,0,0,Left,NA,24,19,21,3
12/12/2018 23:45:41,37,3.70,7,1,0,0,Left,NA,25,19,22,4
12/12/2018 23:49:38,37,3.71,8,1,0,0,Left,NA,26,22,23,9
12/13/2018 0:17:15,37,3.71,4,1,0,0,Left,NA,27,23,24,2
12/13/2018 0:19:29,37,3.70,20,1,0,0,Left,NA,28,23,25,28
12/13/2018 0:20:17,37,3.70,6,1,0,0,Left,NA,29,23,26,2
12/13/2018 0:21:19,37,3.71,8,1,0,0,Left,NA,30,23,27,15
12/13/2018 0:23:14,37,3.70,3,1,0,0,Left,NA,31,24,28,6
12/13/2018 0:58:59,37,3.70,9,1,0,0,Left,NA,32,24,29,2
12/13/2018 1:00:40,37,3.69,4,1,0,0,Left,NA,33,24,30,2
12/13/2018 1:02:11,37,3.70,2,1,0,0,Left,NA,34,24,31,1
12/13/2018 1:38:00,37,3.70,20,1,0,0,Left,NA,36,27,32,6
12/13/2018 1:43:00,37,3.70,5,1,0,0,Left,NA,37,28,33,3
12/13/2018 1:50:56,37,3.70,3,1,0,0,Left,NA,38,28,34,3
12/13/2018 1:51:11,37,3.69,3,1,0,0,Left,NA,39,28,35,2
12/13/2018 1:51:43,37,3.69,1,1,0,0,Left,NA,40,28,36,15
12/13/2018 2:20:50,37,3.70,6,1,0,0,Left,NA,41,28,37,668
12/13/2018 2:23:12,37,3.69,20,1,0,0,Left,NA,42,29,38,2
12/13/2018 2:23:38,37,3.69,6,1,0,0,Left,NA,43,29,39,2
12/13/2018 2:26:47,37,3.70,21,1,0,0,Left,NA,44,29,40,2
12/13/2018 2:32:45,37,3.69,20,1,0,0,Left,NA,45,29,41,127
12/13/2018 2:43:51,37,3.69,6,1,0,0,Left,NA,46,29,42,46
12/13/2018 2:58:12,37,3.69,3,1,0,0,Left,NA,47,30,43,414
12/13/2018 3:03:56,37,3.69,2,1,0,0,Left,NA,48,30,44,23
12/13/2018 3:06:03,37,3.69,4,1,0,0,Left,NA,49,33,45,2
12/13/2018 3:07:36,37,3.69,6,1,0,0,Left,NA,50,33,46,3
12/13/2018 3:42:20,37,3.69,3,1,0,0,Left,NA,51,33,47,8
12/13/2018 4:21:03,37,3.69,3,1,0,0,Left,NA,52,33,48,4
12/13/2018 4:30:24,37,3.69,3,1,0,0,Left,NA,53,37,49,2
12/13/2018 5:22:52,37,3.69,3,1,0,0,Left,NA,54,37,50,3
12/13/2018 5:26:19,37,3.68,25,1,0,0,Left,NA,55,37,51,26
12/13/2018 5:31:57,37,3.69,3,1,0,0,Left,NA,57,37,52,3
12/13/2018 5:35:59,37,3.69,6,1,0,0,Left,NA,58,40,53,23
12/13/2018 5:38:18,37,3.68,20,1,0,0,Left,NA,59,40,54,65
12/13/2018 6:43:44,37,3.68,20,1,0,0,Left,NA,60,43,55,6
12/13/2018 7:01:58,37,3.67,20,1,0,0,Left,NA,61,43,56,84
12/13/2018 7:02:10,37,3.69,6,1,0,0,Left,NA,62,43,57,2
12/13/2018 7:03:23,37,3.68,20,1,0,0,Left,NA,63,43,58,2
12/13/2018 7:06:28,37,3.68,20,1,0,0,Left,NA,64,43,59,2
12/13/2018 7:07:29,37,3.68,20,1,0,0,Left,NA,65,43,60,2
12/13/2018 7:08:18,37,3.68,4,1,0,0,Left,NA,66,43,61,2
12/13/2018 7:09:23,37,3.67,6,1,0,0,Left,NA,67,43,62,10
12/13/2018 7:13:47,37,3.68,7,1,0,0,Left,NA,68,44,63,2
12/13/2018 7:15:03,37,3.67,20,1,0,0,Left,NA,69,44,64,10
12/13/2018 7:15:49,37,3.68,7,1,0,0,Left,NA,70,44,65,2
12/13/2018 7:16:21,37,3.67,4,1,0,0,Left,NA,71,44,66,2
12/13/2018 7:19:37,37,3.67,20,1,0,0,Left,NA,72,44,67,2
12/13/2018 7:20:15,37,3.68,7,1,0,0,Left,NA,73,44,68,2
12/13/2018 7:20:58,37,3.67,20,1,0,0,Left,NA,74,44,69,2
12/13/2018 7:21:45,37,3.68,3,1,0,0,Left,NA,75,44,70,2
12/13/2018 7:28:27,37,3.68,2,1,0,0,Left,NA,76,44,71,2
12/13/2018 7:29:35,37,3.68,20,1,0,0,Left,NA,77,44,72,4
12/13/2018 8:18:29,37,3.68,6,1,0,0,Left,NA,78,44,73,4
12/13/2018 8:19:19,37,3.67,2,1,0,0,Left,NA,79,44,74,3
12/13/2018 8:19:41,37,3.67,4,1,0,0,Left,NA,80,44,75,2
12/13/2018 8:20:08,37,3.67,3,1,0,0,Left,NA,81,44,76,2
12/13/2018 8:20:31,37,3.68,2,1,0,0,Left,NA,82,44,77,2
12/13/2018 8:20:51,37,3.68,3,1,0,0,Left,NA,83,44,78,2
