MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
1/22/2020 19:07:35,9,4.03,0,0,Poke,Left,1,0,0,nan
1/22/2020 20:42:30,9,4.03,1,1,Pellet,Left,1,0,1,358
1/22/2020 20:45:23,9,4.03,0,1,Poke,Left,2,0,1,nan
1/22/2020 20:47:38,9,4.03,1,2,Pellet,Left,2,0,2,132
1/22/2020 20:48:18,9,4.03,0,2,Poke,Left,3,0,2,nan
1/22/2020 20:48:27,9,4.03,0,2,Poke,Left,4,0,2,nan
1/22/2020 20:50:14,9,4.03,1,4,Pellet,Left,4,0,3,2
1/22/2020 20:53:05,9,4.03,0,4,Poke,Left,5,0,3,nan
1/22/2020 20:56:11,9,4.03,0,4,Poke,Left,6,0,3,nan
1/22/2020 21:00:40,9,4.03,0,4,Poke,Left,6,1,3,nan
1/22/2020 21:01:11,9,4.03,0,4,Poke,Left,6,2,3,nan
1/22/2020 21:04:42,9,4.03,0,4,Poke,Left,6,3,3,nan
1/22/2020 21:04:51,9,4.03,0,4,Poke,Left,6,4,3,nan
1/22/2020 21:15:29,9,4.03,0,4,Poke,Left,7,4,3,nan
1/22/2020 21:17:07,9,4.03,0,4,Poke,Left,7,5,3,nan
1/22/2020 21:17:27,9,4.03,0,4,Poke,Left,7,6,3,nan
1/22/2020 21:20:07,9,4.03,0,4,Poke,Left,8,6,3,nan
1/22/2020 21:20:13,9,4.03,1,6,Pellet,Left,8,6,4,3
1/22/2020 21:25:24,9,4.03,0,6,Poke,Left,9,6,4,nan
1/22/2020 21:25:30,9,4.03,0,6,Poke,Left,10,6,4,nan
1/22/2020 21:25:34,9,4.02,0,6,Poke,Left,10,7,4,nan
1/22/2020 21:36:02,9,4.03,0,6,Poke,Left,11,7,4,nan
1/22/2020 21:45:04,9,4.03,0,6,Poke,Left,12,7,4,nan
1/22/2020 21:48:39,9,4.02,0,6,Poke,Left,13,7,4,nan
1/22/2020 21:52:10,9,4.03,0,6,Poke,Left,14,7,4,nan
1/22/2020 21:52:21,9,4.03,1,9,Pellet,Left,14,7,5,8
1/22/2020 21:52:55,9,4.02,0,9,Poke,Left,15,7,5,nan
1/22/2020 22:11:37,9,4.02,0,9,Poke,Left,15,8,5,nan
1/22/2020 22:14:33,9,4.03,0,9,Poke,Left,15,9,5,nan
1/22/2020 22:27:25,9,4.02,0,9,Poke,Left,16,9,5,nan
1/22/2020 22:41:55,9,4.02,0,9,Poke,Left,17,9,5,nan
1/22/2020 22:42:00,9,4.02,0,9,Poke,Left,17,10,5,nan
1/22/2020 22:42:02,9,4.03,0,9,Poke,Left,17,11,5,nan
1/22/2020 22:53:20,9,4.02,0,9,Poke,Left,17,12,5,nan
1/22/2020 22:56:51,9,4.02,0,9,Poke,Left,18,12,5,nan
1/22/2020 22:58:53,9,4.02,0,9,Poke,Left,19,12,5,nan
1/22/2020 23:58:33,9,4.02,0,9,Poke,Left,20,12,5,nan
1/23/2020 0:13:32,9,4.02,0,9,Poke,Left,21,12,5,nan
1/23/2020 0:18:18,9,4.02,0,9,Poke,Left,22,12,5,nan
1/23/2020 0:19:25,9,4.02,0,9,Poke,Left,23,12,5,nan
1/23/2020 0:19:41,9,4.02,1,12,Pellet,Left,23,12,6,3
1/23/2020 0:21:25,9,4.02,0,12,Poke,Left,24,12,6,nan
1/23/2020 0:22:04,9,4.02,0,12,Poke,Left,24,13,6,nan
1/23/2020 0:22:41,9,4.02,0,12,Poke,Left,25,13,6,nan
1/23/2020 0:24:33,9,4.02,0,12,Poke,Left,26,13,6,nan
1/23/2020 0:27:24,9,4.02,0,12,Poke,Left,26,14,6,nan
1/23/2020 0:27:44,9,4.02,0,12,Poke,Left,27,14,6,nan
1/23/2020 0:28:28,9,4.02,0,12,Poke,Left,28,14,6,nan
1/23/2020 0:28:36,9,4.02,0,12,Poke,Left,28,15,6,nan
1/23/2020 0:29:17,9,4.02,0,12,Poke,Left,29,15,6,nan
1/23/2020 0:30:17,9,4.02,0,12,Poke,Left,30,15,6,nan
1/23/2020 0:36:53,9,4.02,0,12,Poke,Left,31,15,6,nan
1/23/2020 0:38:45,9,4.02,0,12,Poke,Left,32,15,6,nan
1/23/2020 0:38:59,9,4.02,0,12,Poke,Left,32,16,6,nan
1/23/2020 0:40:12,9,4.02,0,12,Poke,Left,32,17,6,nan
1/23/2020 0:40:14,9,4.02,0,12,Poke,Left,33,17,6,nan
1/23/2020 0:42:48,9,4.02,0,12,Poke,Left,34,17,6,nan
1/23/2020 0:43:17,9,4.02,0,12,Poke,Left,35,17,6,nan
1/23/2020 0:43:22,9,4.02,1,15,Pellet,Left,35,17,7,2
1/23/2020 0:45:00,9,4.02,0,15,Poke,Left,36,17,7,nan
1/23/2020 0:45:10,9,4.02,0,15,Poke,Left,36,18,7,nan
1/23/2020 0:45:15,9,4.02,0,15,Poke,Left,36,19,7,nan
1/23/2020 0:45:22,9,4.02,0,15,Poke,Left,37,19,7,nan
1/23/2020 0:46:25,9,4.02,0,15,Poke,Left,37,20,7,nan
1/23/2020 0:46:36,9,4.02,0,15,Poke,Left,38,20,7,nan
1/23/2020 0:47:01,9,4.02,0,15,Poke,Left,39,20,7,nan
1/23/2020 0:47:14,9,4.02,0,15,Poke,Left,40,20,7,nan
1/23/2020 0:48:28,9,4.02,0,15,Poke,Left,41,20,7,nan
1/23/2020 0:48:42,9,4.02,0,15,Poke,Left,42,20,7,nan
1/23/2020 0:51:29,9,4.02,0,15,Poke,Left,42,21,7,nan
1/23/2020 0:53:03,9,4.02,0,15,Poke,Left,42,22,7,nan
1/23/2020 0:54:35,9,4.02,0,15,Poke,Left,43,22,7,nan
1/23/2020 0:55:08,9,4.02,0,15,Poke,Left,43,23,7,nan
1/23/2020 0:56:00,9,4.02,0,15,Poke,Left,44,23,7,nan
1/23/2020 0:56:19,9,4.02,0,15,Poke,Left,45,23,7,nan
1/23/2020 0:57:17,9,4.02,0,15,Poke,Left,46,23,7,nan
1/23/2020 0:59:26,9,4.02,0,15,Poke,Left,47,23,7,nan
1/23/2020 1:01:32,9,4.02,0,15,Poke,Left,48,23,7,nan
1/23/2020 1:01:43,9,4.02,0,15,Poke,Left,48,24,7,nan
1/23/2020 1:04:01,9,4.02,0,15,Poke,Left,49,24,7,nan
1/23/2020 1:04:53,9,4.02,0,15,Poke,Left,50,24,7,nan
1/23/2020 1:05:02,9,4.01,1,20,Pellet,Left,50,24,8,5
1/23/2020 1:05:44,9,4.02,0,20,Poke,Left,51,24,8,nan
1/23/2020 1:05:46,9,4.02,0,20,Poke,Left,52,24,8,nan
1/23/2020 1:06:06,9,4.02,0,20,Poke,Left,53,24,8,nan
1/23/2020 1:06:09,9,4.02,0,20,Poke,Left,54,24,8,nan
1/23/2020 1:06:19,9,4.01,0,20,Poke,Left,55,24,8,nan
1/23/2020 1:09:18,9,4.02,0,20,Poke,Left,55,25,8,nan
1/23/2020 1:10:09,9,4.02,0,20,Poke,Left,55,26,8,nan
1/23/2020 1:10:14,9,4.02,0,20,Poke,Left,56,26,8,nan
1/23/2020 1:13:29,9,4.02,0,20,Poke,Left,57,26,8,nan
1/23/2020 1:14:12,9,4.01,0,20,Poke,Left,58,26,8,nan
1/23/2020 1:17:24,9,4.01,0,20,Poke,Left,59,26,8,nan
1/23/2020 1:18:04,9,4.02,0,20,Poke,Left,60,26,8,nan
1/23/2020 1:18:41,9,4.02,0,20,Poke,Left,61,26,8,nan
1/23/2020 1:19:06,9,4.02,0,20,Poke,Left,61,27,8,nan
1/23/2020 1:19:11,9,4.02,0,20,Poke,Left,62,27,8,nan
1/23/2020 1:20:48,9,4.02,0,20,Poke,Left,63,27,8,nan
1/23/2020 1:21:11,9,4.02,0,20,Poke,Left,64,27,8,nan
1/23/2020 1:21:23,9,4.02,0,20,Poke,Left,64,28,8,nan
1/23/2020 1:21:27,9,4.01,0,20,Poke,Left,65,28,8,nan
1/23/2020 1:21:32,9,4.02,0,20,Poke,Left,66,28,8,nan
1/23/2020 1:21:36,9,4.01,0,20,Poke,Left,67,28,8,nan
1/23/2020 1:21:43,9,4.02,0,20,Poke,Left,67,29,8,nan
1/23/2020 1:21:44,9,4.02,0,20,Poke,Left,67,30,8,nan
1/23/2020 1:22:31,9,4.02,0,20,Poke,Left,67,31,8,nan
1/23/2020 1:24:26,9,4.02,0,20,Poke,Left,68,31,8,nan
1/23/2020 1:24:56,9,4.02,0,20,Poke,Left,68,32,8,nan
1/23/2020 1:25:07,9,4.02,0,20,Poke,Left,68,33,8,nan
1/23/2020 1:29:36,9,4.02,0,20,Poke,Left,69,33,8,nan
1/23/2020 1:30:24,9,4.01,0,20,Poke,Left,69,34,8,nan
1/23/2020 1:31:29,9,4.02,0,20,Poke,Left,70,34,8,nan
1/23/2020 1:32:16,9,4.01,2,25,Pellet,Left,70,34,9,41
1/23/2020 1:33:14,9,4.01,0,25,Poke,Left,71,34,9,nan
1/23/2020 1:33:34,9,4.01,0,25,Poke,Left,71,35,9,nan
1/23/2020 1:33:51,9,4.02,0,25,Poke,Left,72,35,9,nan
1/23/2020 1:34:10,9,4.02,0,25,Poke,Left,72,36,9,nan
1/23/2020 1:34:15,9,4.02,0,25,Poke,Left,73,36,9,nan
1/23/2020 1:34:18,9,4.01,0,25,Poke,Left,74,36,9,nan
1/23/2020 1:34:23,9,4.02,0,25,Poke,Left,75,36,9,nan
1/23/2020 1:34:30,9,4.02,0,25,Poke,Left,75,37,9,nan
1/23/2020 1:34:45,9,4.01,0,25,Poke,Left,76,37,9,nan
1/23/2020 1:38:49,9,4.02,0,25,Poke,Left,77,37,9,nan
1/23/2020 1:41:41,9,4.02,0,25,Poke,Left,78,37,9,nan
1/23/2020 1:43:18,9,4.02,0,25,Poke,Left,79,37,9,nan
1/23/2020 1:43:28,9,4.02,0,25,Poke,Left,79,38,9,nan
1/23/2020 1:43:34,9,4.02,0,25,Poke,Left,79,39,9,nan
1/23/2020 1:45:58,9,4.02,0,25,Poke,Left,79,40,9,nan
1/23/2020 1:46:27,9,4.02,0,25,Poke,Left,79,41,9,nan
1/23/2020 1:46:31,9,4.02,0,25,Poke,Left,79,42,9,nan
1/23/2020 1:47:53,9,4.02,0,25,Poke,Left,80,42,9,nan
1/23/2020 1:49:07,9,4.02,0,25,Poke,Left,80,43,9,nan
1/23/2020 1:49:42,9,4.02,0,25,Poke,Left,81,43,9,nan
1/23/2020 1:49:46,9,4.02,0,25,Poke,Left,82,43,9,nan
1/23/2020 1:51:42,9,4.02,0,25,Poke,Left,83,43,9,nan
1/23/2020 1:53:57,9,4.02,0,25,Poke,Left,83,44,9,nan
1/23/2020 1:54:08,9,4.02,0,25,Poke,Left,83,45,9,nan
1/23/2020 1:57:15,9,4.02,0,25,Poke,Left,83,46,9,nan
1/23/2020 2:02:33,9,4.02,0,25,Poke,Left,84,46,9,nan
1/23/2020 2:02:54,9,4.01,0,25,Poke,Left,85,46,9,nan
1/23/2020 2:11:05,9,4.01,0,25,Poke,Left,86,46,9,nan
1/23/2020 2:11:07,9,4.01,0,25,Poke,Left,87,46,9,nan
1/23/2020 2:11:29,9,4.01,0,25,Poke,Left,88,46,9,nan
1/23/2020 2:11:32,9,4.01,0,25,Poke,Left,89,46,9,nan
1/23/2020 2:12:34,9,4.02,0,25,Poke,Left,90,46,9,nan
1/23/2020 2:12:42,9,4.01,0,25,Poke,Left,91,46,9,nan
