MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
1/22/2020 19:14:07,4,4.14,0,1,Poke,Left,1,0,0,nan
1/22/2020 20:29:49,4,4.12,1,1,Pellet,Left,1,0,1,317
1/22/2020 20:30:29,4,4.12,0,1,Poke,Left,2,0,1,nan
1/22/2020 20:30:56,4,4.12,1,1,Pellet,Left,2,0,2,14
1/22/2020 20:31:58,4,4.12,0,1,Poke,Left,3,0,2,nan
1/22/2020 20:32:13,4,4.12,1,1,Pellet,Left,3,0,3,2
1/22/2020 20:32:44,4,4.12,0,1,Poke,Left,3,1,3,nan
1/22/2020 20:44:28,4,4.12,0,1,Poke,Left,4,1,3,nan
1/22/2020 20:44:50,4,4.12,1,1,Pellet,Left,4,1,4,2
1/22/2020 20:45:32,4,4.12,0,1,Poke,Left,5,1,4,nan
1/22/2020 20:45:40,4,4.12,1,1,Pellet,Left,5,1,5,5
1/22/2020 20:46:07,4,4.12,0,1,Poke,Left,6,1,5,nan
1/22/2020 20:46:21,4,4.12,1,1,Pellet,Left,6,1,6,11
1/22/2020 21:07:47,4,4.12,0,1,Poke,Left,7,1,6,nan
1/22/2020 21:08:14,4,4.12,1,1,Pellet,Left,7,1,7,6
1/22/2020 21:08:45,4,4.12,0,1,Poke,Left,8,1,7,nan
1/22/2020 21:11:54,4,4.11,1,1,Pellet,Left,8,1,8,147
1/22/2020 21:12:28,4,4.11,0,1,Poke,Left,9,1,8,nan
1/22/2020 21:12:47,4,4.12,1,1,Pellet,Left,9,1,9,16
1/22/2020 21:14:40,4,4.12,0,1,Poke,Left,10,1,9,nan
1/22/2020 21:14:55,4,4.12,1,1,Pellet,Left,10,1,10,12
1/22/2020 21:16:33,4,4.12,0,1,Poke,Left,10,2,10,nan
1/22/2020 21:16:47,4,4.12,0,1,Poke,Left,11,2,10,nan
1/22/2020 21:17:00,4,4.11,1,1,Pellet,Left,11,2,11,10
1/22/2020 21:23:19,4,4.12,0,1,Poke,Left,12,2,11,nan
1/22/2020 21:24:05,4,4.12,1,1,Pellet,Left,12,2,12,12
1/22/2020 21:27:04,4,4.12,0,1,Poke,Left,13,2,12,nan
1/22/2020 22:06:48,4,4.11,1,1,Pellet,Left,13,2,13,4
1/22/2020 22:12:53,4,4.11,0,1,Poke,Left,14,2,13,nan
1/22/2020 22:13:06,4,4.11,1,1,Pellet,Left,14,2,14,6
1/22/2020 22:20:41,4,4.11,0,1,Poke,Left,15,2,14,nan
1/22/2020 22:20:58,4,4.11,1,1,Pellet,Left,15,2,15,2
1/22/2020 22:21:33,4,4.11,0,1,Poke,Left,16,2,15,nan
1/22/2020 22:21:40,4,4.11,1,1,Pellet,Left,16,2,16,3
1/22/2020 22:23:47,4,4.11,0,1,Poke,Left,17,2,16,nan
1/22/2020 22:29:06,4,4.11,1,1,Pellet,Left,17,2,17,2
1/22/2020 22:29:39,4,4.11,0,1,Poke,Left,17,3,17,nan
1/22/2020 22:36:54,4,4.11,0,1,Poke,Left,18,3,17,nan
1/22/2020 22:37:05,4,4.11,1,1,Pellet,Left,18,3,18,8
1/22/2020 22:37:30,4,4.11,0,1,Poke,Left,19,3,18,nan
1/22/2020 22:46:59,4,4.11,1,1,Pellet,Left,19,3,19,89
1/22/2020 23:00:53,4,4.11,0,1,Poke,Left,19,4,19,nan
1/22/2020 23:02:32,4,4.1,0,1,Poke,Left,20,4,19,nan
1/22/2020 23:03:37,4,4.11,1,1,Pellet,Left,20,4,20,34
1/22/2020 23:04:07,4,4.11,0,1,Poke,Left,20,5,20,nan
