MM:DD:YYYY hh:mm:ss, Mouse, Battery_Voltage, MotorTurns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
5/10/2020 8:45:37,16,4.19,0,1,Poke,Left,1,0,0,nan
5/10/2020 9:10:59,16,4.18,1,1,Pellet,Left,1,0,1,185
5/10/2020 9:16:43,16,4.18,0,1,Poke,Left,1,1,1,nan
5/10/2020 9:40:53,16,4.18,0,1,Poke,Left,2,1,1,nan
5/10/2020 9:41:00,16,4.17,1,1,Pellet,Left,2,1,2,3
5/10/2020 10:03:20,16,4.17,0,1,Poke,Left,2,2,2,nan
5/10/2020 10:13:21,16,4.16,0,1,Poke,Left,3,2,2,nan
5/10/2020 10:36:57,16,4.16,1,1,Pellet,Left,3,2,3,1413
5/10/2020 11:24:58,16,4.15,0,1,Poke,Left,4,2,3,nan
5/10/2020 11:25:05,16,4.16,1,1,Pellet,Left,4,2,4,4
5/10/2020 12:44:40,16,4.14,0,1,Poke,Left,5,2,4,nan
5/10/2020 12:44:45,16,4.14,1,1,Pellet,Left,5,2,5,2
5/10/2020 12:50:32,16,4.14,0,1,Poke,Left,6,2,5,nan
5/10/2020 12:50:37,16,4.14,1,1,Pellet,Left,6,2,6,2
5/10/2020 13:03:37,16,4.14,0,1,Poke,Left,7,2,6,nan
5/10/2020 13:03:42,16,4.14,1,1,Pellet,Left,7,2,7,2
5/10/2020 13:04:58,16,4.13,0,1,Poke,Left,8,2,7,nan
5/10/2020 13:05:06,16,4.14,1,1,Pellet,Left,8,2,8,5
5/10/2020 13:06:06,16,4.13,0,1,Poke,Left,9,2,8,nan
5/10/2020 13:07:18,16,4.13,2,1,Pellet,Left,9,2,9,67
5/10/2020 13:08:06,16,4.13,0,1,Poke,Left,9,3,9,nan
5/10/2020 13:08:29,16,4.13,0,1,Poke,Left,10,3,9,nan
5/10/2020 13:09:42,16,4.13,3,1,Pellet,Left,10,3,10,66
5/10/2020 13:10:52,16,4.14,0,1,Poke,Left,11,3,10,nan
5/10/2020 13:10:56,16,4.13,1,1,Pellet,Left,11,3,11,2
5/10/2020 13:13:00,16,4.13,0,1,Poke,Left,12,3,11,nan
5/10/2020 13:13:04,16,4.13,1,1,Pellet,Left,12,3,12,1
5/10/2020 13:13:26,16,4.13,0,1,Poke,Left,12,4,12,nan
5/10/2020 13:14:24,16,4.12,0,1,Poke,Left,13,4,12,nan
5/10/2020 13:14:31,16,4.13,1,1,Pellet,Left,13,4,13,4
5/10/2020 13:15:27,16,4.13,0,1,Poke,Left,14,4,13,nan
5/10/2020 13:15:37,16,4.13,1,1,Pellet,Left,14,4,14,2
5/10/2020 13:32:57,16,4.13,0,1,Poke,Left,14,5,14,nan
5/10/2020 13:52:49,16,4.12,0,1,Poke,Left,15,5,14,nan
5/10/2020 13:52:53,16,4.12,1,1,Pellet,Left,15,5,15,1
5/10/2020 13:53:01,16,4.13,0,1,Poke,Left,16,5,15,nan
5/10/2020 13:55:51,16,4.12,3,1,Pellet,Left,16,5,16,163
5/10/2020 14:12:41,16,4.12,0,1,Poke,Left,17,5,16,nan
5/10/2020 14:12:49,16,4.12,1,1,Pellet,Left,17,5,17,3
5/10/2020 14:12:59,16,4.12,0,1,Poke,Left,18,5,17,nan
5/10/2020 14:13:04,16,4.12,1,1,Pellet,Left,18,5,18,1
5/10/2020 14:13:08,16,4.12,0,1,Poke,Left,19,5,18,nan
5/10/2020 14:18:20,16,4.12,1,1,Pellet,Left,19,5,19,222
5/10/2020 14:40:07,16,4.12,0,1,Poke,Left,19,6,19,nan
5/10/2020 14:40:10,16,4.12,0,1,Poke,Left,19,7,19,nan
5/10/2020 14:40:58,16,4.12,0,1,Poke,Left,20,7,19,nan
5/10/2020 14:42:21,16,4.12,1,1,Pellet,Left,20,7,20,77
5/10/2020 15:04:41,16,4.12,0,1,Poke,Left,21,7,20,nan
5/10/2020 15:04:46,16,4.11,1,1,Pellet,Left,21,7,21,2
5/10/2020 15:05:01,16,4.11,0,1,Poke,Left,22,7,21,nan
5/10/2020 15:05:08,16,4.12,1,1,Pellet,Left,22,7,22,4
5/10/2020 15:15:32,16,4.11,0,1,Poke,Left,22,8,22,nan
5/10/2020 15:15:49,16,4.11,0,1,Poke,Left,23,8,22,nan
5/10/2020 15:15:58,16,4.11,1,1,Pellet,Left,23,8,23,2
5/10/2020 15:16:02,16,4.12,0,1,Poke,Left,23,9,23,nan
5/10/2020 15:16:19,16,4.11,0,1,Poke,Left,23,10,23,nan
5/10/2020 15:16:29,16,4.11,0,1,Poke,Left,23,11,23,nan
5/10/2020 15:16:38,16,4.11,0,1,Poke,Left,23,12,23,nan
5/10/2020 15:23:35,16,4.11,0,1,Poke,Left,24,12,23,nan
5/10/2020 15:23:42,16,4.11,1,1,Pellet,Left,24,12,24,2
5/10/2020 15:29:33,16,4.11,0,1,Poke,Left,25,12,24,nan
5/10/2020 15:40:10,16,4.11,1,1,Pellet,Left,25,12,25,163
5/10/2020 15:40:16,16,4.11,0,1,Poke,Left,26,12,25,nan
5/10/2020 15:44:02,16,4.11,1,1,Pellet,Left,26,12,26,184
5/10/2020 15:53:37,16,4.11,0,1,Poke,Left,27,12,26,nan
5/10/2020 15:58:13,16,4.11,1,1,Pellet,Left,27,12,27,272
5/10/2020 16:22:04,16,4.11,0,1,Poke,Left,28,12,27,nan
5/10/2020 16:22:15,16,4.11,1,1,Pellet,Left,28,12,28,8
5/10/2020 16:23:49,16,4.11,0,1,Poke,Left,29,12,28,nan
5/10/2020 16:26:39,16,4.10,1,1,Pellet,Left,29,12,29,165
5/10/2020 16:43:38,16,4.11,0,1,Poke,Left,29,13,29,nan
5/10/2020 16:46:15,16,4.10,0,1,Poke,Left,30,13,29,nan
5/10/2020 16:46:33,16,4.10,3,1,Pellet,Left,30,13,30,7
5/10/2020 16:46:55,16,4.11,0,1,Poke,Left,31,13,30,nan
5/10/2020 16:48:33,16,4.11,1,1,Pellet,Left,31,13,31,29
5/10/2020 16:57:56,16,4.10,0,1,Poke,Left,32,13,31,nan
5/10/2020 16:58:04,16,4.10,1,1,Pellet,Left,32,13,32,5
5/10/2020 17:09:48,16,4.10,0,1,Poke,Left,32,14,32,nan
5/10/2020 17:09:58,16,4.10,0,1,Poke,Left,33,14,32,nan
5/10/2020 17:10:05,16,4.10,1,1,Pellet,Left,33,14,33,4
5/10/2020 17:10:10,16,4.10,0,1,Poke,Left,34,14,33,nan
5/10/2020 17:12:33,16,4.10,1,1,Pellet,Left,34,14,34,140
5/10/2020 17:15:53,16,4.09,0,1,Poke,Left,35,14,34,nan
5/10/2020 17:15:59,16,4.09,1,1,Pellet,Left,35,14,35,3
5/10/2020 17:16:49,16,4.10,0,1,Poke,Left,35,15,35,nan
5/10/2020 17:32:26,16,4.09,0,1,Poke,Left,36,15,35,nan
5/10/2020 17:32:31,16,4.09,1,1,Pellet,Left,36,15,36,2
5/10/2020 17:36:07,16,4.09,0,1,Poke,Left,36,16,36,nan
5/10/2020 17:37:15,16,4.10,0,1,Poke,Left,37,16,36,nan
5/10/2020 17:37:54,16,4.09,1,1,Pellet,Left,37,16,37,36
5/10/2020 17:42:33,16,4.09,0,1,Poke,Left,37,17,37,nan
