MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/20/2020 8:16:24,5,4.06,0,1,Poke,Left,0,1,0,nan
6/20/2020 8:16:46,5,4.06,0,1,Poke,Left,0,2,0,nan
6/20/2020 8:16:48,5,4.06,0,1,Poke,Left,1,2,0,nan
6/20/2020 8:17:07,5,4.06,1,1,Pellet,Left,1,2,1,16
6/20/2020 8:18:29,5,4.06,0,1,Poke,Left,2,2,1,nan
6/20/2020 8:18:34,5,4.06,1,1,Pellet,Left,2,2,2,1
6/20/2020 8:21:49,5,4.07,0,1,Poke,Left,3,2,2,nan
6/20/2020 8:22:09,5,4.06,1,1,Pellet,Left,3,2,3,1
6/20/2020 8:23:06,5,4.06,0,1,Poke,Left,4,2,3,nan
6/20/2020 8:23:30,5,4.06,1,1,Pellet,Left,4,2,4,20
6/20/2020 8:26:57,5,4.06,0,1,Poke,Left,5,2,4,nan
6/20/2020 8:27:43,5,4.06,1,1,Pellet,Left,5,2,5,32
6/20/2020 8:31:17,5,4.06,0,1,Poke,Left,5,3,5,nan
6/20/2020 8:34:40,5,4.05,0,1,Poke,Left,6,3,5,nan
6/20/2020 8:35:10,5,4.06,1,1,Pellet,Left,6,3,6,27
6/20/2020 8:38:18,5,4.05,0,1,Poke,Left,7,3,6,nan
6/20/2020 8:38:23,5,4.06,1,1,Pellet,Left,7,3,7,2
6/20/2020 8:38:39,5,4.05,0,1,Poke,Left,8,3,7,nan
6/20/2020 8:38:44,5,4.05,1,1,Pellet,Left,8,3,8,2
6/20/2020 8:39:37,5,4.06,0,1,Poke,Left,8,4,8,nan
6/20/2020 8:47:35,5,4.06,0,1,Poke,Left,8,5,8,nan
6/20/2020 8:56:53,5,4.05,0,1,Poke,Left,9,5,8,nan
6/20/2020 8:57:19,5,4.05,1,1,Pellet,Left,9,5,9,22
6/20/2020 9:02:33,5,4.05,0,1,Poke,Left,10,5,9,nan
6/20/2020 9:02:43,5,4.05,2,1,Pellet,Left,10,5,10,5
6/20/2020 9:08:04,5,4.05,0,1,Poke,Left,11,5,10,nan
6/20/2020 9:08:10,5,4.05,1,1,Pellet,Left,11,5,11,3
6/20/2020 9:13:17,5,4.05,0,1,Poke,Left,12,5,11,nan
6/20/2020 9:13:37,5,4.05,1,1,Pellet,Left,12,5,12,16
