MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
7/4/2020 11:03:06,1,3.96,0,1,Poke,Left,1,0,0,nan
7/4/2020 11:03:31,1,3.95,2,1,Pellet,Left,1,0,1,3
7/4/2020 11:03:48,1,3.94,0,1,Poke,Left,2,0,1,nan
7/4/2020 11:03:57,1,3.94,2,1,Pellet,Left,2,0,2,3
7/4/2020 11:06:42,1,3.95,0,1,Poke,Left,3,0,2,nan
7/4/2020 11:10:01,1,3.95,1,1,Pellet,Left,3,0,3,4
7/4/2020 11:11:15,1,3.95,0,1,Poke,Left,4,0,3,nan
7/4/2020 11:11:25,1,3.95,2,1,Pellet,Left,4,0,4,4
7/4/2020 11:12:59,1,3.95,0,1,Poke,Left,4,1,4,nan
7/4/2020 11:16:42,1,3.95,0,1,Poke,Left,5,1,4,nan
7/4/2020 11:16:46,1,3.95,1,1,Pellet,Left,5,1,5,1
7/4/2020 11:16:59,1,3.96,0,1,Poke,Left,6,1,5,nan
7/4/2020 11:17:08,1,3.95,2,1,Pellet,Left,6,1,6,3
7/4/2020 11:17:18,1,3.95,0,1,Poke,Left,6,2,6,nan
7/4/2020 11:20:09,1,3.95,0,1,Poke,Left,7,2,6,nan
7/4/2020 11:20:15,1,3.94,1,1,Pellet,Left,7,2,7,3
7/4/2020 11:20:29,1,3.95,0,1,Poke,Left,8,2,7,nan
7/4/2020 11:23:29,1,3.94,1,1,Pellet,Left,8,2,8,6
7/4/2020 11:25:38,1,3.95,0,1,Poke,Left,8,3,8,nan
7/4/2020 11:31:14,1,3.95,0,1,Poke,Left,9,3,8,nan
7/4/2020 11:31:20,1,3.95,2,1,Pellet,Left,9,3,9,1
7/4/2020 11:31:35,1,3.96,0,1,Poke,Left,10,3,9,nan
7/4/2020 11:38:22,1,3.94,1,1,Pellet,Left,10,3,10,11
7/4/2020 11:38:55,1,3.94,0,1,Poke,Left,11,3,10,nan
7/4/2020 11:39:02,1,3.94,1,1,Pellet,Left,11,3,11,4
7/4/2020 11:39:29,1,3.95,0,1,Poke,Left,11,4,11,nan
7/4/2020 11:39:38,1,3.95,0,1,Poke,Left,12,4,11,nan
7/4/2020 11:39:45,1,3.95,1,1,Pellet,Left,12,4,12,4
7/4/2020 11:39:58,1,3.94,0,1,Poke,Left,13,4,12,nan
