MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/10/2020 16:56:53,2,4.18,0,1,Poke,Left,1,0,0,nan
3/10/2020 16:58:28,2,4.16,1,1,Pellet,Left,1,0,1,81
3/10/2020 17:01:06,2,4.17,0,1,Poke,Left,1,1,1,nan
3/10/2020 17:03:40,2,4.17,0,1,Poke,Left,2,1,1,nan
3/10/2020 17:04:38,2,4.17,1,1,Pellet,Left,2,1,2,52
3/10/2020 17:05:16,2,4.17,0,1,Poke,Left,2,2,2,nan
3/10/2020 17:05:21,2,4.16,0,1,Poke,Left,2,3,2,nan
3/10/2020 17:05:43,2,4.18,0,1,Poke,Left,3,3,2,nan
3/10/2020 17:10:09,2,4.17,1,1,Pellet,Left,3,3,3,259
3/10/2020 17:12:02,2,4.17,0,1,Poke,Left,4,3,3,nan
3/10/2020 17:12:10,2,4.16,1,1,Pellet,Left,4,3,4,2
3/10/2020 17:15:02,2,4.16,0,1,Poke,Left,5,3,4,nan
3/10/2020 17:17:08,2,4.16,1,1,Pellet,Left,5,3,5,119
3/10/2020 17:23:15,2,4.16,0,1,Poke,Left,6,3,5,nan
3/10/2020 17:23:34,2,4.17,1,1,Pellet,Left,6,3,6,6
3/10/2020 17:23:52,2,4.17,0,1,Poke,Left,7,3,6,nan
3/10/2020 17:24:00,2,4.16,1,1,Pellet,Left,7,3,7,2
3/10/2020 17:31:59,2,4.17,0,1,Poke,Left,7,4,7,nan
3/10/2020 17:34:23,2,4.16,0,1,Poke,Left,8,4,7,nan
3/10/2020 17:34:31,2,4.16,1,1,Pellet,Left,8,4,8,1
3/10/2020 17:35:58,2,4.16,0,1,Poke,Left,9,4,8,nan
3/10/2020 17:36:07,2,4.16,1,1,Pellet,Left,9,4,9,1
3/10/2020 17:40:59,2,4.16,0,1,Poke,Left,9,5,9,nan
3/10/2020 17:52:38,2,4.16,0,1,Poke,Left,9,6,9,nan
3/10/2020 17:52:41,2,4.16,0,1,Poke,Left,10,6,9,nan
3/10/2020 17:52:49,2,4.16,1,1,Pellet,Left,10,6,10,4
3/10/2020 17:53:31,2,4.16,0,1,Poke,Left,11,6,10,nan
3/10/2020 17:53:39,2,4.16,1,1,Pellet,Left,11,6,11,2
3/10/2020 17:56:33,2,4.16,0,1,Poke,Left,11,7,11,nan
3/10/2020 17:56:57,2,4.16,0,1,Poke,Left,11,8,11,nan
3/10/2020 18:39:23,2,4.15,0,1,Poke,Left,12,8,11,nan
3/10/2020 18:39:30,2,4.15,1,1,Pellet,Left,12,8,12,1
3/10/2020 18:40:00,2,4.15,0,1,Poke,Left,13,8,12,nan
3/10/2020 18:40:08,2,4.14,1,1,Pellet,Left,13,8,13,2
3/10/2020 19:06:35,2,4.14,0,1,Poke,Left,14,8,13,nan
3/10/2020 19:06:42,2,4.14,1,1,Pellet,Left,14,8,14,1
3/10/2020 19:07:19,2,4.14,0,1,Poke,Left,15,8,14,nan
3/10/2020 19:07:26,2,4.14,1,1,Pellet,Left,15,8,15,1
3/10/2020 19:10:09,2,4.14,0,1,Poke,Left,16,8,15,nan
3/10/2020 19:10:18,2,4.14,1,1,Pellet,Left,16,8,16,1
3/10/2020 19:18:27,2,4.14,0,1,Poke,Left,17,8,16,nan
3/10/2020 19:18:34,2,4.14,1,1,Pellet,Left,17,8,17,1
3/10/2020 20:22:46,2,4.13,0,1,Poke,Left,17,9,17,nan
