MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
4/20/2020 16:20:38,9,4.18,0,1,Poke,Left,1,0,0,nan
4/20/2020 16:20:47,9,4.18,2,1,Pellet,Left,1,0,1,3
4/20/2020 16:28:22,9,4.18,0,1,Poke,Left,2,0,1,nan
4/20/2020 16:28:42,9,4.18,3,1,Pellet,Left,2,0,2,10
4/20/2020 16:30:08,9,4.18,0,1,Poke,Left,3,0,2,nan
4/20/2020 16:31:00,9,4.18,20,1,Pellet,Left,3,0,3,24
4/20/2020 16:36:30,9,4.18,0,1,Poke,Left,3,1,3,nan
4/20/2020 16:37:39,9,4.18,0,1,Poke,Left,4,1,3,nan
4/20/2020 16:37:51,9,4.18,1,1,Pellet,Left,4,1,4,9
4/20/2020 16:42:06,9,4.18,0,1,Poke,Left,4,2,4,nan
4/20/2020 16:47:25,9,4.18,0,1,Poke,Left,4,3,4,nan
4/20/2020 16:51:20,9,4.17,0,1,Poke,Left,5,3,4,nan
4/20/2020 16:51:33,9,4.17,4,1,Pellet,Left,5,3,5,2
4/20/2020 16:52:45,9,4.18,0,1,Poke,Left,5,4,5,nan
4/20/2020 16:58:47,9,4.18,0,1,Poke,Left,6,4,5,nan
4/20/2020 17:06:43,9,4.16,100,1,Pellet,Left,6,4,6,123
4/20/2020 17:44:06,9,4.15,0,1,Poke,Left,6,5,6,nan
4/20/2020 17:52:17,9,4.14,0,1,Poke,Left,6,6,6,nan
4/20/2020 17:52:31,9,4.15,0,1,Poke,Left,6,7,6,nan
4/20/2020 17:52:58,9,4.15,0,1,Poke,Left,6,8,6,nan
4/20/2020 18:32:29,9,4.14,0,1,Poke,Left,7,8,6,nan
4/20/2020 18:46:49,9,4.13,69,1,Pellet,Left,7,8,7,653
4/20/2020 18:57:50,9,4.14,0,1,Poke,Left,8,8,7,nan
4/20/2020 19:00:06,9,4.12,48,1,Pellet,Left,8,8,8,2
4/20/2020 19:31:51,9,4.12,0,1,Poke,Left,9,8,8,nan
4/20/2020 19:31:58,9,4.12,1,1,Pellet,Left,9,8,9,4
4/20/2020 19:41:26,9,4.12,0,1,Poke,Left,9,9,9,nan
4/20/2020 19:51:02,9,4.12,0,1,Poke,Left,10,9,9,nan
4/20/2020 19:52:27,9,4.12,24,1,Pellet,Left,10,9,10,33
4/20/2020 20:01:47,9,4.11,0,1,Poke,Left,11,9,10,nan
4/20/2020 20:05:47,9,4.11,68,1,Pellet,Left,11,9,11,3
4/20/2020 20:49:43,9,4.11,0,1,Poke,Left,11,10,11,nan
4/20/2020 20:50:21,9,4.11,0,1,Poke,Left,11,11,11,nan
4/20/2020 20:51:29,9,4.11,0,1,Poke,Left,12,11,11,nan
4/20/2020 20:54:50,9,4.09,45,1,Pellet,Left,12,11,12,43
4/20/2020 21:29:40,9,4.10,0,1,Poke,Left,13,11,12,nan
4/20/2020 21:29:45,9,4.10,1,1,Pellet,Left,13,11,13,1
4/20/2020 21:40:12,9,4.09,0,1,Poke,Left,14,11,13,nan
4/20/2020 21:40:20,9,4.09,2,1,Pellet,Left,14,11,14,1
4/20/2020 21:47:53,9,4.10,0,1,Poke,Left,15,11,14,nan
4/20/2020 21:55:06,9,4.09,120,1,Pellet,Left,15,11,15,45
4/20/2020 22:00:06,9,4.09,0,1,Poke,Left,15,12,15,nan
4/20/2020 22:23:57,9,4.09,0,1,Poke,Left,16,12,15,nan
4/20/2020 22:24:03,9,4.08,2,1,Poke,Left,17,12,15,nan
4/20/2020 22:24:08,9,4.08,1,1,Pellet,Left,17,12,16,3
4/20/2020 22:29:04,9,4.09,0,1,Poke,Left,17,13,16,nan
4/20/2020 22:29:59,9,4.09,0,1,Poke,Left,18,13,16,nan
4/20/2020 22:32:58,9,4.08,45,1,Pellet,Left,18,13,17,22
4/20/2020 22:37:01,9,4.09,0,1,Poke,Left,19,13,17,nan
4/20/2020 22:37:14,9,4.09,3,1,Pellet,Left,19,13,18,3
4/20/2020 22:41:29,9,4.08,0,1,Poke,Left,20,13,18,nan
4/20/2020 22:42:10,9,4.08,20,1,Pellet,Left,20,13,19,4
4/20/2020 22:47:28,9,4.09,0,1,Poke,Left,20,14,19,nan
4/20/2020 22:47:34,9,4.09,0,1,Poke,Left,20,15,19,nan
4/20/2020 22:47:55,9,4.09,0,1,Poke,Left,20,16,19,nan
4/20/2020 22:49:04,9,4.08,0,1,Poke,Left,21,16,19,nan
4/20/2020 22:49:12,9,4.08,2,1,Pellet,Left,21,16,20,2
4/20/2020 22:50:49,9,4.07,0,1,Poke,Left,22,16,20,nan
4/20/2020 22:51:15,9,4.09,1,1,Pellet,Left,22,16,21,22
4/20/2020 22:52:38,9,4.08,0,1,Poke,Left,22,17,21,nan
4/20/2020 22:53:10,9,4.09,0,1,Poke,Left,23,17,21,nan
4/20/2020 22:53:16,9,4.08,1,1,Pellet,Left,23,17,22,3
4/20/2020 22:53:50,9,4.09,0,1,Poke,Left,24,17,22,nan
4/20/2020 22:54:23,9,4.08,1,1,Pellet,Left,24,17,23,29
4/20/2020 22:55:38,9,4.08,0,1,Poke,Left,25,17,23,nan
4/20/2020 22:56:24,9,4.08,1,1,Pellet,Left,25,17,24,41
4/20/2020 22:57:17,9,4.08,0,1,Poke,Left,26,17,24,nan
4/20/2020 22:57:40,9,4.08,3,1,Pellet,Left,26,17,25,15
4/20/2020 22:58:04,9,4.08,0,1,Poke,Left,26,18,25,nan
4/20/2020 22:58:28,9,4.07,0,1,Poke,Left,27,18,25,nan
4/20/2020 22:58:40,9,4.08,2,1,Pellet,Left,27,18,26,7
4/20/2020 23:01:37,9,4.08,0,1,Poke,Left,28,18,26,nan
4/20/2020 23:01:42,9,4.08,1,1,Pellet,Left,28,18,27,2
4/20/2020 23:02:46,9,4.08,0,1,Poke,Left,29,18,27,nan
4/20/2020 23:02:51,9,4.07,1,1,Pellet,Left,29,18,28,1
4/20/2020 23:04:56,9,4.08,0,1,Poke,Left,29,19,28,nan
4/20/2020 23:05:06,9,4.08,0,1,Poke,Left,30,19,28,nan
4/20/2020 23:05:26,9,4.08,1,1,Pellet,Left,30,19,29,17
4/20/2020 23:07:30,9,4.08,0,1,Poke,Left,31,19,29,nan
4/20/2020 23:07:41,9,4.08,1,1,Pellet,Left,31,19,30,7
4/20/2020 23:08:09,9,4.07,0,1,Poke,Left,32,19,30,nan
4/20/2020 23:08:33,9,4.08,1,1,Pellet,Left,32,19,31,20
4/20/2020 23:10:25,9,4.08,0,1,Poke,Left,33,19,31,nan
4/20/2020 23:10:30,9,4.08,1,1,Pellet,Left,33,19,32,1
4/20/2020 23:11:52,9,4.08,0,1,Poke,Left,33,20,32,nan
4/20/2020 23:12:06,9,4.08,0,1,Poke,Left,33,21,32,nan
4/20/2020 23:13:06,9,4.08,0,1,Poke,Left,34,21,32,nan
4/20/2020 23:13:21,9,4.08,1,1,Pellet,Left,34,21,33,12
4/20/2020 23:13:49,9,4.07,0,1,Poke,Left,35,21,33,nan
4/20/2020 23:13:54,9,4.08,1,1,Pellet,Left,35,21,34,2
4/20/2020 23:20:36,9,4.07,0,1,Poke,Left,36,21,34,nan
4/20/2020 23:21:01,9,4.07,1,1,Pellet,Left,36,21,35,22
4/20/2020 23:21:59,9,4.08,0,1,Poke,Left,37,21,35,nan
4/20/2020 23:22:20,9,4.07,1,1,Pellet,Left,37,21,36,17
4/20/2020 23:22:55,9,4.07,0,1,Poke,Left,38,21,36,nan
4/20/2020 23:23:00,9,4.07,1,1,Pellet,Left,38,21,37,1
4/20/2020 23:27:13,9,4.08,0,1,Poke,Left,39,21,37,nan
4/20/2020 23:27:32,9,4.08,1,1,Pellet,Left,39,21,38,16
4/20/2020 23:29:52,9,4.08,0,1,Poke,Left,40,21,38,nan
4/20/2020 23:30:09,9,4.07,1,1,Pellet,Left,40,21,39,14
4/20/2020 23:32:32,9,4.07,0,1,Poke,Left,41,21,39,nan
4/20/2020 23:32:37,9,4.08,1,1,Pellet,Left,41,21,40,1
4/20/2020 23:32:56,9,4.07,0,1,Poke,Left,42,21,40,nan
4/20/2020 23:33:15,9,4.07,1,1,Pellet,Left,42,21,41,16
4/20/2020 23:34:27,9,4.07,0,1,Poke,Left,43,21,41,nan
4/20/2020 23:41:54,9,4.07,126,1,Poke,Left,44,21,41,nan
4/20/2020 23:48:10,9,4.06,63,1,Pellet,Left,44,21,42,184
4/21/2020 0:38:17,9,4.06,0,1,Poke,Left,45,21,42,nan
4/21/2020 0:38:25,9,4.06,1,1,Pellet,Left,45,21,43,4
4/21/2020 0:40:04,9,4.07,0,1,Poke,Left,45,22,43,nan
4/21/2020 0:41:10,9,4.06,0,1,Poke,Left,46,22,43,nan
4/21/2020 0:41:28,9,4.06,2,1,Pellet,Left,46,22,44,12
4/21/2020 0:42:43,9,4.06,0,1,Poke,Left,46,23,44,nan
4/21/2020 0:43:00,9,4.07,0,1,Poke,Left,47,23,44,nan
4/21/2020 0:43:12,9,4.06,1,1,Pellet,Left,47,23,45,8
4/21/2020 0:43:26,9,4.06,0,1,Poke,Left,48,23,45,nan
4/21/2020 0:43:33,9,4.06,1,1,Pellet,Left,48,23,46,4
4/21/2020 0:44:10,9,4.05,0,1,Poke,Left,48,24,46,nan
4/21/2020 0:44:15,9,4.06,0,1,Poke,Left,49,24,46,nan
4/21/2020 0:44:19,9,4.06,1,1,Pellet,Left,49,24,47,2
4/21/2020 0:45:19,9,4.06,0,1,Poke,Left,50,24,47,nan
4/21/2020 0:45:30,9,4.06,2,1,Pellet,Left,50,24,48,5
