MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
10/11/2019,16:06:52,7,4.12,1,1,Left,1,1,1,4
10/11/2019,16:07:18,7,4.12,1,1,Left,2,1,2,2
10/11/2019,16:08:31,7,4.12,1,1,Left,3,3,3,3
10/11/2019,16:09:10,7,4.12,2,1,Left,4,3,4,6
10/11/2019,16:09:37,7,4.12,2,1,Left,5,3,5,9
10/11/2019,16:26:42,7,4.12,2,1,Left,6,5,6,633
10/11/2019,16:58:23,7,4.11,1,1,Left,7,5,7,105
10/11/2019,16:59:23,7,4.11,1,1,Left,8,5,8,1
10/11/2019,16:59:44,7,4.11,1,1,Left,9,5,9,2
10/11/2019,17:00:10,7,4.11,1,1,Left,10,5,10,2
10/11/2019,17:04:58,7,4.11,1,1,Left,11,8,11,1
10/11/2019,17:05:45,7,4.11,2,1,Left,12,8,12,16
10/11/2019,17:06:31,7,4.11,1,1,Left,13,8,13,2
10/11/2019,17:07:08,7,4.1,3,1,Left,14,8,14,9
10/11/2019,17:19:52,7,4.11,1,1,Left,15,8,15,414
10/11/2019,17:26:35,7,4.1,1,1,Left,16,8,16,10
10/11/2019,17:30:19,7,4.11,1,1,Left,17,8,17,43
10/11/2019,17:42:27,7,4.1,1,1,Left,18,9,18,2
10/11/2019,17:47:02,7,4.1,6,1,Left,19,9,19,2
10/11/2019,17:55:19,7,4.1,1,1,Left,20,9,20,2
10/11/2019,18:05:40,7,4.09,2,1,Left,21,9,21,2
10/11/2019,18:06:23,7,4.1,1,1,Left,22,9,22,7
10/11/2019,18:10:16,7,4.09,1,1,Left,23,11,23,8
10/11/2019,18:11:08,7,4.09,2,1,Left,24,11,24,14
10/11/2019,18:15:21,7,4.09,1,1,Left,25,11,25,2
10/11/2019,18:17:15,7,4.09,2,1,Left,26,11,26,82
10/11/2019,18:18:51,7,4.09,1,1,Left,27,11,27,2
10/11/2019,18:22:14,7,4.09,1,1,Left,28,11,28,4
