MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/14/2113 21:06:31,1.1.45,0,3.85,0,FR1,Poke,Left,1,0,0,nan
7/14/2113 21:10:53,1.1.45,0,3.87,2,FR1,Pellet,Left,1,0,1,88
7/14/2113 21:13:28,1.1.45,0,3.87,0,FR1,Poke,Left,2,0,1,nan
7/14/2113 21:13:36,1.1.45,0,3.87,1,FR1,Pellet,Left,2,0,2,5
7/14/2113 21:17:55,1.1.45,0,3.87,0,FR1,Poke,Left,3,0,2,nan
7/14/2113 21:17:59,1.1.45,0,3.87,1,FR1,Pellet,Left,3,0,3,2
7/14/2113 21:19:45,1.1.45,0,3.87,0,FR1,Poke,Left,4,0,3,nan
7/14/2113 21:19:49,1.1.45,0,3.87,1,FR1,Pellet,Left,4,0,4,1
7/14/2113 21:20:07,1.1.45,0,3.87,0,FR1,Poke,Left,5,0,4,nan
7/14/2113 21:20:10,1.1.45,0,3.87,1,FR1,Pellet,Left,5,0,5,0
7/14/2113 21:20:29,1.1.45,0,3.87,0,FR1,Poke,Left,6,0,5,nan
7/14/2113 21:20:32,1.1.45,0,3.87,1,FR1,Pellet,Left,6,0,6,1
7/14/2113 21:23:31,1.1.45,0,3.87,0,FR1,Poke,Left,7,0,6,nan
7/14/2113 21:23:39,1.1.45,0,3.87,1,FR1,Pellet,Left,7,0,7,6
7/14/2113 21:37:40,1.1.45,0,3.87,0,FR1,Poke,Left,8,0,7,nan
7/14/2113 21:37:44,1.1.45,0,3.87,1,FR1,Pellet,Left,8,0,8,2
7/14/2113 21:46:00,1.1.45,0,3.87,0,FR1,Poke,Left,8,1,8,nan
7/14/2113 23:05:53,1.1.45,0,3.87,0,FR1,Poke,Left,8,2,8,nan
7/14/2113 23:06:03,1.1.45,0,3.87,0,FR1,Poke,Left,9,2,8,nan
7/14/2113 23:06:06,1.1.45,0,3.87,1,FR1,Pellet,Left,9,2,9,1
7/14/2113 23:06:34,1.1.45,0,3.87,0,FR1,Poke,Left,10,2,9,nan
7/14/2113 23:06:46,1.1.45,0,3.87,2,FR1,Pellet,Left,10,2,10,7
7/14/2113 23:08:18,1.1.45,0,3.87,0,FR1,Poke,Left,10,3,10,nan
7/14/2113 23:08:54,1.1.45,0,3.87,0,FR1,Poke,Left,10,4,10,nan
7/14/2113 23:08:57,1.1.45,0,3.87,0,FR1,Poke,Left,10,5,10,nan
7/14/2113 23:09:02,1.1.45,0,3.87,0,FR1,Poke,Left,10,6,10,nan
7/14/2113 23:09:12,1.1.45,0,3.87,0,FR1,Poke,Left,11,6,10,nan
7/14/2113 23:09:15,1.1.45,0,3.87,1,FR1,Pellet,Left,11,6,11,1
7/15/2113 0:10:40,1.1.45,0,3.87,0,FR1,Poke,Left,11,7,11,nan
7/15/2113 0:10:45,1.1.45,0,3.87,0,FR1,Poke,Left,11,8,11,nan
7/15/2113 0:10:48,1.1.45,0,3.87,0,FR1,Poke,Left,11,9,11,nan
7/15/2113 0:10:51,1.1.45,0,3.87,0,FR1,Poke,Left,11,10,11,nan
7/15/2113 0:17:35,1.1.45,0,3.87,0,FR1,Poke,Left,11,11,11,nan
7/15/2113 0:17:38,1.1.45,0,3.87,0,FR1,Poke,Left,11,12,11,nan
7/15/2113 0:17:39,1.1.45,0,3.87,0,FR1,Poke,Left,11,13,11,nan
7/15/2113 0:17:47,1.1.45,0,3.87,0,FR1,Poke,Left,12,13,11,nan
7/15/2113 0:17:50,1.1.45,0,3.86,1,FR1,Pellet,Left,12,13,12,1
7/15/2113 0:18:16,1.1.45,0,3.86,0,FR1,Poke,Left,13,13,12,nan
7/15/2113 0:18:36,1.1.45,0,3.86,1,FR1,Pellet,Left,13,13,13,18
7/15/2113 0:19:11,1.1.45,0,3.86,0,FR1,Poke,Left,14,13,13,nan
7/15/2113 0:19:13,1.1.45,0,3.86,1,FR1,Pellet,Left,14,13,14,0
7/15/2113 0:19:55,1.1.45,0,3.86,0,FR1,Poke,Left,15,13,14,nan
7/15/2113 0:19:58,1.1.45,0,3.86,1,FR1,Pellet,Left,15,13,15,1
7/15/2113 0:20:38,1.1.45,0,3.86,0,FR1,Poke,Left,16,13,15,nan
7/15/2113 0:20:41,1.1.45,0,3.86,1,FR1,Pellet,Left,16,13,16,1
7/15/2113 0:21:26,1.1.45,0,3.86,0,FR1,Poke,Left,16,14,16,nan
7/15/2113 0:33:18,1.1.45,0,3.86,0,FR1,Poke,Left,16,15,16,nan
7/15/2113 0:33:30,1.1.45,0,3.86,0,FR1,Poke,Left,17,15,16,nan
7/15/2113 0:33:34,1.1.45,0,3.87,1,FR1,Pellet,Left,17,15,17,2
7/15/2113 1:47:44,1.1.45,0,3.87,0,FR1,Poke,Left,17,16,17,nan
7/15/2113 2:05:45,1.1.45,0,3.87,0,FR1,Poke,Left,17,17,17,nan
7/15/2113 2:05:50,1.1.45,0,3.87,0,FR1,Poke,Left,18,17,17,nan
7/15/2113 2:05:53,1.1.45,0,3.87,1,FR1,Pellet,Left,18,17,18,1
7/15/2113 2:06:43,1.1.45,0,3.87,0,FR1,Poke,Left,18,18,18,nan
7/15/2113 2:06:59,1.1.45,0,3.87,0,FR1,Poke,Left,18,19,18,nan
7/15/2113 2:07:08,1.1.45,0,3.87,0,FR1,Poke,Left,18,20,18,nan
7/15/2113 2:07:13,1.1.45,0,3.87,0,FR1,Poke,Left,18,21,18,nan
7/15/2113 2:07:17,1.1.45,0,3.87,0,FR1,Poke,Left,18,22,18,nan
7/15/2113 2:07:20,1.1.45,0,3.87,0,FR1,Poke,Left,19,22,18,nan
7/15/2113 2:07:23,1.1.45,0,3.87,1,FR1,Pellet,Left,19,22,19,1
7/15/2113 2:07:57,1.1.45,0,3.87,0,FR1,Poke,Left,19,23,19,nan
7/15/2113 2:43:46,1.1.45,0,3.87,0,FR1,Poke,Left,19,24,19,nan
7/15/2113 2:43:56,1.1.45,0,3.87,0,FR1,Poke,Left,19,25,19,nan
7/15/2113 2:44:02,1.1.45,0,3.87,0,FR1,Poke,Left,19,26,19,nan
7/15/2113 2:44:10,1.1.45,0,3.87,0,FR1,Poke,Left,19,27,19,nan
7/15/2113 2:44:14,1.1.45,0,3.87,0,FR1,Poke,Left,19,28,19,nan
7/15/2113 2:44:17,1.1.45,0,3.87,0,FR1,Poke,Left,19,29,19,nan
7/15/2113 3:07:38,1.1.45,0,3.87,0,FR1,Poke,Left,19,30,19,nan
7/15/2113 3:07:47,1.1.45,0,3.87,0,FR1,Poke,Left,19,31,19,nan
