MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/27/2020 15:42:54,3,4.03,0,1,Poke,Left,1,0,0,nan
7/27/2020 15:46:46,3,4.02,2,1,Pellet,Left,1,0,1,Timed_out
7/27/2020 21:25:00,3,4.02,0,1,Poke,Left,1,1,1,nan
7/27/2020 21:53:33,3,4.02,0,1,Poke,Left,2,1,1,nan
7/27/2020 21:53:37,3,4.01,1,1,Pellet,Left,2,1,2,2
7/27/2020 22:13:24,3,4.01,0,1,Poke,Left,3,1,2,nan
7/27/2020 22:13:27,3,4.01,1,1,Pellet,Left,3,1,3,1
7/27/2020 22:43:51,3,4.01,0,1,Poke,Left,4,1,3,nan
7/27/2020 22:43:54,3,4.01,1,1,Pellet,Left,4,1,4,1
7/27/2020 22:44:51,3,4.01,0,1,Poke,Left,5,1,4,nan
7/27/2020 22:44:54,3,4.00,1,1,Pellet,Left,5,1,5,1
7/27/2020 22:45:25,3,4.00,0,1,Poke,Left,6,1,5,nan
7/27/2020 22:45:37,3,4.00,3,1,Pellet,Left,6,1,6,6
7/27/2020 22:46:16,3,4.00,0,1,Poke,Left,7,1,6,nan
7/27/2020 22:46:19,3,4.00,1,1,Pellet,Left,7,1,7,0
7/27/2020 22:47:02,3,4.00,0,1,Poke,Left,8,1,7,nan
7/27/2020 22:47:05,3,4.00,1,1,Pellet,Left,8,1,8,1
7/27/2020 22:47:29,3,4.00,0,1,Poke,Left,9,1,8,nan
7/27/2020 22:47:32,3,4.00,1,1,Pellet,Left,9,1,9,1
7/27/2020 22:47:57,3,4.00,0,1,Poke,Left,10,1,9,nan
7/27/2020 22:47:59,3,4.00,1,1,Pellet,Left,10,1,10,0
7/27/2020 22:48:26,3,4.00,0,1,Poke,Left,11,1,10,nan
7/27/2020 22:48:37,3,4.00,2,1,Pellet,Left,11,1,11,9
7/27/2020 22:49:16,3,4.00,0,1,Poke,Left,12,1,11,nan
7/27/2020 22:49:20,3,4.01,1,1,Pellet,Left,12,1,12,1
7/27/2020 22:49:41,3,4.01,0,1,Poke,Left,13,1,12,nan
7/27/2020 22:49:44,3,4.01,1,1,Pellet,Left,13,1,13,1
7/27/2020 22:50:13,3,4.01,0,1,Poke,Left,14,1,13,nan
7/27/2020 22:50:16,3,4.01,1,1,Pellet,Left,14,1,14,0
7/27/2020 22:50:31,3,4.01,0,1,Poke,Left,15,1,14,nan
7/27/2020 22:50:34,3,4.01,1,1,Pellet,Left,15,1,15,1
7/27/2020 22:50:55,3,4.01,0,1,Poke,Left,16,1,15,nan
7/27/2020 22:50:58,3,4.01,1,1,Pellet,Left,16,1,16,1
