MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/24/2020 8:59:34,1.1.45,700,4.15,0,FR1,Poke,Left,1,0,0,nan
8/24/2020 9:00:11,1.1.45,700,4.15,3,FR1,Pellet,Left,1,0,1,32
8/24/2020 9:00:29,1.1.45,700,4.15,0,FR1,Poke,Left,1,1,1,nan
8/24/2020 9:01:28,1.1.45,700,4.15,0,FR1,Poke,Left,2,1,1,nan
8/24/2020 9:01:31,1.1.45,700,4.16,1,FR1,Pellet,Left,2,1,2,1
8/24/2020 9:01:50,1.1.45,700,4.16,0,FR1,Poke,Left,3,1,2,nan
8/24/2020 9:01:53,1.1.45,700,4.16,1,FR1,Pellet,Left,3,1,3,1
8/24/2020 9:03:32,1.1.45,700,4.16,0,FR1,Poke,Left,4,1,3,nan
8/24/2020 9:03:35,1.1.45,700,4.16,1,FR1,Pellet,Left,4,1,4,1
8/24/2020 9:05:44,1.1.45,700,4.16,0,FR1,Poke,Left,5,1,4,nan
8/24/2020 9:05:47,1.1.45,700,4.16,1,FR1,Pellet,Left,5,1,5,1
8/24/2020 9:07:21,1.1.45,700,4.16,0,FR1,Poke,Left,6,1,5,nan
8/24/2020 9:07:24,1.1.45,700,4.15,1,FR1,Pellet,Left,6,1,6,1
8/24/2020 9:07:49,1.1.45,700,4.15,0,FR1,Poke,Left,7,1,6,nan
8/24/2020 9:07:51,1.1.45,700,4.16,1,FR1,Pellet,Left,7,1,7,1
8/24/2020 9:10:16,1.1.45,700,4.16,0,FR1,Poke,Left,8,1,7,nan
8/24/2020 9:10:20,1.1.45,700,4.15,1,FR1,Pellet,Left,8,1,8,2
8/24/2020 9:10:45,1.1.45,700,4.15,0,FR1,Poke,Left,9,1,8,nan
8/24/2020 9:10:48,1.1.45,700,4.15,1,FR1,Pellet,Left,9,1,9,1
8/24/2020 9:11:17,1.1.45,700,4.15,0,FR1,Poke,Left,10,1,9,nan
8/24/2020 9:13:25,1.1.45,700,4.16,1,FR1,Pellet,Left,10,1,10,Timed_out
8/24/2020 9:13:27,1.1.45,700,4.16,0,FR1,Poke,Left,11,1,10,nan
8/24/2020 9:13:30,1.1.45,700,4.15,1,FR1,Pellet,Left,11,1,11,1
8/24/2020 9:17:45,1.1.45,700,4.15,0,FR1,Poke,Left,12,1,11,nan
8/24/2020 9:17:48,1.1.45,700,4.15,1,FR1,Pellet,Left,12,1,12,1
8/24/2020 12:59:01,1.1.45,700,4.15,0,FR1,Poke,Left,13,1,12,nan
8/24/2020 13:00:00,1.1.45,700,4.12,2,FR1,Pellet,Left,13,1,13,56
8/24/2020 13:00:02,1.1.45,700,4.12,0,FR1,Poke,Left,14,1,13,nan
8/24/2020 13:00:04,1.1.45,700,4.13,1,FR1,Pellet,Left,14,1,14,0
8/24/2020 13:00:45,1.1.45,700,4.13,0,FR1,Poke,Left,15,1,14,nan
8/24/2020 13:00:48,1.1.45,700,4.12,1,FR1,Pellet,Left,15,1,15,1
8/24/2020 13:01:16,1.1.45,700,4.12,0,FR1,Poke,Left,16,1,15,nan
8/24/2020 13:01:41,1.1.45,700,4.13,1,FR1,Pellet,Left,16,1,16,22
8/24/2020 13:01:42,1.1.45,700,4.13,0,FR1,Poke,Left,17,1,16,nan
8/24/2020 13:01:45,1.1.45,700,4.13,1,FR1,Pellet,Left,17,1,17,1
8/24/2020 13:05:15,1.1.45,700,4.13,0,FR1,Poke,Left,18,1,17,nan
8/24/2020 13:05:18,1.1.45,700,4.12,1,FR1,Pellet,Left,18,1,18,1
8/24/2020 13:05:36,1.1.45,700,4.12,0,FR1,Poke,Left,19,1,18,nan
8/24/2020 13:05:40,1.1.45,700,4.12,1,FR1,Pellet,Left,19,1,19,1
8/24/2020 13:05:56,1.1.45,700,4.12,0,FR1,Poke,Left,20,1,19,nan
8/24/2020 13:05:59,1.1.45,700,4.12,1,FR1,Pellet,Left,20,1,20,1
8/24/2020 13:08:31,1.1.45,700,4.12,0,FR1,Poke,Left,21,1,20,nan
8/24/2020 14:57:37,1.1.45,700,4.12,1,FR1,Pellet,Left,21,1,21,Timed_out
8/24/2020 18:09:14,1.1.45,700,4.12,0,FR1,Poke,Left,22,1,21,nan
8/24/2020 18:09:18,1.1.45,700,4.10,1,FR1,Pellet,Left,22,1,22,2
8/24/2020 18:12:33,1.1.45,700,4.10,0,FR1,Poke,Left,23,1,22,nan
8/24/2020 18:13:32,1.1.45,700,4.10,1,FR1,Pellet,Left,23,1,23,57
8/24/2020 18:15:34,1.1.45,700,4.10,0,FR1,Poke,Left,24,1,23,nan
8/24/2020 18:15:39,1.1.45,700,4.10,1,FR1,Pellet,Left,24,1,24,3
8/24/2020 18:16:15,1.1.45,700,4.10,0,FR1,Poke,Left,24,2,24,nan
8/24/2020 18:16:25,1.1.45,700,4.10,0,FR1,Poke,Left,25,2,24,nan
8/24/2020 18:16:29,1.1.45,700,4.10,1,FR1,Pellet,Left,25,2,25,2
8/24/2020 18:16:49,1.1.45,700,4.10,0,FR1,Poke,Left,26,2,25,nan
8/24/2020 18:16:52,1.1.45,700,4.09,1,FR1,Pellet,Left,26,2,26,1
