MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/21/2020 17:34:41,1.1.45,583,3.89,0,FR1,Poke,Left,1,0,0,nan
8/21/2020 17:34:55,1.1.45,583,3.89,1,FR1,Pellet,Left,1,0,1,12
8/21/2020 17:36:35,1.1.45,583,3.89,0,FR1,Poke,Left,2,0,1,nan
8/21/2020 17:36:39,1.1.45,583,3.89,1,FR1,Pellet,Left,2,0,2,1
8/21/2020 17:38:46,1.1.45,583,3.89,0,FR1,Poke,Left,3,0,2,nan
8/21/2020 17:38:51,1.1.45,583,3.89,1,FR1,Pellet,Left,3,0,3,3
8/21/2020 17:40:54,1.1.45,583,3.89,0,FR1,Poke,Left,4,0,3,nan
8/21/2020 17:40:57,1.1.45,583,3.89,1,FR1,Pellet,Left,4,0,4,1
8/21/2020 17:41:42,1.1.45,583,3.89,0,FR1,Poke,Left,5,0,4,nan
8/21/2020 17:41:45,1.1.45,583,3.89,1,FR1,Pellet,Left,5,0,5,1
8/21/2020 17:42:11,1.1.45,583,3.89,0,FR1,Poke,Left,5,1,5,nan
8/21/2020 17:44:09,1.1.45,583,3.89,0,FR1,Poke,Left,6,1,5,nan
8/21/2020 17:44:12,1.1.45,583,3.89,1,FR1,Pellet,Left,6,1,6,1
8/21/2020 17:46:49,1.1.45,583,3.89,0,FR1,Poke,Left,6,2,6,nan
8/21/2020 17:48:07,1.1.45,583,3.89,0,FR1,Poke,Left,7,2,6,nan
8/21/2020 17:48:10,1.1.45,583,3.89,1,FR1,Pellet,Left,7,2,7,1
8/21/2020 17:53:23,1.1.45,583,3.89,0,FR1,Poke,Left,8,2,7,nan
8/21/2020 17:53:26,1.1.45,583,3.89,1,FR1,Pellet,Left,8,2,8,1
8/21/2020 18:57:05,1.1.45,583,3.89,0,FR1,Poke,Left,9,2,8,nan
8/21/2020 18:57:10,1.1.45,583,3.88,1,FR1,Pellet,Left,9,2,9,3
8/21/2020 18:58:00,1.1.45,583,3.88,0,FR1,Poke,Left,10,2,9,nan
8/21/2020 18:58:03,1.1.45,583,3.88,1,FR1,Pellet,Left,10,2,10,1
8/21/2020 18:58:20,1.1.45,583,3.88,0,FR1,Poke,Left,11,2,10,nan
8/21/2020 18:58:22,1.1.45,583,3.88,1,FR1,Pellet,Left,11,2,11,0
8/21/2020 18:58:38,1.1.45,583,3.89,0,FR1,Poke,Left,12,2,11,nan
8/21/2020 18:58:41,1.1.45,583,3.89,1,FR1,Pellet,Left,12,2,12,1
8/21/2020 18:58:58,1.1.45,583,3.89,0,FR1,Poke,Left,13,2,12,nan
8/21/2020 18:59:01,1.1.45,583,3.89,1,FR1,Pellet,Left,13,2,13,1
8/21/2020 18:59:10,1.1.45,583,3.89,0,FR1,Poke,Left,14,2,13,nan
8/21/2020 18:59:14,1.1.45,583,3.89,2,FR1,Pellet,Left,14,2,14,1
8/21/2020 18:59:32,1.1.45,583,3.89,0,FR1,Poke,Left,15,2,14,nan
8/21/2020 19:32:19,1.1.45,583,3.89,1,FR1,Pellet,Left,15,2,15,Timed_out
8/21/2020 19:32:40,1.1.45,583,3.89,0,FR1,Poke,Left,16,2,15,nan
8/21/2020 19:32:44,1.1.45,583,3.87,1,FR1,Pellet,Left,16,2,16,1
8/21/2020 19:33:06,1.1.45,583,3.87,0,FR1,Poke,Left,17,2,16,nan
8/21/2020 19:33:09,1.1.45,583,3.89,1,FR1,Pellet,Left,17,2,17,1
8/21/2020 19:33:34,1.1.45,583,3.89,0,FR1,Poke,Left,18,2,17,nan
8/21/2020 19:33:36,1.1.45,583,3.89,1,FR1,Pellet,Left,18,2,18,0
8/21/2020 19:33:48,1.1.45,583,3.89,0,FR1,Poke,Left,19,2,18,nan
8/21/2020 19:33:51,1.1.45,583,3.89,1,FR1,Pellet,Left,19,2,19,1
8/21/2020 19:34:06,1.1.45,583,3.89,0,FR1,Poke,Left,20,2,19,nan
8/21/2020 19:34:09,1.1.45,583,3.88,1,FR1,Pellet,Left,20,2,20,1
8/21/2020 19:34:30,1.1.45,583,3.88,0,FR1,Poke,Left,21,2,20,nan
8/21/2020 19:34:34,1.1.45,583,3.88,1,FR1,Pellet,Left,21,2,21,1
8/21/2020 19:34:53,1.1.45,583,3.88,0,FR1,Poke,Left,22,2,21,nan
8/21/2020 19:34:56,1.1.45,583,3.88,1,FR1,Pellet,Left,22,2,22,1
8/21/2020 20:05:49,1.1.45,583,3.88,0,FR1,Poke,Left,22,3,22,nan
8/21/2020 20:05:58,1.1.45,583,3.88,0,FR1,Poke,Left,23,3,22,nan
8/21/2020 20:06:01,1.1.45,583,3.88,1,FR1,Pellet,Left,23,3,23,1
8/21/2020 20:06:10,1.1.45,583,3.88,0,FR1,Poke,Left,24,3,23,nan
8/21/2020 20:06:13,1.1.45,583,3.88,1,FR1,Pellet,Left,24,3,24,1
8/21/2020 20:06:30,1.1.45,583,3.88,0,FR1,Poke,Left,25,3,24,nan
8/21/2020 20:06:34,1.1.45,583,3.88,2,FR1,Pellet,Left,25,3,25,1
8/21/2020 20:06:55,1.1.45,583,3.88,0,FR1,Poke,Left,26,3,25,nan
8/21/2020 20:06:58,1.1.45,583,3.87,1,FR1,Pellet,Left,26,3,26,1
8/21/2020 20:07:17,1.1.45,583,3.87,0,FR1,Poke,Left,27,3,26,nan
8/21/2020 20:07:20,1.1.45,583,3.87,1,FR1,Pellet,Left,27,3,27,1
8/21/2020 20:07:42,1.1.45,583,3.87,0,FR1,Poke,Left,28,3,27,nan
8/21/2020 20:07:45,1.1.45,583,3.88,1,FR1,Pellet,Left,28,3,28,1
8/21/2020 20:23:22,1.1.45,583,3.88,0,FR1,Poke,Left,29,3,28,nan
8/21/2020 20:23:24,1.1.45,583,3.88,1,FR1,Pellet,Left,29,3,29,0
8/21/2020 20:23:44,1.1.45,583,3.88,0,FR1,Poke,Left,30,3,29,nan
8/21/2020 20:23:47,1.1.45,583,3.88,1,FR1,Pellet,Left,30,3,30,1
8/21/2020 20:24:04,1.1.45,583,3.88,0,FR1,Poke,Left,31,3,30,nan
8/21/2020 20:24:07,1.1.45,583,3.88,1,FR1,Pellet,Left,31,3,31,1
8/21/2020 20:34:06,1.1.45,583,3.88,0,FR1,Poke,Left,31,4,31,nan
8/21/2020 20:34:09,1.1.45,583,3.88,0,FR1,Poke,Left,32,4,31,nan
8/21/2020 20:34:14,1.1.45,583,3.87,1,FR1,Pellet,Left,32,4,32,3
8/21/2020 20:48:41,1.1.45,583,3.87,0,FR1,Poke,Left,33,4,32,nan
8/21/2020 20:48:44,1.1.45,583,3.88,1,FR1,Pellet,Left,33,4,33,1
8/21/2020 20:49:06,1.1.45,583,3.88,0,FR1,Poke,Left,34,4,33,nan
8/21/2020 20:49:09,1.1.45,583,3.87,1,FR1,Pellet,Left,34,4,34,0
8/21/2020 20:49:26,1.1.45,583,3.87,0,FR1,Poke,Left,35,4,34,nan
8/21/2020 20:49:29,1.1.45,583,3.87,1,FR1,Pellet,Left,35,4,35,1
8/21/2020 20:49:42,1.1.45,583,3.87,0,FR1,Poke,Left,36,4,35,nan
8/21/2020 20:49:45,1.1.45,583,3.88,1,FR1,Pellet,Left,36,4,36,1
8/21/2020 20:49:59,1.1.45,583,3.88,0,FR1,Poke,Left,37,4,36,nan
8/21/2020 20:50:02,1.1.45,583,3.88,1,FR1,Pellet,Left,37,4,37,1
8/21/2020 20:51:43,1.1.45,583,3.88,0,FR1,Poke,Left,37,5,37,nan
8/21/2020 20:55:30,1.1.45,583,3.88,0,FR1,Poke,Left,37,6,37,nan
8/21/2020 20:59:52,1.1.45,583,3.88,0,FR1,Poke,Left,37,7,37,nan
8/21/2020 21:00:36,1.1.45,583,3.88,0,FR1,Poke,Left,38,7,37,nan
8/21/2020 21:00:39,1.1.45,583,3.88,1,FR1,Pellet,Left,38,7,38,1
8/21/2020 21:00:51,1.1.45,583,3.88,0,FR1,Poke,Left,39,7,38,nan
8/21/2020 21:00:55,1.1.45,583,3.87,1,FR1,Pellet,Left,39,7,39,1
8/21/2020 21:01:16,1.1.45,583,3.87,0,FR1,Poke,Left,40,7,39,nan
8/21/2020 21:01:19,1.1.45,583,3.87,1,FR1,Pellet,Left,40,7,40,0
8/21/2020 21:01:33,1.1.45,583,3.87,0,FR1,Poke,Left,40,8,40,nan
8/21/2020 21:03:42,1.1.45,583,3.87,0,FR1,Poke,Left,41,8,40,nan
8/21/2020 21:03:44,1.1.45,583,3.87,1,FR1,Pellet,Left,41,8,41,1
8/21/2020 21:04:07,1.1.45,583,3.87,0,FR1,Poke,Left,41,9,41,nan
8/21/2020 21:07:45,1.1.45,583,3.87,0,FR1,Poke,Left,42,9,41,nan
8/21/2020 21:07:48,1.1.45,583,3.87,1,FR1,Pellet,Left,42,9,42,0
8/21/2020 21:08:04,1.1.45,583,3.87,0,FR1,Poke,Left,43,9,42,nan
8/21/2020 21:08:08,1.1.45,583,3.88,1,FR1,Pellet,Left,43,9,43,1
8/21/2020 21:08:25,1.1.45,583,3.88,0,FR1,Poke,Left,44,9,43,nan
8/21/2020 21:08:30,1.1.45,583,3.87,2,FR1,Pellet,Left,44,9,44,1
8/21/2020 21:24:20,1.1.45,583,3.87,0,FR1,Poke,Left,45,9,44,nan
8/21/2020 21:24:22,1.1.45,583,3.87,1,FR1,Pellet,Left,45,9,45,0
8/21/2020 21:24:48,1.1.45,583,3.88,0,FR1,Poke,Left,46,9,45,nan
8/21/2020 21:24:51,1.1.45,583,3.88,1,FR1,Pellet,Left,46,9,46,0
8/21/2020 21:25:08,1.1.45,583,3.88,0,FR1,Poke,Left,47,9,46,nan
8/21/2020 21:25:11,1.1.45,583,3.87,1,FR1,Pellet,Left,47,9,47,1
8/21/2020 21:25:28,1.1.45,583,3.87,0,FR1,Poke,Left,48,9,47,nan
8/21/2020 21:25:31,1.1.45,583,3.87,1,FR1,Pellet,Left,48,9,48,1
8/21/2020 21:25:49,1.1.45,583,3.87,0,FR1,Poke,Left,49,9,48,nan
8/21/2020 21:26:07,1.1.45,583,3.87,1,FR1,Pellet,Left,49,9,49,16
8/21/2020 21:26:08,1.1.45,583,3.87,0,FR1,Poke,Left,50,9,49,nan
8/21/2020 21:26:11,1.1.45,583,3.87,1,FR1,Pellet,Left,50,9,50,1
8/21/2020 21:26:33,1.1.45,583,3.87,0,FR1,Poke,Left,51,9,50,nan
8/21/2020 21:26:36,1.1.45,583,3.87,1,FR1,Pellet,Left,51,9,51,0
8/21/2020 21:32:10,1.1.45,583,3.87,0,FR1,Poke,Left,52,9,51,nan
8/21/2020 21:32:13,1.1.45,583,3.87,1,FR1,Pellet,Left,52,9,52,1
8/21/2020 21:35:35,1.1.45,583,3.87,0,FR1,Poke,Left,53,9,52,nan
8/21/2020 21:35:37,1.1.45,583,3.87,1,FR1,Pellet,Left,53,9,53,0
