MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/5/2020 16:30:31,1.1.45,7,4.14,0,FR3,Poke,Left,1,0,0,nan
8/5/2020 16:30:32,1.1.45,7,4.14,0,FR3,Poke,Left,2,0,0,nan
8/5/2020 16:30:33,1.1.45,7,4.14,0,FR3,Poke,Left,3,0,0,nan
8/5/2020 16:31:27,1.1.45,7,4.14,1,FR3,Pellet,Left,3,0,1,52
8/5/2020 16:32:14,1.1.45,7,4.14,0,FR3,Poke,Left,4,0,1,nan
8/5/2020 16:34:32,1.1.45,7,4.14,0,FR3,Poke,Left,5,0,1,nan
8/5/2020 16:34:39,1.1.45,7,4.14,0,FR3,Poke,Left,6,0,1,nan
8/5/2020 16:34:43,1.1.45,7,4.14,2,FR3,Pellet,Left,6,0,2,1
8/5/2020 16:35:12,1.1.45,7,4.14,0,FR3,Poke,Left,7,0,2,nan
8/5/2020 16:35:18,1.1.45,7,4.14,0,FR3,Poke,Left,8,0,2,nan
8/5/2020 16:35:29,1.1.45,7,4.14,0,FR3,Poke,Left,9,0,2,nan
8/5/2020 16:35:37,1.1.45,7,4.14,2,FR3,Pellet,Left,9,0,3,4
8/5/2020 16:36:01,1.1.45,7,4.14,0,FR3,Poke,Left,10,0,3,nan
8/5/2020 16:36:13,1.1.45,7,4.14,0,FR3,Poke,Left,11,0,3,nan
8/5/2020 16:36:23,1.1.45,7,4.14,0,FR3,Poke,Left,12,0,3,nan
8/5/2020 16:36:39,1.1.45,7,4.14,1,FR3,Pellet,Left,12,0,4,14
8/5/2020 16:36:41,1.1.45,7,4.14,0,FR3,Poke,Left,13,0,4,nan
8/5/2020 16:37:08,1.1.45,7,4.14,0,FR3,Poke,Left,14,0,4,nan
8/5/2020 16:37:12,1.1.45,7,4.14,0,FR3,Poke,Left,15,0,4,nan
