MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
6/9/2020 15:38:40,0,4.18,0,1,Poke,Left,1,0,0,nan
6/9/2020 15:38:46,0,4.20,2,1,Pellet,Left,1,0,1,1
6/9/2020 15:38:52,0,4.18,0,1,Poke,Left,2,0,1,nan
6/9/2020 15:41:49,0,4.20,1,1,Pellet,Left,2,0,2,Timed_out
6/9/2020 15:55:47,0,4.19,0,1,Poke,Left,2,1,2,nan
6/9/2020 15:56:44,0,4.19,0,1,Poke,Left,2,2,2,nan
6/9/2020 15:56:46,0,4.19,0,1,Poke,Left,2,3,2,nan
6/9/2020 15:58:55,0,4.19,0,1,Poke,Left,2,4,2,nan
6/9/2020 16:03:20,0,4.18,0,1,Poke,Left,3,4,2,nan
6/9/2020 16:03:44,0,4.20,20,1,Pellet,Left,3,4,3,4
6/9/2020 16:04:17,0,4.19,0,1,Poke,Left,4,4,3,nan
6/9/2020 16:04:27,0,4.20,3,1,Pellet,Left,4,4,4,4
6/9/2020 16:04:46,0,4.19,0,1,Poke,Left,5,4,4,nan
6/9/2020 16:04:53,0,4.19,2,1,Pellet,Left,5,4,5,3
6/9/2020 16:07:45,0,4.19,0,1,Poke,Left,5,5,5,nan
6/9/2020 16:17:41,0,4.18,0,1,Poke,Left,6,5,5,nan
6/9/2020 16:17:45,0,4.19,1,1,Pellet,Left,6,5,6,1
6/9/2020 16:18:14,0,4.18,0,1,Poke,Left,6,6,6,nan
6/9/2020 16:18:32,0,4.18,0,1,Poke,Left,7,6,6,nan
6/9/2020 16:18:36,0,4.19,1,1,Pellet,Left,7,6,7,1
6/9/2020 16:18:51,0,4.18,0,1,Poke,Left,8,6,7,nan
6/9/2020 16:18:55,0,4.19,1,1,Pellet,Left,8,6,8,1
6/9/2020 16:20:09,0,4.18,0,1,Poke,Left,9,6,8,nan
6/9/2020 16:20:14,0,4.19,1,1,Pellet,Left,9,6,9,2
6/9/2020 16:20:25,0,4.18,0,1,Poke,Left,10,6,9,nan
6/9/2020 16:20:29,0,4.20,1,1,Pellet,Left,10,6,10,1
6/9/2020 16:22:26,0,4.18,0,1,Poke,Left,11,6,10,nan
6/9/2020 16:22:34,0,4.19,2,1,Pellet,Left,11,6,11,3
6/9/2020 16:27:54,0,4.19,0,1,Poke,Left,11,7,11,nan
6/9/2020 16:32:57,0,4.18,0,1,Poke,Left,11,8,11,nan
6/9/2020 16:34:15,0,4.18,0,1,Poke,Left,12,8,11,nan
6/9/2020 16:34:19,0,4.19,1,1,Pellet,Left,12,8,12,1
6/9/2020 16:34:29,0,4.18,0,1,Poke,Left,13,8,12,nan
6/9/2020 16:34:34,0,4.20,1,1,Pellet,Left,13,8,13,1
6/9/2020 17:12:11,0,4.18,0,1,Poke,Left,14,8,13,nan
6/9/2020 17:12:16,0,4.19,1,1,Pellet,Left,14,8,14,2
6/9/2020 17:14:06,0,4.17,0,1,Poke,Left,14,9,14,nan
6/9/2020 17:57:36,0,4.17,0,1,Poke,Left,15,9,14,nan
6/9/2020 17:57:40,0,4.18,1,1,Pellet,Left,15,9,15,1
6/9/2020 17:57:59,0,4.17,0,1,Poke,Left,16,9,15,nan
6/9/2020 17:58:08,0,4.18,2,1,Pellet,Left,16,9,16,4
6/9/2020 17:58:25,0,4.17,0,1,Poke,Left,17,9,16,nan
6/9/2020 17:58:29,0,4.18,1,1,Pellet,Left,17,9,17,1
6/9/2020 17:59:03,0,4.17,0,1,Poke,Left,18,9,17,nan
6/9/2020 17:59:07,0,4.18,1,1,Poke,Left,18,9,18,nan
6/9/2020 17:59:22,0,4.17,0,1,Poke,Left,19,9,18,nan
6/9/2020 17:59:25,0,4.18,1,1,Poke,Left,19,9,19,nan
6/9/2020 17:59:50,0,4.17,0,1,Poke,Left,20,9,19,nan
6/9/2020 17:59:54,0,4.18,1,1,Poke,Left,20,9,20,nan
6/9/2020 18:00:07,0,4.16,0,1,Poke,Left,21,9,20,nan
6/9/2020 18:00:10,0,4.18,1,1,Pellet,Left,21,9,21,1
6/9/2020 18:00:23,0,4.17,0,1,Poke,Left,22,9,21,nan
6/9/2020 18:00:29,0,4.18,2,1,Pellet,Left,22,9,22,1
6/9/2020 18:13:58,0,4.17,0,1,Poke,Left,23,9,22,nan
6/9/2020 18:14:03,0,4.18,1,1,Pellet,Left,23,9,23,2
6/9/2020 18:49:08,0,4.16,0,1,Poke,Left,24,9,23,nan
6/9/2020 18:49:12,0,4.16,1,1,Pellet,Left,24,9,24,1
6/9/2020 18:49:32,0,4.16,0,1,Poke,Left,25,9,24,nan
6/9/2020 18:49:36,0,4.17,1,1,Pellet,Left,25,9,25,1
6/9/2020 18:49:45,0,4.16,0,1,Poke,Left,26,9,25,nan
6/9/2020 18:49:50,0,4.17,1,1,Pellet,Left,26,9,26,2
6/9/2020 18:52:10,0,4.16,0,1,Poke,Left,26,10,26,nan
