MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/21/2020 17:14,4,4.18,0,1,Poke,Left,0,1,0,nan
2/21/2020 17:36,4,4.18,0,1,Poke,Left,1,1,0,nan
2/21/2020 17:37,4,4.16,2,1,Pellet,Left,1,1,1,10
2/21/2020 17:39,4,4.18,0,1,Poke,Left,1,2,1,nan
2/21/2020 17:51,4,4.18,0,1,Poke,Left,1,3,1,nan
2/21/2020 18:05,4,4.18,0,1,Poke,Left,1,4,1,nan
2/21/2020 18:57,4,4.16,0,1,Poke,Left,2,4,1,nan
2/21/2020 18:57,4,4.15,2,1,Pellet,Left,2,4,2,2
2/21/2020 19:00,4,4.17,0,1,Poke,Left,2,5,2,nan
2/21/2020 21:10,4,4.14,0,1,Poke,Left,2,6,2,nan
2/21/2020 21:11,4,4.15,0,1,Poke,Left,2,7,2,nan
2/21/2020 21:49,4,4.14,0,1,Poke,Left,3,7,2,nan
2/21/2020 21:50,4,4.14,15,1,Pellet,Left,3,7,3,2
2/21/2020 21:50,4,4.14,0,1,Poke,Left,4,7,3,nan
2/21/2020 21:50,4,4.14,15,1,Pellet,Left,4,7,4,2
2/21/2020 21:51,4,4.14,0,1,Poke,Left,5,7,4,nan
2/21/2020 21:51,4,4.14,2,1,Pellet,Left,5,7,5,3
2/21/2020 21:52,4,4.14,0,1,Poke,Left,6,7,5,nan
2/21/2020 21:52,4,4.13,2,1,Pellet,Left,6,7,6,1
2/21/2020 21:52,4,4.14,0,1,Poke,Left,7,7,6,nan
2/21/2020 21:52,4,4.12,2,1,Pellet,Left,7,7,7,2
2/21/2020 21:52,4,4.14,0,1,Poke,Left,8,7,7,nan
2/21/2020 21:52,4,4.13,2,1,Pellet,Left,8,7,8,2
2/21/2020 21:53,4,4.14,0,1,Poke,Left,9,7,8,nan
2/21/2020 21:53,4,4.13,2,1,Pellet,Left,9,7,9,1
2/21/2020 21:53,4,4.14,0,1,Poke,Left,10,7,9,nan
2/21/2020 21:53,4,4.14,3,1,Pellet,Left,10,7,10,1
2/21/2020 21:53,4,4.14,0,1,Poke,Left,11,7,10,nan
2/21/2020 21:53,4,4.14,2,1,Pellet,Left,11,7,11,2
2/21/2020 21:54,4,4.14,0,1,Poke,Left,12,7,11,nan
2/21/2020 21:54,4,4.12,4,1,Pellet,Left,12,7,12,6
2/21/2020 21:55,4,4.14,0,1,Poke,Left,13,7,12,nan
2/21/2020 21:55,4,4.12,2,1,Pellet,Left,13,7,13,1
2/21/2020 21:55,4,4.14,0,1,Poke,Left,14,7,13,nan
2/21/2020 21:55,4,4.12,2,1,Pellet,Left,14,7,14,1
2/21/2020 21:55,4,4.14,0,1,Poke,Left,15,7,14,nan
2/21/2020 21:55,4,4.12,2,1,Pellet,Left,15,7,15,2
2/21/2020 21:56,4,4.14,0,1,Poke,Left,16,7,15,nan
2/21/2020 21:56,4,4.13,4,1,Pellet,Left,16,7,16,5
2/21/2020 21:58,4,4.14,0,1,Poke,Left,17,7,16,nan
2/21/2020 21:59,4,4.14,2,1,Pellet,Left,17,7,17,49
2/21/2020 22:19,4,4.14,0,1,Poke,Left,18,7,17,nan
2/21/2020 22:19,4,4.12,2,1,Pellet,Left,18,7,18,6
2/21/2020 22:19,4,4.14,0,1,Poke,Left,19,7,18,nan
2/21/2020 22:19,4,4.12,2,1,Pellet,Left,19,7,19,2
2/21/2020 22:20,4,4.14,0,1,Poke,Left,20,7,19,nan
2/21/2020 22:20,4,4.12,2,1,Pellet,Left,20,7,20,2
2/21/2020 22:20,4,4.14,0,1,Poke,Left,21,7,20,nan
2/21/2020 22:20,4,4.14,2,1,Pellet,Left,21,7,21,2
2/21/2020 22:20,4,4.14,0,1,Poke,Left,22,7,21,nan
