MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/21/2020 16:49,35,4.2,0,1,Poke,Left,1,0,0,nan
2/21/2020 17:09,35,4.21,2,1,Pellet,Left,1,0,1,959
2/21/2020 17:34,35,4.2,0,1,Poke,Left,1,1,1,nan
2/21/2020 17:48,35,4.2,0,1,Poke,Left,1,2,1,nan
2/21/2020 18:07,35,4.19,0,1,Poke,Left,1,3,1,nan
2/21/2020 18:37,35,4.19,0,1,Poke,Left,2,3,1,nan
2/21/2020 18:39,35,4.18,22,1,Pellet,Left,2,3,2,8
2/21/2020 18:43,35,4.19,0,1,Poke,Left,3,3,2,nan
2/21/2020 18:43,35,4.18,2,1,Pellet,Left,3,3,3,2
2/21/2020 19:00,35,4.18,0,1,Poke,Left,3,4,3,nan
2/21/2020 19:09,35,4.18,0,1,Poke,Left,3,5,3,nan
2/21/2020 19:09,35,4.18,0,1,Poke,Left,3,6,3,nan
2/21/2020 19:09,35,4.18,0,1,Poke,Left,3,7,3,nan
2/21/2020 19:09,35,4.18,0,1,Poke,Left,3,8,3,nan
2/21/2020 19:09,35,4.18,0,1,Poke,Left,3,9,3,nan
2/21/2020 19:09,35,4.18,0,1,Poke,Left,3,10,3,nan
2/21/2020 19:09,35,4.18,0,1,Poke,Left,3,11,3,nan
2/21/2020 19:09,35,4.19,0,1,Poke,Left,3,12,3,nan
2/21/2020 19:23,35,4.18,0,1,Poke,Left,3,13,3,nan
2/21/2020 19:33,35,4.18,0,1,Poke,Left,4,13,3,nan
2/21/2020 19:33,35,4.18,2,1,Pellet,Left,4,13,4,2
2/21/2020 19:33,35,4.18,0,1,Poke,Left,5,13,4,nan
2/21/2020 19:33,35,4.17,2,1,Pellet,Left,5,13,5,1
2/21/2020 19:34,35,4.18,0,1,Poke,Left,6,13,5,nan
2/21/2020 19:34,35,4.17,2,1,Pellet,Left,6,13,6,1
2/21/2020 19:35,35,4.18,0,1,Poke,Left,7,13,6,nan
2/21/2020 19:35,35,4.18,4,1,Pellet,Left,7,13,7,11
2/21/2020 19:39,35,4.18,0,1,Poke,Left,8,13,7,nan
2/21/2020 19:44,35,4.18,2,1,Pellet,Left,8,13,8,304
2/21/2020 19:48,35,4.18,0,1,Poke,Left,9,13,8,nan
2/21/2020 19:48,35,4.17,2,1,Pellet,Left,9,13,9,5
2/21/2020 19:57,35,4.18,0,1,Poke,Left,10,13,9,nan
2/21/2020 19:57,35,4.16,2,1,Pellet,Left,10,13,10,2
2/21/2020 19:57,35,4.18,0,1,Poke,Left,11,13,10,nan
2/21/2020 19:57,35,4.16,2,1,Pellet,Left,11,13,11,2
2/21/2020 19:58,35,4.18,0,1,Poke,Left,12,13,11,nan
2/21/2020 19:58,35,4.16,2,1,Pellet,Left,12,13,12,1
2/21/2020 20:11,35,4.18,0,1,Poke,Left,12,14,12,nan
2/21/2020 20:11,35,4.18,0,1,Poke,Left,12,15,12,nan
2/21/2020 20:11,35,4.18,0,1,Poke,Left,12,16,12,nan
2/21/2020 20:11,35,4.18,0,1,Poke,Left,12,17,12,nan
2/21/2020 20:11,35,4.18,0,1,Poke,Left,12,18,12,nan
2/21/2020 20:11,35,4.18,0,1,Poke,Left,13,18,12,nan
2/21/2020 20:12,35,4.17,4,1,Pellet,Left,13,18,13,18
2/21/2020 20:12,35,4.18,0,1,Poke,Left,14,18,13,nan
2/21/2020 20:13,35,4.16,4,1,Pellet,Left,14,18,14,9
2/21/2020 20:14,35,4.17,0,1,Poke,Left,14,19,14,nan
2/21/2020 20:29,35,4.17,0,1,Poke,Left,15,19,14,nan
2/21/2020 20:29,35,4.16,2,1,Pellet,Left,15,19,15,1
2/21/2020 20:33,35,4.17,0,1,Poke,Left,16,19,15,nan
2/21/2020 20:34,35,4.17,2,1,Pellet,Left,16,19,16,2
2/21/2020 20:34,35,4.16,0,1,Poke,Left,17,19,16,nan
2/21/2020 20:34,35,4.16,2,1,Pellet,Left,17,19,17,1
2/21/2020 21:05,35,4.16,0,1,Poke,Left,18,19,17,nan
2/21/2020 21:05,35,4.15,2,1,Pellet,Left,18,19,18,2
2/21/2020 21:06,35,4.16,0,1,Poke,Left,19,19,18,nan
2/21/2020 21:06,35,4.16,2,1,Pellet,Left,19,19,19,31
2/21/2020 21:51,35,4.16,0,1,Poke,Left,20,19,19,nan
2/21/2020 21:51,35,4.15,2,1,Pellet,Left,20,19,20,1
2/21/2020 21:51,35,4.16,0,1,Poke,Left,20,20,20,nan
2/21/2020 21:52,35,4.16,0,1,Poke,Left,20,21,20,nan
2/21/2020 21:52,35,4.16,0,1,Poke,Left,20,22,20,nan
2/21/2020 21:52,35,4.16,0,1,Poke,Left,21,22,20,nan
2/21/2020 21:54,35,4.16,3,1,Pellet,Left,21,22,21,127
2/21/2020 22:04,35,4.16,0,1,Poke,Left,21,23,21,nan
2/21/2020 22:04,35,4.16,0,1,Poke,Left,21,24,21,nan
2/21/2020 22:04,35,4.16,0,1,Poke,Left,21,25,21,nan
2/21/2020 22:23,35,4.16,0,1,Poke,Left,22,25,21,nan
2/21/2020 22:23,35,4.16,3,1,Pellet,Left,22,25,22,2
2/21/2020 22:24,35,4.16,0,1,Poke,Left,23,25,22,nan
2/21/2020 22:24,35,4.14,4,1,Pellet,Left,23,25,23,3
2/21/2020 22:25,35,4.16,0,1,Poke,Left,24,25,23,nan
2/21/2020 22:25,35,4.14,4,1,Pellet,Left,24,25,24,14
2/21/2020 22:30,35,4.16,0,1,Poke,Left,25,25,24,nan
2/21/2020 22:30,35,4.15,2,1,Pellet,Left,25,25,25,1
2/21/2020 22:30,35,4.16,0,1,Poke,Left,26,25,25,nan
2/21/2020 22:59,35,4.15,3,1,Pellet,Left,26,25,26,1739
2/21/2020 23:19,35,4.15,0,1,Poke,Left,27,25,26,nan
2/21/2020 23:19,35,4.14,2,1,Pellet,Left,27,25,27,1
2/21/2020 23:19,35,4.15,0,1,Poke,Left,28,25,27,nan
2/21/2020 23:19,35,4.14,2,1,Pellet,Left,28,25,28,1
2/21/2020 23:20,35,4.15,0,1,Poke,Left,29,25,28,nan
