MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/21/2020 16:50,2,4.17,0,1,Poke,Left,1,0,0,nan
2/21/2020 17:04,2,4.16,2,1,Pellet,Left,1,0,1,835
2/21/2020 17:05,2,4.17,0,1,Poke,Left,1,1,1,nan
2/21/2020 17:20,2,4.17,0,1,Poke,Left,1,2,1,nan
2/21/2020 17:20,2,4.17,0,1,Poke,Left,2,2,1,nan
2/21/2020 17:20,2,4.16,2,1,Pellet,Left,2,2,2,5
2/21/2020 17:33,2,4.17,0,1,Poke,Left,2,3,2,nan
2/21/2020 17:39,2,4.17,0,1,Poke,Left,3,3,2,nan
2/21/2020 17:39,2,4.16,4,1,Pellet,Left,3,3,3,13
2/21/2020 17:40,2,4.17,0,1,Poke,Left,3,4,3,nan
2/21/2020 17:40,2,4.17,0,1,Poke,Left,3,5,3,nan
2/21/2020 17:40,2,4.17,0,1,Poke,Left,3,6,3,nan
2/21/2020 17:40,2,4.16,0,1,Poke,Left,3,7,3,nan
2/21/2020 17:54,2,4.16,0,1,Poke,Left,4,7,3,nan
2/21/2020 17:54,2,4.16,4,1,Pellet,Left,4,7,4,1
2/21/2020 18:25,2,4.16,0,1,Poke,Left,5,7,4,nan
2/21/2020 18:25,2,4.16,2,1,Pellet,Left,5,7,5,4
2/21/2020 18:26,2,4.16,0,1,Poke,Left,6,7,5,nan
2/21/2020 18:26,2,4.16,3,1,Pellet,Left,6,7,6,10
2/21/2020 18:27,2,4.16,0,1,Poke,Left,6,8,6,nan
2/21/2020 18:27,2,4.16,0,1,Poke,Left,6,9,6,nan
2/21/2020 18:47,2,4.16,0,1,Poke,Left,7,9,6,nan
2/21/2020 18:47,2,4.15,4,1,Pellet,Left,7,9,7,9
2/21/2020 18:48,2,4.16,0,1,Poke,Left,8,9,7,nan
2/21/2020 18:48,2,4.15,2,1,Pellet,Left,8,9,8,1
2/21/2020 18:49,2,4.17,0,1,Poke,Left,9,9,8,nan
2/21/2020 18:49,2,4.16,15,1,Pellet,Left,9,9,9,9
2/21/2020 18:50,2,4.16,0,1,Poke,Left,9,10,9,nan
2/21/2020 18:50,2,4.16,0,1,Poke,Left,9,11,9,nan
2/21/2020 18:50,2,4.16,0,1,Poke,Left,9,12,9,nan
2/21/2020 18:50,2,4.16,0,1,Poke,Left,9,13,9,nan
2/21/2020 18:50,2,4.16,0,1,Poke,Left,9,14,9,nan
2/21/2020 18:50,2,4.16,0,1,Poke,Left,9,15,9,nan
2/21/2020 18:50,2,4.16,0,1,Poke,Left,10,15,9,nan
2/21/2020 18:51,2,4.16,4,1,Pellet,Left,10,15,10,15
2/21/2020 18:52,2,4.16,0,1,Poke,Left,11,15,10,nan
2/21/2020 18:52,2,4.16,2,1,Pellet,Left,11,15,11,2
2/21/2020 18:53,2,4.16,0,1,Poke,Left,12,15,11,nan
2/21/2020 18:53,2,4.16,4,1,Pellet,Left,12,15,12,10
2/21/2020 18:54,2,4.16,0,1,Poke,Left,13,15,12,nan
2/21/2020 18:54,2,4.14,4,1,Pellet,Left,13,15,13,11
2/21/2020 19:15,2,4.16,0,1,Poke,Left,13,16,13,nan
