MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Warning_Stim, Aversive_Stim, Active_Poke, Reward_Prob, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
12/12/2018 15:09:38,39,4.04,3,1,0,0,Left,NA,1,2,1,34
12/12/2018 15:12:31,39,4.04,3,1,0,0,Left,NA,2,2,2,16
12/12/2018 15:15:35,39,4.04,3,1,0,0,Left,NA,3,2,3,9
12/12/2018 15:17:56,39,4.05,20,1,0,0,Left,NA,4,2,4,3
12/12/2018 15:19:13,39,4.04,3,1,0,0,Left,NA,5,2,5,42
12/12/2018 15:23:14,39,4.04,3,1,0,0,Left,NA,6,3,6,1
12/12/2018 15:53:53,39,4.04,2,1,0,0,Left,NA,7,10,7,3
12/12/2018 15:56:23,39,4.04,3,1,0,0,Left,NA,8,12,8,25
12/12/2018 15:57:07,39,4.04,20,1,0,0,Left,NA,9,12,9,4
12/12/2018 15:58:49,39,4.04,9,1,0,0,Left,NA,10,13,10,2
12/12/2018 15:59:34,39,4.03,3,1,0,0,Left,NA,11,14,11,1
12/12/2018 15:59:55,39,4.04,3,1,0,0,Left,NA,12,14,12,2
12/12/2018 16:01:09,39,4.04,2,1,0,0,Left,NA,13,14,13,32
12/12/2018 16:06:09,39,4.04,3,1,0,0,Left,NA,14,14,14,16
12/12/2018 16:20:07,39,4.04,2,1,0,0,Left,NA,15,15,15,10
12/12/2018 16:38:49,39,4.03,7,1,0,0,Left,NA,16,16,16,13
12/12/2018 16:52:45,39,4.03,20,1,0,0,Left,NA,17,18,17,28
12/12/2018 17:45:33,39,4.03,6,1,0,0,Left,NA,18,18,18,77
12/12/2018 17:51:57,39,4.03,4,1,0,0,Left,NA,19,18,19,13
12/12/2018 17:52:38,39,4.03,6,1,0,0,Left,NA,20,18,20,8
12/12/2018 18:02:41,39,4.03,3,1,0,0,Left,NA,21,18,21,2
