MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/4/2020 19:23:09,4,3.93,0,1,Poke,Left,1,0,0,nan
2/4/2020 20:07:21,4,3.93,1,1,Pellet,Left,1,0,1,1
2/4/2020 20:10:56,4,3.93,0,1,Poke,Left,2,0,1,nan
2/4/2020 20:54:04,4,3.93,1,1,Pellet,Left,2,0,2,116
2/4/2020 21:05:22,4,3.92,0,1,Poke,Left,2,1,2,nan
2/4/2020 21:27:37,4,3.92,0,1,Poke,Left,2,2,2,nan
2/4/2020 21:27:39,4,3.91,0,1,Poke,Left,2,3,2,nan
2/4/2020 21:27:40,4,3.92,0,1,Poke,Left,2,4,2,nan
2/4/2020 21:32:08,4,3.92,0,1,Poke,Left,3,4,2,nan
2/4/2020 21:34:06,4,3.92,1,1,Pellet,Left,3,4,3,115
2/4/2020 21:45:25,4,3.91,0,1,Poke,Left,3,5,3,nan
2/4/2020 22:07:56,4,3.91,0,1,Poke,Left,4,5,3,nan
2/4/2020 22:08:16,4,3.91,1,1,Pellet,Left,4,5,4,8
2/4/2020 22:11:00,4,3.91,0,1,Poke,Left,5,5,4,nan
2/4/2020 22:11:33,4,3.91,1,1,Pellet,Left,5,5,5,8
2/4/2020 22:13:52,4,3.91,0,1,Poke,Left,6,5,5,nan
2/4/2020 22:15:55,4,3.91,1,1,Pellet,Left,6,5,6,80
2/4/2020 22:17:18,4,3.91,0,1,Poke,Left,7,5,6,nan
2/4/2020 22:17:31,4,3.91,1,1,Pellet,Left,7,5,7,10
2/4/2020 22:18:08,4,3.91,0,1,Poke,Left,8,5,7,nan
2/4/2020 22:18:36,4,3.91,1,1,Pellet,Left,8,5,8,24
2/4/2020 22:19:44,4,3.91,0,1,Poke,Left,9,5,8,nan
2/4/2020 22:19:49,4,3.91,2,1,Pellet,Left,9,5,9,1
2/4/2020 22:20:30,4,3.91,0,1,Poke,Left,10,5,9,nan
2/4/2020 22:20:39,4,3.91,1,1,Pellet,Left,10,5,10,3
2/4/2020 22:21:04,4,3.91,0,1,Poke,Left,11,5,10,nan
2/4/2020 22:21:17,4,3.91,1,1,Pellet,Left,11,5,11,3
2/4/2020 22:21:36,4,3.91,0,1,Poke,Left,12,5,11,nan
2/4/2020 22:21:48,4,3.91,1,1,Pellet,Left,12,5,12,7
2/4/2020 22:22:21,4,3.91,0,1,Poke,Left,12,6,12,nan
2/4/2020 22:40:47,4,3.91,0,1,Poke,Left,13,6,12,nan
2/4/2020 22:40:59,4,3.91,1,1,Pellet,Left,13,6,13,9
2/4/2020 22:48:33,4,3.91,0,1,Poke,Left,14,6,13,nan
2/4/2020 23:22:09,4,3.91,1,1,Pellet,Left,14,6,14,306
2/4/2020 23:25:06,4,3.91,0,1,Poke,Left,15,6,14,nan
2/4/2020 23:34:59,4,3.91,1,1,Pellet,Left,15,6,15,6
2/4/2020 23:40:32,4,3.91,0,1,Poke,Left,16,6,15,nan
2/4/2020 23:40:59,4,3.9,1,1,Pellet,Left,16,6,16,2
2/4/2020 23:48:37,4,3.91,0,1,Poke,Left,17,6,16,nan
2/4/2020 23:48:46,4,3.9,1,1,Pellet,Left,17,6,17,4
2/4/2020 23:49:14,4,3.9,0,1,Poke,Left,18,6,17,nan
2/4/2020 23:49:20,4,3.91,1,1,Pellet,Left,18,6,18,3
