MM:DD:YYYY hh:mm:ss, Mouse, Battery_Voltage, MotorTurns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
5/10/2020 8:55:15,23,4.20,0,1,Poke,Left,1,0,0,nan
5/10/2020 10:56:21,23,4.18,1,1,Pellet,Left,1,0,1,123
5/10/2020 10:58:39,23,4.18,0,1,Poke,Left,2,0,1,nan
5/10/2020 10:59:17,23,4.18,1,1,Pellet,Left,2,0,2,35
5/10/2020 11:00:06,23,4.18,0,1,Poke,Left,3,0,2,nan
5/10/2020 11:00:49,23,4.17,1,1,Pellet,Left,3,0,3,40
5/10/2020 11:02:37,23,4.18,0,1,Poke,Left,4,0,3,nan
5/10/2020 11:05:08,23,4.18,1,1,Pellet,Left,4,0,4,38
5/10/2020 11:09:04,23,4.18,0,1,Poke,Left,5,0,4,nan
5/10/2020 11:09:32,23,4.18,1,1,Pellet,Left,5,0,5,25
5/10/2020 11:13:37,23,4.18,0,1,Poke,Left,5,1,5,nan
5/10/2020 11:18:48,23,4.18,0,1,Poke,Left,6,1,5,nan
5/10/2020 11:22:09,23,4.17,1,1,Pellet,Left,6,1,6,198
5/10/2020 11:34:03,23,4.17,0,1,Poke,Left,7,1,6,nan
5/10/2020 11:36:12,23,4.18,1,1,Pellet,Left,7,1,7,7
5/10/2020 11:38:58,23,4.17,0,1,Poke,Left,7,2,7,nan
5/10/2020 11:38:59,23,4.17,0,1,Poke,Left,7,3,7,nan
5/10/2020 11:39:04,23,4.17,0,1,Poke,Left,7,4,7,nan
5/10/2020 11:39:28,23,4.17,0,1,Poke,Left,8,4,7,nan
5/10/2020 11:40:19,23,4.17,1,1,Pellet,Left,8,4,8,4
5/10/2020 11:40:23,23,4.17,0,1,Poke,Left,9,4,8,nan
5/10/2020 11:44:35,23,4.17,1,1,Pellet,Left,9,4,9,245
5/10/2020 11:51:32,23,4.16,0,1,Poke,Left,9,5,9,nan
5/10/2020 12:05:06,23,4.16,0,1,Poke,Left,9,6,9,nan
5/10/2020 12:07:46,23,4.16,0,1,Poke,Left,10,6,9,nan
5/10/2020 12:07:55,23,4.16,1,1,Pellet,Left,10,6,10,6
5/10/2020 12:08:03,23,4.16,0,1,Poke,Left,10,7,10,nan
5/10/2020 12:09:04,23,4.16,0,1,Poke,Left,11,7,10,nan
5/10/2020 12:09:12,23,4.16,1,1,Pellet,Left,11,7,11,4
5/10/2020 12:11:41,23,4.16,0,1,Poke,Left,11,8,11,nan
5/10/2020 12:25:16,23,4.16,0,1,Poke,Left,12,8,11,nan
5/10/2020 12:26:03,23,4.16,1,1,Pellet,Left,12,8,12,44
5/10/2020 12:27:12,23,4.16,0,1,Poke,Left,12,9,12,nan
5/10/2020 12:37:42,23,4.15,0,1,Poke,Left,12,10,12,nan
5/10/2020 12:38:03,23,4.16,0,1,Poke,Left,13,10,12,nan
5/10/2020 12:38:08,23,4.16,1,1,Pellet,Left,13,10,13,2
5/10/2020 12:38:11,23,4.16,0,1,Poke,Left,14,10,13,nan
5/10/2020 12:48:47,23,4.15,1,1,Pellet,Left,14,10,14,12
5/10/2020 12:54:45,23,4.16,0,1,Poke,Left,15,10,14,nan
5/10/2020 12:56:51,23,4.15,1,1,Pellet,Left,15,10,15,13
5/10/2020 12:58:15,23,4.15,0,1,Poke,Left,15,11,15,nan
5/10/2020 13:00:20,23,4.15,0,1,Poke,Left,16,11,15,nan
5/10/2020 13:00:35,23,4.15,1,1,Pellet,Left,16,11,16,3
5/10/2020 13:00:42,23,4.15,0,1,Poke,Left,17,11,16,nan
5/10/2020 13:15:52,23,4.14,1,1,Pellet,Left,17,11,17,241
5/10/2020 13:22:57,23,4.15,0,1,Poke,Left,17,12,17,nan
5/10/2020 13:23:02,23,4.15,0,1,Poke,Left,18,12,17,nan
5/10/2020 13:25:08,23,4.15,1,1,Pellet,Left,18,12,18,66
5/10/2020 13:28:37,23,4.14,0,1,Poke,Left,18,13,18,nan
5/10/2020 13:28:47,23,4.14,0,1,Poke,Left,19,13,18,nan
5/10/2020 13:32:55,23,4.14,1,1,Pellet,Left,19,13,19,77
5/10/2020 13:41:15,23,4.14,0,1,Poke,Left,20,13,19,nan
5/10/2020 13:46:49,23,4.15,1,1,Pellet,Left,20,13,20,202
5/10/2020 13:49:17,23,4.14,0,1,Poke,Left,21,13,20,nan
5/10/2020 13:49:33,23,4.14,1,1,Pellet,Left,21,13,21,8
5/10/2020 13:49:43,23,4.14,0,1,Poke,Left,22,13,21,nan
5/10/2020 13:50:40,23,4.14,1,1,Pellet,Left,22,13,22,4
5/10/2020 13:55:20,23,4.14,0,1,Poke,Left,23,13,22,nan
5/10/2020 14:04:47,23,4.14,1,1,Pellet,Left,23,13,23,4
5/10/2020 14:05:23,23,4.14,0,1,Poke,Left,23,14,23,nan
5/10/2020 14:06:08,23,4.15,0,1,Poke,Left,23,15,23,nan
5/10/2020 14:06:21,23,4.14,0,1,Poke,Left,24,15,23,nan
5/10/2020 14:09:45,23,4.14,1,1,Pellet,Left,24,15,24,199
5/10/2020 14:22:32,23,4.14,0,1,Poke,Left,24,16,24,nan
5/10/2020 14:23:44,23,4.14,0,1,Poke,Left,25,16,24,nan
5/10/2020 14:23:56,23,4.14,1,1,Pellet,Left,25,16,25,8
5/10/2020 14:24:23,23,4.14,0,1,Poke,Left,25,17,25,nan
5/10/2020 14:24:31,23,4.14,0,1,Poke,Left,25,18,25,nan
5/10/2020 14:25:15,23,4.14,0,1,Poke,Left,26,18,25,nan
5/10/2020 14:31:52,23,4.14,1,1,Pellet,Left,26,18,26,168
5/10/2020 14:34:23,23,4.14,0,1,Poke,Left,27,18,26,nan
5/10/2020 14:35:06,23,4.14,2,1,Pellet,Left,27,18,27,6
