MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/17/2019 23:31:22,2,3.59,1,1,Left,1,1,1,6
6/17/2019 23:34:01,2,3.59,1,1,Left,2,2,2,60
6/17/2019 23:36:56,2,3.59,1,1,Left,3,2,3,22
6/17/2019 23:40:53,2,3.59,1,1,Left,4,3,4,6
6/17/2019 23:42:04,2,3.59,1,1,Left,5,4,5,5
6/18/2019 0:23:07,2,3.58,1,1,Left,6,11,6,13
6/18/2019 0:24:17,2,3.58,1,1,Left,7,11,7,4
6/18/2019 0:25:37,2,3.59,1,1,Left,8,11,8,4
6/18/2019 0:31:08,2,3.59,1,1,Left,9,15,9,68
6/18/2019 0:44:22,2,3.58,1,1,Left,10,15,10,14
6/18/2019 0:48:50,2,3.58,1,1,Left,11,16,11,137
6/18/2019 0:50:24,2,3.59,1,1,Left,12,16,12,2
6/18/2019 0:51:49,2,3.58,1,1,Left,13,17,13,2
6/18/2019 1:30:15,2,3.58,2,1,Left,14,17,14,68
6/18/2019 1:31:35,2,3.58,2,1,Left,15,19,15,27
6/18/2019 1:35:34,2,3.58,1,1,Left,16,22,16,2
6/18/2019 1:55:59,2,3.58,1,1,Left,17,23,17,18
6/18/2019 2:19:11,2,3.58,1,1,Left,18,25,18,3
6/18/2019 2:23:33,2,3.59,1,1,Left,19,26,19,3
6/18/2019 2:24:15,2,3.58,1,1,Left,20,26,20,5
6/18/2019 2:25:28,2,3.58,2,1,Left,21,28,21,11
6/18/2019 2:27:00,2,3.58,2,1,Left,22,30,22,11
6/18/2019 3:03:14,2,3.58,1,1,Left,23,31,23,44
6/18/2019 3:21:51,2,3.58,1,1,Left,24,33,24,2
6/18/2019 3:23:15,2,3.58,1,1,Left,25,33,25,14
6/18/2019 3:24:06,2,3.58,1,1,Left,26,36,26,1
6/18/2019 3:24:35,2,3.58,1,1,Left,27,36,27,2
6/18/2019 3:25:46,2,3.58,2,1,Left,28,38,28,12
6/18/2019 3:26:41,2,3.58,2,1,Left,29,38,29,8
6/18/2019 3:27:38,2,3.58,2,1,Left,30,38,30,11
6/18/2019 5:42:35,2,3.58,3,1,Left,31,40,31,1319
6/18/2019 6:35:47,2,3.57,1,1,Left,32,42,32,5
6/18/2019 6:36:35,2,3.58,1,1,Left,33,43,33,6
6/18/2019 6:37:08,2,3.58,2,1,Left,34,43,34,2
6/18/2019 6:38:14,2,3.58,2,1,Left,35,44,35,12
6/18/2019 6:39:19,2,3.58,1,1,Left,36,44,36,2
6/18/2019 6:40:34,2,3.57,2,1,Left,37,45,37,9
6/18/2019 8:29:40,2,3.56,2,1,Left,38,45,38,6516
6/18/2019 8:35:05,2,3.57,1,1,Left,39,45,39,2
6/18/2019 8:35:57,2,3.57,1,1,Left,40,47,40,4
6/18/2019 8:36:33,2,3.57,1,1,Left,41,47,41,2
6/18/2019 8:37:01,2,3.57,1,1,Left,42,47,42,2
6/18/2019 8:37:33,2,3.57,2,1,Left,43,47,43,8
6/18/2019 8:43:47,2,3.57,1,1,Left,44,47,44,338
6/18/2019 10:35:12,2,3.56,1,1,Left,45,47,45,417
6/18/2019 10:37:46,2,3.56,1,1,Left,46,48,46,45
6/18/2019 10:39:09,2,3.56,2,1,Left,47,49,47,10
6/18/2019 10:39:55,2,3.56,1,1,Left,48,50,48,2
6/18/2019 10:40:36,2,3.56,2,1,Left,49,50,49,6
6/18/2019 10:41:08,2,3.56,1,1,Left,50,50,50,10
6/18/2019 10:43:52,2,3.56,1,1,Left,51,50,51,65
