MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
7/4/2020 8:58:41,1,3.96,0,1,Poke,Left,1,0,0,nan
7/4/2020 8:58:50,1,3.96,2,1,Pellet,Left,1,0,1,3
7/4/2020 9:02:23,1,3.96,0,1,Poke,Left,1,1,1,nan
7/4/2020 9:02:25,1,3.96,0,1,Poke,Left,2,1,1,nan
7/4/2020 9:02:39,1,3.96,2,1,Pellet,Left,2,1,2,8
7/4/2020 9:02:49,1,3.96,0,1,Poke,Left,3,1,2,nan
7/4/2020 9:02:54,1,3.96,1,1,Pellet,Left,3,1,3,2
7/4/2020 9:05:08,1,3.97,0,1,Poke,Left,4,1,3,nan
7/4/2020 9:05:13,1,3.96,1,1,Pellet,Left,4,1,4,2
7/4/2020 9:07:43,1,3.96,0,1,Poke,Left,4,2,4,nan
7/4/2020 9:08:29,1,3.96,0,1,Poke,Left,5,2,4,nan
7/4/2020 9:08:41,1,3.96,1,1,Pellet,Left,5,2,5,9
7/4/2020 9:09:37,1,3.96,0,1,Poke,Left,6,2,5,nan
7/4/2020 9:09:52,1,3.96,3,1,Pellet,Left,6,2,6,8
7/4/2020 9:10:01,1,3.96,0,1,Poke,Left,6,3,6,nan
7/4/2020 9:10:06,1,3.96,0,1,Poke,Left,6,4,6,nan
7/4/2020 9:12:02,1,3.96,0,1,Poke,Left,7,4,6,nan
7/4/2020 9:14:22,1,3.96,2,1,Pellet,Left,7,4,7,5
7/4/2020 9:16:29,1,3.96,0,1,Poke,Left,7,5,7,nan
7/4/2020 9:16:49,1,3.96,0,1,Poke,Left,8,5,7,nan
7/4/2020 9:16:54,1,3.96,1,1,Pellet,Left,8,5,8,1
7/4/2020 9:16:57,1,3.96,0,1,Poke,Left,9,5,8,nan
7/4/2020 9:18:07,1,3.96,1,1,Pellet,Left,9,5,9,11
7/4/2020 9:18:21,1,3.96,0,1,Poke,Left,10,5,9,nan
7/4/2020 9:22:59,1,3.96,1,1,Pellet,Left,10,5,10,2
7/4/2020 9:23:42,1,3.96,0,1,Poke,Left,11,5,10,nan
7/4/2020 9:32:46,1,3.96,1,1,Pellet,Left,11,5,11,2
7/4/2020 9:35:02,1,3.96,0,1,Poke,Left,11,6,11,nan
7/4/2020 9:35:27,1,3.96,0,1,Poke,Left,12,6,11,nan
7/4/2020 9:35:34,1,3.96,1,1,Pellet,Left,12,6,12,2
7/4/2020 9:37:58,1,3.96,0,1,Poke,Left,13,6,12,nan
7/4/2020 9:40:43,1,3.96,1,1,Pellet,Left,13,6,13,2
7/4/2020 9:41:29,1,3.96,0,1,Poke,Left,14,6,13,nan
7/4/2020 9:44:39,1,3.96,1,1,Pellet,Left,14,6,14,2
7/4/2020 9:45:21,1,3.95,0,1,Poke,Left,15,6,14,nan
7/4/2020 9:52:22,1,3.96,1,1,Pellet,Left,15,6,15,16
7/4/2020 9:55:32,1,3.96,0,1,Poke,Left,16,6,15,nan
