MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/25/2020 12:16:05,1,4.03,0,1,Poke,Left,1,0,0,nan
6/25/2020 12:16:12,1,4.03,1,1,Pellet,Left,1,0,1,3
6/25/2020 12:17:21,1,4.03,0,1,Poke,Left,2,0,1,nan
6/25/2020 12:17:30,1,4.03,2,1,Pellet,Left,2,0,2,3
6/25/2020 12:18:34,1,4.03,0,1,Poke,Left,2,1,2,nan
6/25/2020 12:19:03,1,4.03,0,1,Poke,Left,3,1,2,nan
6/25/2020 12:19:14,1,4.03,1,1,Pellet,Left,3,1,3,8
6/25/2020 12:20:03,1,4.03,0,1,Poke,Left,4,1,3,nan
6/25/2020 12:20:14,1,4.03,2,1,Pellet,Left,4,1,4,6
6/25/2020 12:23:07,1,4.03,0,1,Poke,Left,4,2,4,nan
6/25/2020 12:23:14,1,4.03,0,1,Poke,Left,5,2,4,nan
6/25/2020 12:23:24,1,4.03,2,1,Pellet,Left,5,2,5,3
6/25/2020 12:23:37,1,4.03,0,1,Poke,Left,6,2,5,nan
6/25/2020 12:23:49,1,4.03,3,1,Pellet,Left,6,2,6,5
6/25/2020 12:27:57,1,4.04,0,1,Poke,Left,7,2,6,nan
6/25/2020 12:28:02,1,4.03,1,1,Pellet,Left,7,2,7,2
6/25/2020 12:33:30,1,4.03,0,1,Poke,Left,8,2,7,nan
6/25/2020 12:33:42,1,4.03,2,1,Pellet,Left,8,2,8,6
6/25/2020 12:33:56,1,4.03,0,1,Poke,Left,9,2,8,nan
6/25/2020 12:34:00,1,4.03,1,1,Pellet,Left,9,2,9,1
6/25/2020 12:35:44,1,4.03,0,1,Poke,Left,9,3,9,nan
6/25/2020 12:36:21,1,4.03,0,1,Poke,Left,10,3,9,nan
6/25/2020 12:36:26,1,4.03,1,1,Pellet,Left,10,3,10,1
6/25/2020 12:40:56,1,4.03,0,1,Poke,Left,11,3,10,nan
6/25/2020 12:41:01,1,4.03,1,1,Pellet,Left,11,3,11,2
6/25/2020 12:42:40,1,4.03,0,1,Poke,Left,12,3,11,nan
6/25/2020 12:43:45,1,4.03,1,1,Pellet,Left,12,3,12,62
6/25/2020 12:44:09,1,4.03,0,1,Poke,Left,13,3,12,nan
6/25/2020 12:44:46,1,4.03,1,1,Pellet,Left,13,3,13,25
6/25/2020 12:47:33,1,4.03,0,1,Poke,Left,14,3,13,nan
6/25/2020 12:48:02,1,4.03,1,1,Pellet,Left,14,3,14,26
6/25/2020 12:48:24,1,4.03,0,1,Poke,Left,15,3,14,nan
6/25/2020 12:49:25,1,4.03,5,1,Pellet,Left,15,3,15,25
6/25/2020 12:53:27,1,4.03,0,1,Poke,Left,16,3,15,nan
