MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/6/2020 17:21:09,2,3.83,0,1,Poke,Left,0,1,0,nan
3/6/2020 17:22:29,2,3.83,0,1,Poke,Left,0,2,0,nan
3/6/2020 17:24:11,2,3.83,0,1,Poke,Left,1,2,0,nan
3/6/2020 17:24:20,2,3.83,1,1,Pellet,Left,1,2,1,3
3/6/2020 17:24:59,2,3.83,0,1,Poke,Left,2,2,1,nan
3/6/2020 17:25:06,2,3.83,1,1,Pellet,Left,2,2,2,1
3/6/2020 17:58:23,2,3.83,0,1,Poke,Left,2,3,2,nan
3/6/2020 18:08:29,2,3.82,0,1,Poke,Left,3,3,2,nan
3/6/2020 18:08:38,2,3.83,1,1,Pellet,Left,3,3,3,2
3/6/2020 18:15:35,2,3.83,0,1,Poke,Left,3,4,3,nan
3/6/2020 18:25:00,2,3.82,0,1,Poke,Left,4,4,3,nan
3/6/2020 18:25:18,2,3.82,1,1,Pellet,Left,4,4,4,9
3/6/2020 18:26:25,2,3.82,0,1,Poke,Left,4,5,4,nan
3/6/2020 18:28:55,2,3.83,0,1,Poke,Left,5,5,4,nan
3/6/2020 18:29:14,2,3.82,2,1,Pellet,Left,5,5,5,5
3/6/2020 19:02:05,2,3.82,0,1,Poke,Left,6,5,5,nan
3/6/2020 19:02:13,2,3.82,1,1,Pellet,Left,6,5,6,2
3/6/2020 19:32:24,2,3.82,0,1,Poke,Left,7,5,6,nan
3/6/2020 19:32:32,2,3.82,1,1,Pellet,Left,7,5,7,2
3/6/2020 19:33:07,2,3.82,0,1,Poke,Left,7,6,7,nan
3/6/2020 19:34:41,2,3.82,0,1,Poke,Left,7,7,7,nan
3/6/2020 19:39:41,2,3.82,0,1,Poke,Left,8,7,7,nan
3/6/2020 19:39:49,2,3.83,1,1,Pellet,Left,8,7,8,1
3/6/2020 19:46:00,2,3.82,0,1,Poke,Left,9,7,8,nan
3/6/2020 19:46:08,2,3.82,1,1,Pellet,Left,9,7,9,2
3/6/2020 19:46:41,2,3.82,0,1,Poke,Left,10,7,9,nan
3/6/2020 19:46:49,2,3.82,1,1,Pellet,Left,10,7,10,2
3/6/2020 20:02:31,2,3.82,0,1,Poke,Left,11,7,10,nan
3/6/2020 20:02:42,2,3.81,1,1,Pellet,Left,11,7,11,4
3/6/2020 20:03:47,2,3.82,0,1,Poke,Left,12,7,11,nan
3/6/2020 20:04:03,2,3.81,2,1,Pellet,Left,12,7,12,3
3/6/2020 20:23:22,2,3.81,0,1,Poke,Left,12,8,12,nan
3/6/2020 20:23:28,2,3.82,0,1,Poke,Left,13,8,12,nan
3/6/2020 20:23:38,2,3.81,1,1,Pellet,Left,13,8,13,3
3/6/2020 20:36:06,2,3.81,0,1,Poke,Left,13,9,13,nan
3/6/2020 20:36:08,2,3.81,0,1,Poke,Left,13,10,13,nan
3/6/2020 20:36:32,2,3.82,0,1,Poke,Left,13,11,13,nan
3/6/2020 20:38:16,2,3.81,0,1,Poke,Left,14,11,13,nan
3/6/2020 20:38:31,2,3.80,2,1,Pellet,Left,14,11,14,4
3/6/2020 20:52:35,2,3.80,0,1,Poke,Left,14,12,14,nan
3/6/2020 20:56:08,2,3.81,0,1,Poke,Left,14,13,14,nan
3/6/2020 20:57:01,2,3.81,0,1,Poke,Left,14,14,14,nan
3/6/2020 20:57:15,2,3.81,0,1,Poke,Left,15,14,14,nan
3/6/2020 20:57:23,2,3.81,1,1,Pellet,Left,15,14,15,2
3/6/2020 20:57:49,2,3.81,0,1,Poke,Left,16,14,15,nan
3/6/2020 20:58:06,2,3.81,1,1,Pellet,Left,16,14,16,11
3/6/2020 21:07:06,2,3.80,0,1,Poke,Left,16,15,16,nan
3/6/2020 21:20:38,2,3.81,0,1,Poke,Left,16,16,16,nan
3/6/2020 21:23:31,2,3.80,0,1,Poke,Left,17,16,16,nan
3/6/2020 21:23:40,2,3.80,1,1,Pellet,Left,17,16,17,1
3/6/2020 21:23:54,2,3.81,0,1,Poke,Left,18,16,17,nan
3/6/2020 21:24:09,2,3.80,2,1,Pellet,Left,18,16,18,2
3/6/2020 21:32:36,2,3.80,0,1,Poke,Left,18,17,18,nan
3/6/2020 21:38:16,2,3.80,0,1,Poke,Left,18,18,18,nan
3/6/2020 21:38:18,2,3.80,0,1,Poke,Left,18,19,18,nan
3/6/2020 21:39:00,2,3.80,0,1,Poke,Left,18,20,18,nan
3/6/2020 21:39:01,2,3.80,0,1,Poke,Left,18,21,18,nan
3/6/2020 21:43:23,2,3.80,0,1,Poke,Left,19,21,18,nan
3/6/2020 21:43:32,2,3.80,1,1,Pellet,Left,19,21,19,2
3/6/2020 21:43:57,2,3.80,0,1,Poke,Left,20,21,19,nan
