MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/16/2020 16:22:17,2,4.23,0,1,Poke,Left,1,0,0,nan
2/16/2020 16:22:58,2,4.23,1,1,Pellet,Left,1,0,1,38
2/16/2020 16:27:40,2,4.23,0,1,Poke,Left,1,1,1,nan
2/16/2020 17:31:35,2,4.21,0,1,Poke,Left,1,2,1,nan
2/16/2020 18:39:36,2,4.20,0,1,Poke,Left,2,2,1,nan
2/16/2020 18:39:47,2,4.19,1,1,Pellet,Left,2,2,2,8
2/16/2020 18:40:53,2,4.20,0,1,Poke,Left,3,2,2,nan
2/16/2020 18:41:08,2,4.19,1,1,Pellet,Left,3,2,3,12
2/16/2020 18:41:51,2,4.20,0,1,Poke,Left,4,2,3,nan
2/16/2020 18:41:55,2,4.20,1,1,Pellet,Left,4,2,4,1
2/16/2020 19:02:52,2,4.20,0,1,Poke,Left,5,2,4,nan
2/16/2020 19:03:01,2,4.19,1,1,Pellet,Left,5,2,5,6
2/16/2020 19:04:13,2,4.20,0,1,Poke,Left,5,3,5,nan
2/16/2020 19:34:12,2,4.19,0,1,Poke,Left,5,4,5,nan
2/16/2020 19:34:15,2,4.19,0,1,Poke,Left,6,4,5,nan
2/16/2020 19:34:19,2,4.19,1,1,Pellet,Left,6,4,6,1
2/16/2020 20:34:17,2,4.18,0,1,Poke,Left,7,4,6,nan
2/16/2020 20:34:29,2,4.17,2,1,Pellet,Left,7,4,7,7
2/16/2020 20:35:40,2,4.17,0,1,Poke,Left,8,4,7,nan
2/16/2020 20:35:49,2,4.18,1,1,Pellet,Left,8,4,8,5
2/16/2020 20:36:36,2,4.18,0,1,Poke,Left,9,4,8,nan
2/16/2020 20:36:42,2,4.17,1,1,Pellet,Left,9,4,9,2
2/16/2020 20:37:00,2,4.17,0,1,Poke,Left,9,5,9,nan
2/16/2020 20:41:07,2,4.18,0,1,Poke,Left,9,6,9,nan
2/16/2020 20:41:10,2,4.18,0,1,Poke,Left,10,6,9,nan
2/16/2020 20:41:19,2,4.17,1,1,Pellet,Left,10,6,10,5
2/16/2020 20:44:00,2,4.18,0,1,Poke,Left,11,6,10,nan
2/16/2020 20:44:09,2,4.17,2,1,Pellet,Left,11,6,11,3
2/16/2020 20:44:23,2,4.17,0,1,Poke,Left,12,6,11,nan
2/16/2020 20:44:32,2,4.18,2,1,Pellet,Left,12,6,12,3
2/16/2020 21:04:57,2,4.17,0,1,Poke,Left,13,6,12,nan
2/16/2020 21:05:06,2,4.17,1,1,Pellet,Left,13,6,13,5
2/16/2020 21:05:44,2,4.17,0,1,Poke,Left,14,6,13,nan
2/16/2020 21:05:58,2,4.17,4,1,Pellet,Left,14,6,14,4
2/16/2020 21:06:26,2,4.16,0,1,Poke,Left,15,6,14,nan
2/16/2020 21:06:35,2,4.16,2,1,Pellet,Left,15,6,15,3
2/16/2020 21:06:58,2,4.17,0,1,Poke,Left,16,6,15,nan
2/16/2020 21:07:05,2,4.17,1,1,Pellet,Left,16,6,16,3
2/16/2020 21:07:25,2,4.17,0,1,Poke,Left,17,6,16,nan
2/16/2020 21:07:32,2,4.16,2,1,Pellet,Left,17,6,17,2
2/16/2020 21:08:12,2,4.17,0,1,Poke,Left,17,7,17,nan
2/16/2020 21:08:16,2,4.16,0,1,Poke,Left,18,7,17,nan
2/16/2020 21:08:24,2,4.16,1,1,Pellet,Left,18,7,18,4
2/16/2020 21:08:35,2,4.17,0,1,Poke,Left,19,7,18,nan
2/16/2020 21:08:42,2,4.17,1,1,Pellet,Left,19,7,19,4
2/16/2020 21:08:59,2,4.16,0,1,Poke,Left,20,7,19,nan
2/16/2020 21:09:04,2,4.16,1,1,Pellet,Left,20,7,20,1
2/16/2020 21:14:46,2,4.18,0,1,Poke,Left,21,7,20,nan
2/16/2020 21:14:56,2,4.16,1,1,Pellet,Left,21,7,21,7
2/16/2020 21:15:18,2,4.16,0,1,Poke,Left,22,7,21,nan
2/16/2020 21:15:27,2,4.17,2,1,Pellet,Left,22,7,22,3
2/16/2020 21:15:36,2,4.16,0,1,Poke,Left,23,7,22,nan
2/16/2020 21:15:46,2,4.16,2,1,Pellet,Left,23,7,23,4
2/16/2020 21:16:02,2,4.17,0,1,Poke,Left,24,7,23,nan
2/16/2020 21:16:07,2,4.16,1,1,Pellet,Left,24,7,24,2
2/16/2020 22:17:55,2,4.16,0,1,Poke,Left,25,7,24,nan
2/16/2020 22:18:01,2,4.16,1,1,Pellet,Left,25,7,25,3
2/16/2020 22:23:12,2,4.15,0,1,Poke,Left,26,7,25,nan
2/16/2020 22:23:22,2,4.16,1,1,Pellet,Left,26,7,26,6
2/16/2020 22:25:34,2,4.16,0,1,Poke,Left,27,7,26,nan
2/16/2020 22:25:40,2,4.15,1,1,Pellet,Left,27,7,27,2
2/16/2020 22:26:02,2,4.16,0,1,Poke,Left,28,7,27,nan
2/16/2020 22:26:14,2,4.15,2,1,Pellet,Left,28,7,28,6
2/16/2020 22:26:27,2,4.16,0,1,Poke,Left,29,7,28,nan
2/16/2020 22:26:32,2,4.16,1,1,Pellet,Left,29,7,29,2
2/16/2020 22:35:21,2,4.16,0,1,Poke,Left,30,7,29,nan
2/16/2020 22:35:30,2,4.15,2,1,Pellet,Left,30,7,30,4
2/16/2020 22:35:51,2,4.15,0,1,Poke,Left,31,7,30,nan
2/16/2020 22:36:05,2,4.15,1,1,Pellet,Left,31,7,31,10
2/16/2020 22:36:22,2,4.16,0,1,Poke,Left,32,7,31,nan
2/16/2020 22:36:29,2,4.15,1,1,Pellet,Left,32,7,32,4
2/16/2020 22:36:35,2,4.15,0,1,Poke,Left,33,7,32,nan
2/16/2020 22:36:39,2,4.15,1,1,Pellet,Left,33,7,33,1
2/16/2020 22:36:46,2,4.15,0,1,Poke,Left,34,7,33,nan
2/16/2020 22:36:51,2,4.15,1,1,Pellet,Left,34,7,34,1
2/16/2020 22:38:33,2,4.15,0,1,Poke,Left,35,7,34,nan
2/16/2020 22:38:47,2,4.15,2,1,Pellet,Left,35,7,35,9
2/16/2020 22:46:34,2,4.15,0,1,Poke,Left,36,7,35,nan
2/16/2020 22:46:45,2,4.15,1,1,Pellet,Left,36,7,36,7
2/16/2020 22:47:03,2,4.15,0,1,Poke,Left,37,7,36,nan
2/16/2020 22:47:15,2,4.14,2,1,Pellet,Left,37,7,37,5
2/16/2020 22:55:19,2,4.15,0,1,Poke,Left,38,7,37,nan
2/16/2020 22:55:23,2,4.15,1,1,Pellet,Left,38,7,38,1
2/16/2020 22:55:45,2,4.15,0,1,Poke,Left,39,7,38,nan
2/16/2020 22:55:50,2,4.15,1,1,Pellet,Left,39,7,39,2
2/16/2020 22:56:17,2,4.15,0,1,Poke,Left,40,7,39,nan
2/16/2020 22:56:21,2,4.15,1,1,Pellet,Left,40,7,40,1
2/16/2020 22:56:35,2,4.15,0,1,Poke,Left,41,7,40,nan
2/16/2020 22:56:43,2,4.15,2,1,Pellet,Left,41,7,41,2
2/16/2020 23:13:12,2,4.15,0,1,Poke,Left,42,7,41,nan
2/16/2020 23:13:23,2,4.14,2,1,Pellet,Left,42,7,42,5
2/16/2020 23:33:58,2,4.14,0,1,Poke,Left,43,7,42,nan
2/16/2020 23:34:10,2,4.14,1,1,Pellet,Left,43,7,43,9
2/16/2020 23:34:45,2,4.15,0,1,Poke,Left,44,7,43,nan
2/16/2020 23:34:57,2,4.14,2,1,Pellet,Left,44,7,44,6
2/16/2020 23:35:17,2,4.14,0,1,Poke,Left,45,7,44,nan
2/16/2020 23:35:21,2,4.14,1,1,Pellet,Left,45,7,45,1
2/16/2020 23:35:40,2,4.15,0,1,Poke,Left,46,7,45,nan
2/16/2020 23:35:45,2,4.14,1,1,Pellet,Left,46,7,46,1
2/16/2020 23:35:52,2,4.14,0,1,Poke,Left,47,7,46,nan
2/16/2020 23:36:01,2,4.14,2,1,Pellet,Left,47,7,47,3
2/16/2020 23:36:12,2,4.14,0,1,Poke,Left,48,7,47,nan
2/16/2020 23:36:28,2,4.14,2,1,Pellet,Left,48,7,48,11
2/16/2020 23:36:42,2,4.15,0,1,Poke,Left,49,7,48,nan
2/16/2020 23:36:48,2,4.14,1,1,Pellet,Left,49,7,49,3
2/17/2020 0:42:22,2,4.14,0,1,Poke,Left,50,7,49,nan
2/17/2020 0:42:27,2,4.14,1,1,Pellet,Left,50,7,50,2
2/17/2020 0:42:41,2,4.14,0,1,Poke,Left,51,7,50,nan
2/17/2020 0:42:46,2,4.14,1,1,Pellet,Left,51,7,51,2
2/17/2020 0:42:57,2,4.14,0,1,Poke,Left,52,7,51,nan
2/17/2020 0:43:02,2,4.14,1,1,Pellet,Left,52,7,52,2
2/17/2020 0:43:21,2,4.14,0,1,Poke,Left,53,7,52,nan
2/17/2020 0:43:29,2,4.13,1,1,Pellet,Left,53,7,53,5
2/17/2020 0:44:03,2,4.14,0,1,Poke,Left,54,7,53,nan
2/17/2020 0:44:12,2,4.14,2,1,Pellet,Left,54,7,54,2
2/17/2020 0:44:27,2,4.14,0,1,Poke,Left,55,7,54,nan
