MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
5/6/2019,22:25:14,6,4.08,3,1,Left,1,0,1,1627
5/6/2019,22:29:32,6,4.07,1,1,Left,2,0,2,51
5/6/2019,22:31:21,6,4.07,1,1,Left,3,0,3,2
5/6/2019,22:32:08,6,4.07,1,1,Left,4,0,4,2
5/6/2019,23:11:40,6,4.07,1,1,Left,5,5,5,15
5/6/2019,23:12:28,6,4.07,1,1,Left,6,5,6,2
5/6/2019,23:28:05,6,4.07,1,1,Left,7,7,7,13
5/6/2019,23:37:20,6,4.07,2,1,Left,8,8,8,2
5/6/2019,23:38:08,6,4.06,1,1,Left,9,8,9,1
5/6/2019,23:44:54,6,4.06,1,1,Left,10,8,10,6
5/6/2019,23:49:55,6,4.06,1,1,Left,11,8,11,3
5/6/2019,23:55:14,6,4.06,1,1,Left,12,8,12,1
5/6/2019,23:57:40,6,4.06,2,1,Left,13,8,13,2
5/6/2019,23:58:10,6,4.05,1,1,Left,14,8,14,3
5/7/2019,0:28:08,6,4.06,1,1,Left,15,8,15,2
5/7/2019,0:44:32,6,4.06,1,1,Left,16,9,16,2
5/7/2019,0:47:58,6,4.05,1,1,Left,17,9,17,2
5/7/2019,0:49:47,6,4.05,2,1,Left,18,9,18,4
5/7/2019,1:10:30,6,4.05,1,1,Left,19,9,19,3
5/7/2019,1:10:55,6,4.05,1,1,Left,20,9,20,4
5/7/2019,1:11:47,6,4.05,1,1,Left,21,10,21,2
5/7/2019,1:13:08,6,4.05,2,1,Left,22,10,22,7
5/7/2019,1:14:51,6,4.05,1,1,Left,23,10,23,5
5/7/2019,1:15:14,6,4.05,1,1,Left,24,10,24,3
5/7/2019,1:35:38,6,4.05,1,1,Left,25,10,25,6
5/7/2019,5:03:06,6,4.03,1,1,Left,26,10,26,2
5/7/2019,5:04:10,6,4.03,1,1,Left,27,10,27,1
5/7/2019,5:08:56,6,4.02,1,1,Left,28,15,28,2
5/7/2019,5:10:08,6,4.02,2,1,Left,29,15,29,6
5/7/2019,5:10:58,6,4.03,2,1,Left,30,15,30,7
5/7/2019,5:11:29,6,4.03,1,1,Left,31,15,31,5
5/7/2019,5:12:06,6,4.03,3,1,Left,32,15,32,2
5/7/2019,5:58:12,6,4.02,3,1,Left,33,15,33,10
5/7/2019,6:13:07,6,4.02,1,1,Left,34,15,34,2
5/7/2019,6:29:48,6,4.02,2,1,Left,35,15,35,2
5/7/2019,8:08:41,6,4.01,2,1,Left,36,15,36,2
5/7/2019,10:16:03,6,3.99,1,1,Left,37,16,37,2
5/7/2019,10:17:33,6,4.00,1,1,Left,38,16,38,45
5/7/2019,10:30:18,6,4.00,1,1,Left,39,16,39,3
5/7/2019,11:05:35,6,3.99,1,1,Left,40,16,40,2
