MM:DD:YYYY hh:mm:ss,LibaryVersion,Sessiontype,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
1/29/2021 16:09:47,1.1.4,ProRat2,5,4.14,0,1,Left,Left,1,0,0,0,nan,0.27
1/29/2021 16:18:28,1.1.4,ProRat2,5,4.14,0,1,Pellet,Left,1,0,1,1,Timed_out,nan
1/29/2021 16:20:29,1.1.4,ProRat2,5,4.14,0,1,Left,Left,2,0,1,1,nan,0.35
1/29/2021 16:20:40,1.1.4,ProRat2,5,4.14,0,1,Pellet,Left,2,0,2,2,5.95,nan
1/29/2021 16:21:05,1.1.4,ProRat2,5,4.14,0,2,Left,Left,3,0,2,2,nan,0.05
1/29/2021 16:21:28,1.1.4,ProRat2,5,4.14,0,2,Right,Left,3,1,2,2,nan,0.08
1/29/2021 16:22:23,1.1.4,ProRat2,5,4.14,0,2,Left,Left,4,1,2,2,nan,0.27
1/29/2021 16:22:30,1.1.4,ProRat2,5,4.14,0,2,Pellet,Left,4,1,3,3,0.55,nan
1/29/2021 16:24:04,1.1.4,ProRat2,5,4.14,0,2,Left,Left,5,1,3,3,nan,0.03
1/29/2021 16:24:44,1.1.4,ProRat2,5,4.14,0,2,Left,Left,6,1,3,3,nan,0.11
1/29/2021 16:24:46,1.1.4,ProRat2,5,4.14,0,2,Pellet,Left,6,1,4,4,0.12,nan
1/29/2021 16:25:56,1.1.4,ProRat2,5,4.14,0,3,Left,Left,7,1,4,4,nan,0.05
1/29/2021 16:28:12,1.1.4,ProRat2,5,4.14,0,3,Left,Left,8,1,4,4,nan,0.30
1/29/2021 16:28:14,1.1.4,ProRat2,5,4.14,0,3,Left,Left,9,1,4,4,nan,0.12
1/29/2021 16:28:15,1.1.4,ProRat2,5,4.14,0,3,Pellet,Left,9,1,5,5,0.12,nan
1/29/2021 16:28:55,1.1.4,ProRat2,5,4.14,0,4,Left,Left,10,1,5,5,nan,0.36
1/29/2021 16:29:01,1.1.4,ProRat2,5,4.14,0,4,Right,Left,10,2,5,5,nan,0.17
1/29/2021 16:29:13,1.1.4,ProRat2,5,4.14,0,4,Left,Left,11,2,5,5,nan,0.03
1/29/2021 16:32:40,1.1.4,ProRat2,5,4.14,0,4,Left,Left,12,2,5,5,nan,0.11
1/29/2021 16:46:49,1.1.4,ProRat2,5,4.14,0,4,Left,Left,13,2,5,5,nan,0.43
1/29/2021 16:46:51,1.1.4,ProRat2,5,4.14,0,4,Pellet,Left,13,2,6,6,0.12,nan
1/29/2021 16:47:57,1.1.4,ProRat2,5,4.14,0,5,Left,Left,14,2,6,6,nan,0.09
1/29/2021 16:47:58,1.1.4,ProRat2,5,4.14,0,5,Left,Left,15,2,6,6,nan,0.00
1/29/2021 16:48:00,1.1.4,ProRat2,5,4.14,0,5,Left,Left,16,2,6,6,nan,0.11
1/29/2021 16:53:50,1.1.4,ProRat2,5,4.14,0,5,Left,Left,17,2,6,6,nan,0.00
1/29/2021 16:53:52,1.1.4,ProRat2,5,4.14,0,5,Left,Left,18,2,6,6,nan,0.00
1/29/2021 16:53:54,1.1.4,ProRat2,5,4.14,0,5,Pellet,Left,18,2,7,7,0.06,nan
1/29/2021 16:55:49,1.1.4,ProRat2,5,4.14,0,6,Left,Left,19,2,7,7,nan,0.67
1/29/2021 16:55:53,1.1.4,ProRat2,5,4.14,0,6,Left,Left,20,2,7,7,nan,0.28
1/29/2021 16:55:59,1.1.4,ProRat2,5,4.14,0,6,Left,Left,21,2,7,7,nan,0.08
1/29/2021 16:57:59,1.1.4,ProRat2,5,4.14,0,6,Right,Left,21,3,7,7,nan,0.00
1/29/2021 16:58:03,1.1.4,ProRat2,5,4.14,0,6,Right,Left,21,4,7,7,nan,0.46
1/29/2021 16:58:06,1.1.4,ProRat2,5,4.14,0,6,Right,Left,21,5,7,7,nan,0.21
1/29/2021 16:58:09,1.1.4,ProRat2,5,4.14,0,6,Left,Left,22,5,7,7,nan,0.14
