MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Target_Sequence, Mouse_Sequence, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
9/24/2019 13:56:48,0,4.22,1448297262,R,,1,0,0,0
9/24/2019 13:56:49,0,4.22,0,R,,2,0,0,0
9/24/2019 13:58:02,0,4.22,0,R,,3,0,0,0
9/24/2019 13:58:30,0,4.22,0,R,,3,1,0,0
9/24/2019 13:59:00,0,4.22,0,R,,3,2,1,0
9/24/2019 14:05:35,0,4.22,0,R,,3,3,2,0
9/24/2019 14:06:31,0,4.22,0,R,,4,3,3,0
9/24/2019 14:07:59,0,4.22,0,R,,4,4,3,0
9/24/2019 14:10:11,0,4.22,0,R,,5,4,4,0
9/24/2019 14:10:12,0,4.22,0,R,,6,4,4,0
9/24/2019 14:10:13,0,4.22,0,R,,7,4,4,0
9/24/2019 14:10:25,0,4.22,0,R,,7,5,4,0
9/24/2019 14:16:06,0,4.22,0,R,,8,5,5,0
9/24/2019 14:19:55,0,4.22,0,R,,8,6,5,0
9/24/2019 14:20:07,0,4.22,0,R,,9,6,6,0
9/24/2019 14:24:27,0,4.22,0,R,,10,6,6,0
9/24/2019 14:24:32,0,4.22,0,R,,10,7,6,0
9/24/2019 14:24:48,0,4.22,0,R,,10,8,7,0
9/24/2019 14:25:00,0,4.22,0,R,,10,9,8,0
9/24/2019 14:25:30,0,4.22,0,R,,10,10,9,0
9/24/2019 14:25:37,0,4.22,0,R,,10,11,10,0
9/24/2019 14:25:54,0,4.22,0,R,,10,12,11,0
9/24/2019 14:26:06,0,4.22,0,R,,10,13,12,0
9/24/2019 14:26:24,0,4.22,0,R,,11,13,13,0
9/24/2019 14:26:55,0,4.22,0,R,,11,14,13,0
9/24/2019 14:27:16,0,4.22,0,R,,11,15,14,0
9/24/2019 14:27:36,0,4.22,0,R,,12,15,15,0
9/24/2019 14:27:39,0,4.22,0,R,,12,16,15,0
9/24/2019 14:28:00,0,4.22,0,R,,12,17,16,0
9/24/2019 14:29:55,0,4.22,0,R,,12,18,17,0
9/24/2019 14:29:59,0,4.22,0,R,,12,19,18,0
9/24/2019 14:30:03,0,4.22,0,R,,12,20,19,0
9/24/2019 14:30:05,0,4.22,0,R,,12,21,20,0
9/24/2019 14:30:24,0,4.22,0,R,,12,22,21,0
9/24/2019 14:30:29,0,4.22,0,R,,12,23,22,0
9/24/2019 14:30:51,0,4.22,0,R,,12,24,23,0
9/24/2019 14:31:05,0,4.22,0,R,,12,25,24,0
9/24/2019 14:31:15,0,4.22,0,R,,12,26,25,0
9/24/2019 14:31:46,0,4.22,0,R,,13,26,26,0
9/24/2019 14:32:23,0,4.22,0,R,,14,26,26,0
9/24/2019 14:32:57,0,4.22,0,R,,14,27,26,0
9/24/2019 14:33:02,0,4.22,0,R,,14,28,27,0
9/24/2019 14:33:08,0,4.22,0,R,,14,29,28,0
9/24/2019 14:33:33,0,4.22,0,R,,14,30,29,0
9/24/2019 14:33:40,0,4.22,0,R,,14,31,30,0
9/24/2019 14:33:45,0,4.22,0,R,,14,32,31,0
9/24/2019 14:33:59,0,4.22,0,R,,14,33,32,0
9/24/2019 14:34:09,0,4.22,0,R,,14,34,33,0
9/24/2019 14:34:35,0,4.22,0,R,,14,35,34,0
9/24/2019 14:34:40,0,4.22,0,R,,14,36,35,0
9/24/2019 14:35:25,0,4.22,0,R,,14,37,36,0
9/24/2019 14:35:30,0,4.22,0,R,,14,38,37,0
9/24/2019 14:35:49,0,4.22,0,R,,15,38,38,0
9/24/2019 14:36:38,0,4.22,0,R,,15,39,38,0
9/24/2019 14:37:07,0,4.22,0,R,,15,40,39,0
9/24/2019 14:37:27,0,4.22,0,R,,15,41,40,0
9/24/2019 14:37:33,0,4.22,0,R,,15,42,41,0
9/24/2019 14:37:49,0,4.22,0,R,,15,43,42,0
