#,Reference,Value,OEPSPN,MPN,Description,Qty
1,AUX_I2C0,Qwiic,OEPS070125,BM04B-SRSS-TB(LF)(SN),"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",1
2,B1,CR1220,OEPS070116,534-3000,CR1220 Battery Holders; 12mm (OEPS K01 013),1
3,BZ1,Buzzer,OEPS100062,PS1240P02BT,BUZZER PIEZO 3V 12.2MM (OEPS K01 014),1
4,C21,4.7nF,OEPS010017,885012205084,SMD CER 0402 4.7nF 100V ±10% X7R,1
5,"C1,C2,C3,C4,C11,C13,C14,C16,C20",10µF,OEPS010038,CL05A106MP5NUNC,"Unpolarized capacitor, small symbol",9
6,"C17,C18",22pF,OEPS010080,CL05C220JB51PNC,SMD CER 0402 22pF 50V ±5% C0G/NP0,2
7,"C22,C23,C24",100nF,OEPS010050,C1005X7R1E104K050BB,SMD CER 0402 100nF 25V ±10% X7R,3
8,"C5,C6,C7,C8,C9,C10,C12,C15,C19",1uF,OEPS010030,C1005X5R1E105K050BC,SMD CER 0402 1uF 25V ±10% X5R,9
9,"CHG0,L0",RED,OEPS030038,VFHR1116P-4C82A-TR,Light emitting diode,2
10,D1,TPD4E05U06DQA,OEPS030037,TPD4E05U06DQAR,"4-Channel ESD Protection for Super-Speed USB 3.0 Interface, USON-10",1
11,EXT0,STEREO_JACK,OEPS070025,35RASMT2BHNTRX,3.5MM JACK STEREO 90º,1
12,IC1,MC74VHC1GT125,OEPS080169,MC74VHC1GT125DBVT1G,BUFFER NON-INVERT 1CH 3-STATE,1
13,IC2,TB6612FNG,OEPS080166,"TB6612FNG,C,8,EL",MOTOR DRIVER 2.7V-5.5V (OEPS K01 002),1
14,IC4,RTC PCF8523T,OEPS080167,"PCF8523T/1,118",RTC CLOCK/CALENDAR I2C,1
15,J1,Conn_02x03_Odd_Even,OEPS070124,PR20203VBDN,HEADER 2.54MM straight 2x3POS,1
16,J2,Conn_01x02_Odd_Even,OEPS070079,68001-202HLF,HEADER 2.54MM straight 2x1POS,1
17,J3,USB4105-GF-A,OEPS070105,USB4105-GF-A,USB 2.0-only 16P Type-C Receptacle connector,1
18,L1,GREEN,OEPS030005,150060VS75000,LED 0603 Green 570nm 20mA,1
19,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10",RGBLed,OEPS080164,XT1511RGBW-BW,RGB Neopixel addressable 5mmx5mm (OEPS K01 012A),10
20,MOTOR0,PINHD-1X5,OEPS070131,M20-9990546,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",1
21,"PI1,PI2,PI3",GP1A57HR,OEPS100063,GP1A57HRJ00F,OPTICAL IR sensor (OEPS K01 022A),3
22,Q1,DMP2035U-7,OEPS060011,DMP2035U-7,"-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23",1
23,"R12,R26",330R,OEPS020191,CRCW0402330RFKEDHP,SMD 0402 330? ±1% 0.200W,2
24,R25,1M,OEPS020026,CRCW04021M00FKED,SMD 0402 1M? ±1% 0.063W,1
25,"R1,R2,R3,R6,R21",1k,OEPS020006,ERJ-2RKF1001X,SMD 0402 1k? ±1% 0.100W,5
26,"R13,R14",1.27k,OEPS020190,CRCW04021K27FKED,SMD 0402 1.27k? ±1% 0.063W,2
27,"R15,R20",10k,OEPS020013,ERJ-2RKF1002X,SMD 0402 10k? ±1% 0.100W,2
28,"R23,R24",5.1k,OEPS020173,ERJ-2RKF5101X,"Resistor, US symbol",2
29,"R4,R5,R8,R10,R18",4k7,OEPS020010,ERJ-2RKF4701X,"SMD 0402 4.7k? ±1% 0.100W,SMD 0402 4k7",5
30,"R7,R19",DNP,OEPS000000,n.a.,,2
31,"R9,R11,R16,R17,R22",100k 0.1%,OEPS020175,RG1005P-104-B-T5,"SMD 0402 100k? ±0.1% 0.063W",5
32,SCREEN0,PINHD-1X6,OEPS070118,61300611021,CONN HEADER R/A 6POS 2.54MM,1
33,SW1,Sw,OEPS100064,SSSS811101,SWITCH SLIDE SPDT 0.3A 5V (OEPS K01 017),1
34,SW2,SPST_TACT-KMR2,OEPS100061,TL3305BF260QG,SWITCH TACTILE SPST-NO 0.05A 12V,1
35,U1,ATSAMD21G18A,OEPS080131,ATSAMD21G18A-MU,IC MCU 32BIT 256KB FLASH 48QFN,1
36,U2,MIC5504-3.3,OEPS080052,MIC5504-3.3YM5-TR,LDO 3.3V 300mA,1
37,U3,MCP73834-xxxx,OEPS080177,MCP73834-CNI/MF,Charger IC Lithium Ion/Polymer 10-DFN (3x3),1
38,X1,ClockXtal,OEPS100060,ECS-.327-12.5-17X-C-TR,Crystal 32.768 kHz ±10ppm 12.5pF 50 kOhms (OEPS K01 010),1
39,X2,uXtal,OEPS100051,9HT11-32.768KBZF-T,Crystal 32768 KHz ±50ppm 12.5pF 90kOhms,1
40,X3,B2B-PH-K-S,OEPS070130,B2B-PH-K-S(LF)(SN),"Generic connector, single row, 01x02",1
41,X4,microsd,OEPS070119,693071010811,CONN MICRO SD CARD R/A,1
