MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/10/2000 2:18:59,1.8.1,ClosedEcon_PR1,1,4.22,1,1,Left,Left,1,0,0,0,nan,nan,0.07
2/10/2000 2:20:21,1.8.1,ClosedEcon_PR1,1,4.22,3,1,Pellet,Left,1,0,1,1,Timed_out,nan,nan
2/10/2000 2:20:39,1.8.1,ClosedEcon_PR1,1,4.21,1,2,Left,Left,2,0,1,1,nan,nan,0.18
2/10/2000 2:21:48,1.8.1,ClosedEcon_PR1,1,4.22,1,2,Left,Left,3,0,1,1,nan,nan,0.06
2/10/2000 2:21:50,1.8.1,ClosedEcon_PR1,1,4.21,1,2,Pellet,Left,3,0,2,2,0.79,89,nan
2/10/2000 2:23:12,1.8.1,ClosedEcon_PR1,1,4.22,1,3,Left,Left,4,0,2,2,nan,nan,0.06
2/10/2000 2:23:13,1.8.1,ClosedEcon_PR1,1,4.21,1,3,Left,Left,5,0,2,2,nan,nan,0.25
2/10/2000 2:23:17,1.8.1,ClosedEcon_PR1,1,4.22,1,3,Left,Left,6,0,2,2,nan,nan,0.06
2/10/2000 2:23:18,1.8.1,ClosedEcon_PR1,1,4.21,1,3,Pellet,Left,6,0,3,3,0.46,88,nan
2/10/2000 2:24:09,1.8.1,ClosedEcon_PR1,1,4.22,1,4,Left,Left,7,0,3,3,nan,nan,0.04
2/10/2000 2:24:24,1.8.1,ClosedEcon_PR1,1,4.21,1,4,Right,Left,7,1,3,3,nan,nan,0.57
2/10/2000 2:27:31,1.8.1,ClosedEcon_PR1,1,4.22,1,4,Left,Left,8,1,3,3,nan,nan,0.95
2/10/2000 2:27:35,1.8.1,ClosedEcon_PR1,1,4.22,1,4,Right,Left,8,2,3,3,nan,nan,0.43
2/10/2000 2:29:16,1.8.1,ClosedEcon_PR1,1,4.21,1,4,Left,Left,9,2,3,3,nan,nan,0.23
2/10/2000 2:31:06,1.8.1,ClosedEcon_PR1,1,4.22,1,4,Left,Left,10,2,3,3,nan,nan,0.28
2/10/2000 2:31:07,1.8.1,ClosedEcon_PR1,1,4.22,1,4,Pellet,Left,10,2,4,4,0.79,469,nan
2/10/2000 2:32:14,1.8.1,ClosedEcon_PR1,1,4.22,1,5,Left,Left,11,2,4,4,nan,nan,0.08
2/10/2000 2:32:15,1.8.1,ClosedEcon_PR1,1,4.21,1,5,Right,Left,11,3,4,4,nan,nan,0.03
2/10/2000 2:32:19,1.8.1,ClosedEcon_PR1,1,4.21,1,5,Right,Left,11,4,4,4,nan,nan,0.40
2/10/2000 2:32:30,1.8.1,ClosedEcon_PR1,1,4.22,1,5,Left,Left,12,4,4,4,nan,nan,0.21
2/10/2000 2:32:32,1.8.1,ClosedEcon_PR1,1,4.22,1,5,Left,Left,13,4,4,4,nan,nan,0.28
2/10/2000 2:32:34,1.8.1,ClosedEcon_PR1,1,4.21,1,5,Left,Left,14,4,4,4,nan,nan,0.40
2/10/2000 2:32:36,1.8.1,ClosedEcon_PR1,1,4.21,1,5,Left,Left,15,4,4,4,nan,nan,0.44
2/10/2000 2:32:37,1.8.1,ClosedEcon_PR1,1,4.21,1,5,Pellet,Left,15,4,5,5,0.19,90,nan
2/10/2000 2:33:35,1.8.1,ClosedEcon_PR1,1,4.21,1,6,Left,Left,16,4,5,5,nan,nan,0.12
2/10/2000 2:33:37,1.8.1,ClosedEcon_PR1,1,4.21,1,6,Left,Left,17,4,5,5,nan,nan,0.51
2/10/2000 2:33:52,1.8.1,ClosedEcon_PR1,1,4.21,1,6,Left,Left,18,4,5,5,nan,nan,0.11
2/10/2000 2:33:54,1.8.1,ClosedEcon_PR1,1,4.21,1,6,Left,Left,19,4,5,5,nan,nan,0.55
