YYYY/MM/DD HH:MM:SS,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/8/2021 18:19,1.8.1,ClosedEcon_PR1,4,4.16,1,1,Left,Left,1,0,0,0,nan,nan,0.07
7/8/2021 18:21,1.8.1,ClosedEcon_PR1,4,4.17,3,1,Pellet,Left,1,0,1,1,Timed_out,nan,nan
7/8/2021 18:21,1.8.1,ClosedEcon_PR1,4,4.16,1,2,Left,Left,2,0,1,1,nan,nan,0.09
7/8/2021 18:21,1.8.1,ClosedEcon_PR1,4,4.17,1,2,Right,Left,2,1,1,1,nan,nan,0.39
7/8/2021 18:21,1.8.1,ClosedEcon_PR1,4,4.16,1,2,Right,Left,2,2,1,1,nan,nan,0.14
7/8/2021 18:22,1.8.1,ClosedEcon_PR1,4,4.16,1,2,Left,Left,3,2,1,1,nan,nan,0.09
7/8/2021 18:22,1.8.1,ClosedEcon_PR1,4,4.17,1,2,Pellet,Left,3,2,2,2,0.65,88,nan
7/8/2021 18:22,1.8.1,ClosedEcon_PR1,4,4.17,1,3,Left,Left,4,2,2,2,nan,nan,0.22
7/8/2021 18:22,1.8.1,ClosedEcon_PR1,4,4.16,1,3,Left,Left,5,2,2,2,nan,nan,0.06
7/8/2021 18:22,1.8.1,ClosedEcon_PR1,4,4.17,1,3,Left,Left,6,2,2,2,nan,nan,0.08
7/8/2021 18:22,1.8.1,ClosedEcon_PR1,4,4.17,1,3,Pellet,Left,6,2,3,3,0.59,9,nan
7/8/2021 18:24,1.8.1,ClosedEcon_PR1,4,4.16,1,4,Left,Left,7,2,3,3,nan,nan,0.13
7/8/2021 18:28,1.8.1,ClosedEcon_PR1,4,4.16,1,4,Left,Left,8,2,3,3,nan,nan,0.05
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.17,1,4,Right,Left,8,3,3,3,nan,nan,0.35
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.16,1,4,Right,Left,8,4,3,3,nan,nan,0.02
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.16,1,4,Right,Left,8,5,3,3,nan,nan,0.08
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.16,1,4,Right,Left,8,6,3,3,nan,nan,0.06
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.16,1,4,Right,Left,8,7,3,3,nan,nan,0.04
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.16,1,4,Left,Left,9,7,3,3,nan,nan,0.47
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.16,1,4,Left,Left,10,7,3,3,nan,nan,0
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.16,2,4,Pellet,Left,10,7,4,4,0.46,464,nan
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.17,1,5,Left,Left,11,7,4,4,nan,nan,0.08
7/8/2021 18:30,1.8.1,ClosedEcon_PR1,4,4.16,1,5,Left,Left,12,7,4,4,nan,nan,0.13
