YYYY/MM/DD HH:MM:SS,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021/07/08 18:26:16,1.8.1,ClosedEcon_PR1,5,4.02,1,1,Right,Left,0,1,0,0,nan,nan,0.02
2021/07/08 18:28:00,1.8.1,ClosedEcon_PR1,5,4.02,1,1,Left,Left,1,1,0,0,nan,nan,0.19
2021/07/08 18:28:05,1.8.1,ClosedEcon_PR1,5,4.02,3,1,Pellet,Left,1,1,1,1,0.52,nan,nan
2021/07/08 18:28:35,1.8.1,ClosedEcon_PR1,5,4.02,1,2,Left,Left,2,1,1,1,nan,nan,0.04
2021/07/08 18:28:53,1.8.1,ClosedEcon_PR1,5,4.02,1,2,Left,Left,3,1,1,1,nan,nan,0.06
2021/07/08 18:29:02,1.8.1,ClosedEcon_PR1,5,4.02,1,2,Pellet,Left,3,1,2,2,7.66,57,nan
2021/07/08 18:30:41,1.8.1,ClosedEcon_PR1,5,4.02,1,3,Left,Left,4,1,2,2,nan,nan,0.14
2021/07/08 18:30:42,1.8.1,ClosedEcon_PR1,5,4.02,1,3,Left,Left,5,1,2,2,nan,nan,0.09
2021/07/08 18:30:47,1.8.1,ClosedEcon_PR1,5,4.02,1,3,Right,Left,5,2,2,2,nan,nan,0.58
2021/07/08 18:30:49,1.8.1,ClosedEcon_PR1,5,4.02,1,3,Left,Left,6,2,2,2,nan,nan,0.42
2021/07/08 18:30:51,1.8.1,ClosedEcon_PR1,5,4.02,1,3,Pellet,Left,6,2,3,3,1.11,109,nan
2021/07/08 18:31:39,1.8.1,ClosedEcon_PR1,5,4.02,1,4,Left,Left,7,2,3,3,nan,nan,0.02
2021/07/08 18:31:46,1.8.1,ClosedEcon_PR1,5,4.02,1,4,Left,Left,8,2,3,3,nan,nan,0.06
2021/07/08 18:34:11,1.8.1,ClosedEcon_PR1,5,4.02,1,4,Left,Left,9,2,3,3,nan,nan,0
2021/07/08 18:34:13,1.8.1,ClosedEcon_PR1,5,4.02,1,4,Left,Left,10,2,3,3,nan,nan,0.02
2021/07/08 18:34:15,1.8.1,ClosedEcon_PR1,5,4.02,1,4,Pellet,Left,10,2,4,4,0.98,204,nan
2021/07/08 18:36:17,1.8.1,ClosedEcon_PR1,5,4.02,1,5,Right,Left,10,3,4,4,nan,nan,0.3
2021/07/08 18:37:01,1.8.1,ClosedEcon_PR1,5,4.02,1,5,Left,Left,11,3,4,4,nan,nan,0.13
2021/07/08 18:37:03,1.8.1,ClosedEcon_PR1,5,4.02,1,5,Left,Left,12,3,4,4,nan,nan,0.22
2021/07/08 18:41:20,1.8.1,ClosedEcon_PR1,5,4.02,1,5,Left,Left,13,3,4,4,nan,nan,0.35
2021/07/08 18:41:24,1.8.1,ClosedEcon_PR1,5,4.02,1,5,Left,Left,14,3,4,4,nan,nan,0.08
2021/07/08 18:41:46,1.8.1,ClosedEcon_PR1,5,4.02,1,5,Right,Left,14,4,4,4,nan,nan,0.25
2021/07/08 18:46:56,1.8.1,ClosedEcon_PR1,5,4.02,1,5,Left,Left,15,4,4,4,nan,nan,0.03
2021/07/08 18:46:57,1.8.1,ClosedEcon_PR1,5,4.02,1,5,Pellet,Left,15,4,5,5,0.65,762,nan
2021/07/08 18:47:24,1.8.1,ClosedEcon_PR1,5,4.02,1,6,Right,Left,15,5,5,5,nan,nan,0.13
2021/07/08 18:47:50,1.8.1,ClosedEcon_PR1,5,4.02,1,6,Left,Left,16,5,5,5,nan,nan,0.17
2021/07/08 18:47:52,1.8.1,ClosedEcon_PR1,5,4.01,1,6,Left,Left,17,5,5,5,nan,nan,0.14
2021/07/08 18:47:55,1.8.1,ClosedEcon_PR1,5,4.02,1,6,Left,Left,18,5,5,5,nan,nan,0.17
2021/07/08 18:47:56,1.8.1,ClosedEcon_PR1,5,4.02,1,6,Left,Left,19,5,5,5,nan,nan,0.23
2021/07/08 18:47:58,1.8.1,ClosedEcon_PR1,5,4.02,1,6,Left,Left,20,5,5,5,nan,nan,0.2
2021/07/08 18:48:01,1.8.1,ClosedEcon_PR1,5,4.02,1,6,Right,Left,20,6,5,5,nan,nan,0.17
2021/07/08 18:48:03,1.8.1,ClosedEcon_PR1,5,4.02,1,6,Left,Left,21,6,5,5,nan,nan,0.06
2021/07/08 18:48:04,1.8.1,ClosedEcon_PR1,5,4.02,1,6,Pellet,Left,21,6,6,6,0.39,67,nan
2021/07/08 18:48:29,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Left,Left,22,6,6,6,nan,nan,0.07
2021/07/08 18:48:44,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Right,Left,22,7,6,6,nan,nan,0.09
2021/07/08 18:48:48,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Left,Left,23,7,6,6,nan,nan,0.05
2021/07/08 18:49:36,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Right,Left,23,8,6,6,nan,nan,0.09
2021/07/08 18:51:37,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Right,Left,23,9,6,6,nan,nan,0.1
2021/07/08 18:51:46,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Right,Left,23,10,6,6,nan,nan,0.18
2021/07/08 18:51:48,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Left,Left,24,10,6,6,nan,nan,0.23
2021/07/08 18:51:49,1.8.1,ClosedEcon_PR1,5,4.02,1,7,Left,Left,25,10,6,6,nan,nan,0.1
