MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2021-07-27 15:41:49,1.8.1,PRexp,4,4.09,1,1,Poke,Left,0,1,0,0,,,0.03,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,PR
2021-07-27 15:43:56,1.8.1,PRexp,4,4.09,1,1,Poke,Left,1,1,0,0,,,0.16,0 days 00:02:07.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 15:44:10,1.8.1,PRexp,4,4.09,8,1,Pellet,Left,1,1,1,1,0.06,,,0 days 00:02:21.000000000,1.0,,0.0,0.0,,0,PR
2021-07-27 15:44:16,1.8.1,PRexp,4,4.09,1,2,Poke,Left,2,1,1,1,,,0.22,0 days 00:02:27.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 15:44:18,1.8.1,PRexp,4,4.09,1,2,Poke,Left,3,1,1,1,,,0.3,0 days 00:02:29.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 15:44:23,1.8.1,PRexp,4,4.09,3,2,Pellet,Left,3,1,2,2,0.25,13.0,,0 days 00:02:34.000000000,1.0,0.21666666666666667,0.0,0.0,,0,PR
2021-07-27 17:29:43,1.8.1,PRexp,4,4.09,1,1,Poke,Left,4,1,2,0,,,0.02,0 days 01:47:54.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:30:14,1.8.1,PRexp,4,4.09,11,1,Pellet,Left,4,1,3,1,0.69,6351.0,,0 days 01:48:25.000000000,1.0,105.85,0.0,0.0,,0,PR
2021-07-27 17:30:42,1.8.1,PRexp,4,4.09,1,2,Poke,Left,5,1,3,1,,,0.1,0 days 01:48:53.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:30:44,1.8.1,PRexp,4,4.09,1,2,Poke,Left,6,1,3,1,,,0.22,0 days 01:48:55.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:30:49,1.8.1,PRexp,4,4.09,4,2,Pellet,Left,6,1,4,2,0.5,35.0,,0 days 01:49:00.000000000,1.0,0.5833333333333334,0.0,0.0,,0,PR
2021-07-27 17:31:11,1.8.1,PRexp,4,4.09,1,3,Poke,Left,7,1,4,2,,,0.36,0 days 01:49:22.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:31:13,1.8.1,PRexp,4,4.09,1,3,Poke,Left,8,1,4,2,,,0.22,0 days 01:49:24.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:31:19,1.8.1,PRexp,4,4.09,1,3,Poke,Left,9,1,4,2,,,0.33,0 days 01:49:30.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:31:27,1.8.1,PRexp,4,4.09,4,3,Pellet,Left,9,1,5,3,0.63,38.0,,0 days 01:49:38.000000000,1.0,0.6333333333333333,0.0,0.0,,0,PR
2021-07-27 17:32:09,1.8.1,PRexp,4,4.09,1,4,Poke,Left,10,1,5,3,,,0.03,0 days 01:50:20.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:32:12,1.8.1,PRexp,4,4.09,1,4,Poke,Left,11,1,5,3,,,0.12,0 days 01:50:23.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:32:14,1.8.1,PRexp,4,4.09,1,4,Poke,Left,12,1,5,3,,,0.38,0 days 01:50:25.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:32:15,1.8.1,PRexp,4,4.09,1,4,Poke,Left,13,1,5,3,,,0.05,0 days 01:50:26.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 17:32:27,1.8.1,PRexp,4,4.09,7,4,Pellet,Left,13,1,6,4,0.25,60.0,,0 days 01:50:38.000000000,1.0,1.0,0.0,0.0,,0,PR
2021-07-27 17:32:57,1.8.1,PRexp,4,4.09,1,5,Poke,Left,13,2,6,4,,,0.04,0 days 01:51:08.000000000,0.0,,0.0,1.0,0.0,0,PR
2021-07-27 17:32:59,1.8.1,PRexp,4,4.09,1,5,Poke,Left,14,2,6,4,,,0.05,0 days 01:51:10.000000000,0.0,,1.0,0.0,1.0,0,PR
