MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/15/2021 16:20,1.8.1,FR1,5,3.65,1,1,Right,Left,0,1,0,0,nan,nan,0.14
8/15/2021 16:20,1.8.1,FR1,5,3.65,1,1,Left,Left,1,1,0,0,nan,nan,0.26
8/15/2021 18:41,1.8.1,FR1,5,3.65,3,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
8/15/2021 18:41,1.8.1,FR1,5,3.65,1,1,Left,Left,2,1,1,0,nan,nan,0.04
8/15/2021 18:41,1.8.1,FR1,5,3.65,3,1,Pellet,Left,2,1,2,0,1.7,8,nan
8/15/2021 18:42,1.8.1,FR1,5,3.65,1,1,Left,Left,3,1,2,0,nan,nan,0.45
8/15/2021 18:42,1.8.1,FR1,5,3.65,2,1,Pellet,Left,3,1,3,0,0.18,27,nan
8/15/2021 18:42,1.8.1,FR1,5,3.65,1,1,Left,Left,4,1,3,0,nan,nan,0.06
8/15/2021 18:42,1.8.1,FR1,5,3.65,1,1,Pellet,Left,4,1,4,0,1.26,25,nan
8/15/2021 18:43,1.8.1,FR1,5,3.65,1,1,Right,Left,4,2,4,0,nan,nan,0.07
8/15/2021 18:43,1.8.1,FR1,5,3.65,1,1,Right,Left,4,3,4,0,nan,nan,0.13
8/15/2021 18:43,1.8.1,FR1,5,3.65,1,1,Right,Left,4,4,4,0,nan,nan,0.07
8/15/2021 18:44,1.8.1,FR1,5,3.65,1,1,Right,Left,4,5,4,0,nan,nan,0.08
8/15/2021 18:44,1.8.1,FR1,5,3.65,1,1,Left,Left,5,5,4,0,nan,nan,0.08
8/15/2021 18:44,1.8.1,FR1,5,3.65,1,1,Pellet,Left,5,5,5,0,0.31,109,nan
8/15/2021 18:44,1.8.1,FR1,5,3.65,1,1,Left,Left,6,5,5,0,nan,nan,0.19
8/15/2021 18:44,1.8.1,FR1,5,3.65,1,1,Pellet,Left,6,5,6,0,0.37,4,nan
8/15/2021 18:44,1.8.1,FR1,5,3.65,1,1,Left,Left,7,5,6,0,nan,nan,0.05
8/15/2021 18:44,1.8.1,FR1,5,3.65,2,1,Pellet,Left,7,5,7,0,6.83,12,nan
8/15/2021 18:45,1.8.1,FR1,5,3.65,1,1,Left,Left,8,5,7,0,nan,nan,0.12
8/15/2021 18:45,1.8.1,FR1,5,3.65,1,1,Pellet,Left,8,5,8,0,0.44,11,nan
8/15/2021 18:45,1.8.1,FR1,5,3.64,1,1,Left,Left,9,5,8,0,nan,nan,0.21
8/15/2021 18:45,1.8.1,FR1,5,3.65,1,1,Pellet,Left,9,5,9,0,0.25,31,nan
8/15/2021 18:45,1.8.1,FR1,5,3.65,1,1,Right,Left,9,6,9,0,nan,nan,0.11
8/15/2021 18:46,1.8.1,FR1,5,3.65,1,1,Right,Left,9,7,9,0,nan,nan,0.33
8/15/2021 18:46,1.8.1,FR1,5,3.65,1,1,Right,Left,9,8,9,0,nan,nan,0.16
8/15/2021 18:46,1.8.1,FR1,5,3.65,1,1,Left,Left,10,8,9,0,nan,nan,0.28
8/15/2021 18:46,1.8.1,FR1,5,3.65,1,1,Pellet,Left,10,8,10,0,0.44,48,nan
8/15/2021 18:46,1.8.1,FR1,5,3.65,1,1,Left,Left,11,8,10,0,nan,nan,0.15
8/15/2021 18:46,1.8.1,FR1,5,3.65,1,1,Pellet,Left,11,8,11,0,0.37,20,nan
8/15/2021 18:46,1.8.1,FR1,5,3.65,1,1,Left,Left,12,8,11,0,nan,nan,0.24
8/15/2021 19:00,1.8.1,FR1,5,3.65,1,1,Pellet,Left,12,8,12,0,Timed_out,812,nan
8/15/2021 19:00,1.8.1,FR1,5,3.65,1,1,Left,Left,13,8,12,0,nan,nan,0.12
8/15/2021 19:00,1.8.1,FR1,5,3.65,1,1,Pellet,Left,13,8,13,0,0.37,4,nan
8/15/2021 19:00,1.8.1,FR1,5,3.65,1,1,Left,Left,14,8,13,0,nan,nan,0.18
8/15/2021 19:01,1.8.1,FR1,5,3.65,2,1,Pellet,Left,14,8,14,0,12.79,43,nan
8/15/2021 19:01,1.8.1,FR1,5,3.65,1,1,Left,Left,15,8,14,0,nan,nan,0.09
8/15/2021 19:01,1.8.1,FR1,5,3.65,2,1,Pellet,Left,15,8,15,0,0.06,22,nan
8/15/2021 20:27,1.8.1,FR1,5,3.65,1,1,Left,Left,16,8,15,0,nan,nan,0.11
8/15/2021 20:27,1.8.1,FR1,5,3.65,1,1,Pellet,Left,16,8,16,0,1.01,5177,nan
8/15/2021 20:28,1.8.1,FR1,5,3.65,1,1,Left,Left,17,8,16,0,nan,nan,0.12
8/15/2021 20:28,1.8.1,FR1,5,3.65,2,1,Pellet,Left,17,8,17,0,0.06,24,nan
8/15/2021 20:28,1.8.1,FR1,5,3.65,1,1,Left,Left,18,8,17,0,nan,nan,0.07
8/15/2021 20:28,1.8.1,FR1,5,3.65,1,1,Pellet,Left,18,8,18,0,0.19,19,nan
8/15/2021 20:28,1.8.1,FR1,5,3.65,1,1,Left,Left,19,8,18,0,nan,nan,0.1
8/15/2021 20:28,1.8.1,FR1,5,3.65,1,1,Pellet,Left,19,8,19,0,0.12,19,nan
8/15/2021 20:29,1.8.1,FR1,5,3.65,1,1,Left,Left,20,8,19,0,nan,nan,0.07
8/15/2021 20:29,1.8.1,FR1,5,3.65,1,1,Pellet,Left,20,8,20,0,0.19,24,nan
8/15/2021 20:29,1.8.1,FR1,5,3.65,1,1,Left,Left,21,8,20,0,nan,nan,0.09
8/15/2021 20:29,1.8.1,FR1,5,3.65,1,1,Pellet,Left,21,8,21,0,0.31,13,nan
8/15/2021 20:30,1.8.1,FR1,5,3.65,1,1,Right,Left,21,9,21,0,nan,nan,0.06
8/15/2021 20:30,1.8.1,FR1,5,3.65,1,1,Left,Left,22,9,21,0,nan,nan,0.11
8/15/2021 20:30,1.8.1,FR1,5,3.65,2,1,Pellet,Left,22,9,22,0,0.06,88,nan
8/15/2021 20:31,1.8.1,FR1,5,3.65,1,1,Right,Left,22,10,22,0,nan,nan,0.1
8/15/2021 20:31,1.8.1,FR1,5,3.65,1,1,Left,Left,23,10,22,0,nan,nan,0.16
8/15/2021 20:31,1.8.1,FR1,5,3.65,1,1,Pellet,Left,23,10,23,0,0.5,15,nan
8/15/2021 20:31,1.8.1,FR1,5,3.65,1,1,Left,Left,24,10,23,0,nan,nan,0.18
8/15/2021 20:31,1.8.1,FR1,5,3.65,1,1,Pellet,Left,24,10,24,0,0.31,23,nan
8/15/2021 20:33,1.8.1,FR1,5,3.65,1,1,Left,Left,25,10,24,0,nan,nan,0.29
8/15/2021 20:33,1.8.1,FR1,5,3.65,1,1,Pellet,Left,25,10,25,0,0.44,108,nan
8/15/2021 20:34,1.8.1,FR1,5,3.65,1,1,Left,Left,26,10,25,0,nan,nan,0.09
8/15/2021 20:38,1.8.1,FR1,5,3.65,2,1,Pellet,Left,26,10,26,0,Timed_out,330,nan
8/15/2021 20:38,1.8.1,FR1,5,3.65,1,1,Left,Left,27,10,26,0,nan,nan,0
8/15/2021 20:38,1.8.1,FR1,5,3.65,1,1,Pellet,Left,27,10,27,0,0.5,2,nan
8/15/2021 20:39,1.8.1,FR1,5,3.65,1,1,Left,Left,28,10,27,0,nan,nan,0.13
8/15/2021 20:39,1.8.1,FR1,5,3.65,1,1,Pellet,Left,28,10,28,0,0.37,23,nan
8/15/2021 20:39,1.8.1,FR1,5,3.65,1,1,Left,Left,29,10,28,0,nan,nan,0.08
8/15/2021 21:09,1.8.1,FR1,5,3.65,2,1,Pellet,Left,29,10,29,0,Timed_out,1803,nan
8/15/2021 21:09,1.8.1,FR1,5,3.65,1,1,Right,Left,29,11,29,0,nan,nan,0.08
8/15/2021 21:09,1.8.1,FR1,5,3.65,1,1,Right,Left,29,12,29,0,nan,nan,0.09
8/15/2021 21:09,1.8.1,FR1,5,3.65,1,1,Right,Left,29,13,29,0,nan,nan,0.05
8/15/2021 21:10,1.8.1,FR1,5,3.64,1,1,Right,Left,29,14,29,0,nan,nan,0.01
8/15/2021 21:10,1.8.1,FR1,5,3.65,1,1,Right,Left,29,15,29,0,nan,nan,0.07
8/15/2021 21:10,1.8.1,FR1,5,3.65,1,1,Right,Left,29,16,29,0,nan,nan,0.23
8/15/2021 21:10,1.8.1,FR1,5,3.65,1,1,Left,Left,30,16,29,0,nan,nan,0.14
8/15/2021 21:10,1.8.1,FR1,5,3.65,1,1,Pellet,Left,30,16,30,0,0.31,63,nan
8/15/2021 21:10,1.8.1,FR1,5,3.65,1,1,Left,Left,31,16,30,0,nan,nan,0.29
8/15/2021 21:10,1.8.1,FR1,5,3.65,1,1,Pellet,Left,31,16,31,0,0.12,24,nan
8/15/2021 21:10,1.8.1,FR1,5,3.65,1,1,Left,Left,32,16,31,0,nan,nan,0.09
8/15/2021 21:11,1.8.1,FR1,5,3.65,2,1,Pellet,Left,32,16,32,0,0.37,21,nan
8/15/2021 21:11,1.8.1,FR1,5,3.65,1,1,Left,Left,33,16,32,0,nan,nan,0.02
8/15/2021 21:11,1.8.1,FR1,5,3.65,2,1,Pellet,Left,33,16,33,0,0.06,14,nan
8/15/2021 21:11,1.8.1,FR1,5,3.65,1,1,Left,Left,34,16,33,0,nan,nan,0.02
8/15/2021 21:11,1.8.1,FR1,5,3.65,1,1,Pellet,Left,34,16,34,0,0.37,19,nan
8/15/2021 21:12,1.8.1,FR1,5,3.65,1,1,Left,Left,35,16,34,0,nan,nan,0.18
8/15/2021 21:12,1.8.1,FR1,5,3.65,1,1,Pellet,Left,35,16,35,0,0.37,48,nan
8/15/2021 21:23,1.8.1,FR1,5,3.65,1,1,Left,Left,36,16,35,0,nan,nan,0.11
8/15/2021 21:23,1.8.1,FR1,5,3.65,1,1,Pellet,Left,36,16,36,0,0.12,667,nan
8/15/2021 21:23,1.8.1,FR1,5,3.65,1,1,Left,Left,37,16,36,0,nan,nan,0.06
8/15/2021 21:23,1.8.1,FR1,5,3.65,1,1,Pellet,Left,37,16,37,0,0.31,22,nan
8/15/2021 21:24,1.8.1,FR1,5,3.65,1,1,Left,Left,38,16,37,0,nan,nan,0.33
8/15/2021 21:24,1.8.1,FR1,5,3.65,1,1,Pellet,Left,38,16,38,0,0.19,23,nan
8/15/2021 21:24,1.8.1,FR1,5,3.65,1,1,Left,Left,39,16,38,0,nan,nan,0.1
8/15/2021 21:24,1.8.1,FR1,5,3.65,1,1,Pellet,Left,39,16,39,0,0.25,18,nan
