MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/13/2022 15:27:32,1.12.0,FR1,2,4.18,nan,1,Left,Left,1,0,0,0,nan,nan,0.57
6/13/2022 15:33:28,1.12.0,FR1,2,4.18,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.79
6/13/2022 15:36:01,1.12.0,FR1,2,4.18,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.05
6/13/2022 15:46:21,1.12.0,FR1,2,4.18,nan,1,RightWithPellet,Left,2,2,0,0,nan,nan,0.04
6/13/2022 15:52:03,1.12.0,FR1,2,4.17,nan,1,RightWithPellet,Left,2,3,0,0,nan,nan,0.00
6/13/2022 15:52:09,1.12.0,FR1,2,4.17,nan,1,RightWithPellet,Left,2,4,0,0,nan,nan,0.02
6/13/2022 16:11:35,1.12.0,FR1,2,4.17,nan,1,RightWithPellet,Left,2,5,0,0,nan,nan,0.08
6/13/2022 17:30:05,1.12.0,FR1,2,4.16,nan,1,RightWithPellet,Left,2,6,0,0,nan,nan,0.13
6/13/2022 17:59:21,1.12.0,FR1,2,4.16,nan,1,LeftWithPellet,Left,3,6,0,0,nan,nan,0.29
6/13/2022 17:59:23,1.12.0,FR1,2,4.16,nan,1,LeftWithPellet,Left,4,6,0,0,nan,nan,0.02
6/13/2022 17:59:51,1.12.0,FR1,2,4.16,nan,1,LeftWithPellet,Left,5,6,0,0,nan,nan,1.89
6/13/2022 18:01:06,1.12.0,FR1,2,4.16,nan,1,LeftWithPellet,Left,6,6,0,0,nan,nan,0.19
6/13/2022 19:02:15,1.12.0,FR1,2,4.16,nan,1,RightWithPellet,Left,6,7,0,0,nan,nan,0.40
6/13/2022 19:05:15,1.12.0,FR1,2,4.16,nan,1,LeftWithPellet,Left,7,7,0,0,nan,nan,0.91
