MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2022-05-24 18:52:16,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,0,1,0,0,,,0.33,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,FR1_4s_delay
2022-05-24 18:52:19,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,0,2,0,0,,,0.24,0 days 00:00:03.000000000,0.0,,0.0,1.0,0.0,0,FR1_4s_delay
2022-05-24 18:52:52,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,1,2,0,0,,,0.35,0 days 00:00:36.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 18:53:33,1.12.0,FR1_4s_delay,5,3.83,3.0,1,Pellet,Left,1,2,1,0,33.27,,,0 days 00:01:17.000000000,1.0,,0.0,0.0,,0,FR1_4s_delay
2022-05-24 18:56:14,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,2,2,1,0,,,0.24,0 days 00:03:58.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:05:13,1.12.0,FR1_4s_delay,5,3.83,2.0,1,Pellet,Left,2,2,2,0,,700.0,,0 days 00:12:57.000000000,1.0,11.666666666666666,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:06:40,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,3,2,2,0,,,0.04,0 days 00:14:24.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:06:48,1.12.0,FR1_4s_delay,5,3.83,3.0,1,Pellet,Left,3,2,3,0,0.67,94.0,,0 days 00:14:32.000000000,1.0,1.5833333333333333,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:07:30,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,3,3,3,0,,,0.14,0 days 00:15:14.000000000,0.0,,0.0,1.0,0.0,0,FR1_4s_delay
2022-05-24 19:07:36,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,4,3,3,0,,,0.3,0 days 00:15:20.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:07:43,1.12.0,FR1_4s_delay,5,3.83,1.0,1,Pellet,Left,4,3,4,0,1.96,55.0,,0 days 00:15:27.000000000,1.0,0.9166666666666666,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:16:29,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,5,3,4,0,,,0.3,0 days 00:24:13.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:16:36,1.12.0,FR1_4s_delay,5,3.83,1.0,1,Pellet,Left,5,3,5,0,1.83,533.0,,0 days 00:24:20.000000000,1.0,8.883333333333333,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:17:13,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,6,3,5,0,,,0.35,0 days 00:24:57.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:17:20,1.12.0,FR1_4s_delay,5,3.83,1.0,1,Pellet,Left,6,3,6,0,1.46,45.0,,0 days 00:25:04.000000000,1.0,0.7333333333333333,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:17:54,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,7,3,6,0,,,0.06,0 days 00:25:38.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:18:00,1.12.0,FR1_4s_delay,5,3.82,1.0,1,Pellet,Left,7,3,7,0,0.91,39.0,,0 days 00:25:44.000000000,1.0,0.6666666666666666,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:11:16,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,8,3,7,0,,,0.23,0 days 01:19:00.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:11:21,1.12.0,FR1_4s_delay,5,3.83,1.0,1,Pellet,Left,8,3,8,0,0.36,3202.0,,0 days 01:19:05.000000000,1.0,53.35,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:11:47,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,9,3,8,0,,,0.3,0 days 01:19:31.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:11:52,1.12.0,FR1_4s_delay,5,3.83,1.0,1,Pellet,Left,9,3,9,0,0.18,31.0,,0 days 01:19:36.000000000,1.0,0.5166666666666667,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:12:42,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,10,3,9,0,,,0.49,0 days 01:20:26.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:12:47,1.12.0,FR1_4s_delay,5,3.83,2.0,1,Pellet,Left,10,3,10,0,0.18,55.0,,0 days 01:20:31.000000000,1.0,0.9166666666666666,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:20:41,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,11,3,10,0,,,0.58,0 days 01:28:25.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:20:57,1.12.0,FR1_4s_delay,5,3.83,6.0,1,Pellet,Left,11,3,11,0,0.42,490.0,,0 days 01:28:41.000000000,1.0,8.166666666666666,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:21:19,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,12,3,11,0,,,0.04,0 days 01:29:03.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:21:25,1.12.0,FR1_4s_delay,5,3.83,2.0,1,Pellet,Left,12,3,12,0,0.36,28.0,,0 days 01:29:09.000000000,1.0,0.4666666666666667,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:21:54,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,13,3,12,0,,,0.39,0 days 01:29:38.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:21:59,1.12.0,FR1_4s_delay,5,3.83,2.0,1,Pellet,Left,13,3,13,0,0.24,34.0,,0 days 01:29:43.000000000,1.0,0.5666666666666667,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:22:40,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,14,3,13,0,,,0.03,0 days 01:30:24.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:22:45,1.12.0,FR1_4s_delay,5,3.83,1.0,1,Pellet,Left,14,3,14,0,0.42,46.0,,0 days 01:30:29.000000000,1.0,0.7666666666666667,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:23:19,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,15,3,14,0,,,0.15,0 days 01:31:03.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:23:25,1.12.0,FR1_4s_delay,5,3.83,1.0,1,Pellet,Left,15,3,15,0,0.55,39.0,,0 days 01:31:09.000000000,1.0,0.6666666666666666,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:23:57,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,16,3,15,0,,,0.18,0 days 01:31:41.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:24:02,1.12.0,FR1_4s_delay,5,3.83,1.0,1,Pellet,Left,16,3,16,0,0.79,38.0,,0 days 01:31:46.000000000,1.0,0.6166666666666667,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:26:11,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,16,4,16,0,,,0.94,0 days 01:33:55.000000000,0.0,,0.0,1.0,0.0,0,FR1_4s_delay
2022-05-24 20:26:46,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,17,4,16,0,,,0.41,0 days 01:34:30.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:26:51,1.12.0,FR1_4s_delay,5,3.83,2.0,1,Pellet,Left,17,4,17,0,0.42,169.0,,0 days 01:34:35.000000000,1.0,2.816666666666667,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:27:17,1.12.0,FR1_4s_delay,5,3.83,,1,Poke,Left,18,4,17,0,,,0.08,0 days 01:35:01.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:27:22,1.12.0,FR1_4s_delay,5,3.83,1.0,1,Pellet,Left,18,4,18,0,0.3,31.0,,0 days 01:35:06.000000000,1.0,0.5166666666666667,0.0,0.0,,0,FR1_4s_delay
