MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#
2022-05-24 19:03:58,1.12.0,FR1_4s_delay,6,3.93,,1,Poke,Left,0,1,0,0,,,0.96,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0
2022-05-24 19:04:44,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,0,2,0,0,,,0.29,0 days 00:00:46.000000000,0.0,,0.0,1.0,0.0,0
2022-05-24 19:04:48,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,1,2,0,0,,,0.4,0 days 00:00:50.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 19:04:55,1.12.0,FR1_4s_delay,6,3.91,2.0,1,Pellet,Left,1,2,1,0,0.79,,,0 days 00:00:57.000000000,1.0,,0.0,0.0,,0
2022-05-24 19:05:23,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,2,2,1,0,,,0.62,0 days 00:01:25.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 19:05:45,1.12.0,FR1_4s_delay,6,3.93,1.0,1,Pellet,Left,2,2,2,0,17.22,50.0,,0 days 00:01:47.000000000,1.0,0.8333333333333334,0.0,0.0,,0
2022-05-24 19:06:17,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,3,2,2,0,,,0.0,0 days 00:02:19.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 19:06:48,1.12.0,FR1_4s_delay,6,3.93,1.0,1,Pellet,Left,3,2,3,0,26.67,63.0,,0 days 00:02:50.000000000,1.0,1.05,0.0,0.0,,0
2022-05-24 19:07:10,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,4,2,3,0,,,0.34,0 days 00:03:12.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 19:07:15,1.12.0,FR1_4s_delay,6,3.93,2.0,1,Pellet,Left,4,2,4,0,0.06,27.0,,0 days 00:03:17.000000000,1.0,0.45,0.0,0.0,,0
2022-05-24 20:09:21,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,5,2,4,0,,,0.09,0 days 01:05:23.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:09:26,1.12.0,FR1_4s_delay,6,3.92,1.0,1,Pellet,Left,5,2,5,0,0.3,3731.0,,0 days 01:05:28.000000000,1.0,62.18333333333333,0.0,0.0,,0
2022-05-24 20:09:57,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,6,2,5,0,,,0.02,0 days 01:05:59.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:10:17,1.12.0,FR1_4s_delay,6,3.91,1.0,1,Pellet,Left,6,2,6,0,15.32,51.0,,0 days 01:06:19.000000000,1.0,0.85,0.0,0.0,,0
2022-05-24 20:10:50,1.12.0,FR1_4s_delay,6,3.93,,1,Poke,Left,7,2,6,0,,,0.2,0 days 01:06:52.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:11:19,1.12.0,FR1_4s_delay,6,3.92,1.0,1,Pellet,Left,7,2,7,0,24.5,62.0,,0 days 01:07:21.000000000,1.0,1.0333333333333334,0.0,0.0,,0
2022-05-24 20:11:43,1.12.0,FR1_4s_delay,6,3.91,,1,Poke,Left,8,2,7,0,,,0.24,0 days 01:07:45.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:12:05,1.12.0,FR1_4s_delay,6,3.92,3.0,1,Pellet,Left,8,2,8,0,12.41,46.0,,0 days 01:08:07.000000000,1.0,0.7666666666666667,0.0,0.0,,0
2022-05-24 20:12:41,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,9,2,8,0,,,0.09,0 days 01:08:43.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:12:46,1.12.0,FR1_4s_delay,6,3.92,2.0,1,Pellet,Left,9,2,9,0,0.06,41.0,,0 days 01:08:48.000000000,1.0,0.6833333333333333,0.0,0.0,,0
2022-05-24 20:13:17,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,9,3,9,0,,,0.49,0 days 01:09:19.000000000,0.0,,0.0,1.0,0.0,0
2022-05-24 20:13:25,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,9,4,9,0,,,0.71,0 days 01:09:27.000000000,0.0,,0.0,1.0,0.0,0
2022-05-24 20:13:28,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,10,4,9,0,,,0.45,0 days 01:09:30.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:13:33,1.12.0,FR1_4s_delay,6,3.91,2.0,1,Pellet,Left,10,4,10,0,0.06,47.0,,0 days 01:09:35.000000000,1.0,0.7833333333333333,0.0,0.0,,0
2022-05-24 20:15:02,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,10,5,10,0,,,0.02,0 days 01:11:04.000000000,0.0,,0.0,1.0,0.0,0
2022-05-24 20:42:50,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,11,5,10,0,,,0.03,0 days 01:38:52.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:42:55,1.12.0,FR1_4s_delay,6,3.92,1.0,1,Pellet,Left,11,5,11,0,0.3,1762.0,,0 days 01:38:57.000000000,1.0,29.366666666666667,0.0,0.0,,0
2022-05-24 20:43:22,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,12,5,11,0,,,0.3,0 days 01:39:24.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:43:27,1.12.0,FR1_4s_delay,6,3.92,2.0,1,Pellet,Left,12,5,12,0,0.06,32.0,,0 days 01:39:29.000000000,1.0,0.5333333333333333,0.0,0.0,,0
2022-05-24 20:43:53,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,13,5,12,0,,,0.31,0 days 01:39:55.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:43:58,1.12.0,FR1_4s_delay,6,3.92,1.0,1,Pellet,Left,13,5,13,0,0.12,30.0,,0 days 01:40:00.000000000,1.0,0.5166666666666667,0.0,0.0,,0
2022-05-24 20:44:21,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,14,5,13,0,,,0.26,0 days 01:40:23.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 20:44:26,1.12.0,FR1_4s_delay,6,3.92,1.0,1,Pellet,Left,14,5,14,0,0.18,29.0,,0 days 01:40:28.000000000,1.0,0.4666666666666667,0.0,0.0,,0
2022-05-24 21:03:45,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,15,5,14,0,,,0.0,0 days 01:59:47.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 21:03:50,1.12.0,FR1_4s_delay,6,3.92,1.0,1,Pellet,Left,15,5,15,0,0.48,1164.0,,0 days 01:59:52.000000000,1.0,19.4,0.0,0.0,,0
2022-05-24 21:04:33,1.12.0,FR1_4s_delay,6,3.91,,1,Poke,Left,16,5,15,0,,,0.02,0 days 02:00:35.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 21:04:38,1.12.0,FR1_4s_delay,6,3.91,1.0,1,Pellet,Left,16,5,16,0,0.3,48.0,,0 days 02:00:40.000000000,1.0,0.8,0.0,0.0,,0
2022-05-24 21:05:12,1.12.0,FR1_4s_delay,6,3.91,,1,Poke,Left,17,5,16,0,,,0.14,0 days 02:01:14.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 21:05:36,1.12.0,FR1_4s_delay,6,3.92,3.0,1,Pellet,Left,17,5,17,0,14.39,58.0,,0 days 02:01:38.000000000,1.0,0.9666666666666667,0.0,0.0,,0
2022-05-24 21:19:56,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,18,5,17,0,,,0.85,0 days 02:15:58.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 21:20:02,1.12.0,FR1_4s_delay,6,3.91,1.0,1,Pellet,Left,18,5,18,0,0.91,866.0,,0 days 02:16:04.000000000,1.0,14.433333333333334,0.0,0.0,,0
2022-05-24 21:20:41,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,18,6,18,0,,,0.08,0 days 02:16:43.000000000,0.0,,0.0,1.0,0.0,0
2022-05-24 21:21:03,1.12.0,FR1_4s_delay,6,3.91,,1,Poke,Left,18,7,18,0,,,0.01,0 days 02:17:05.000000000,0.0,,0.0,1.0,0.0,0
2022-05-24 21:21:11,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,18,8,18,0,,,0.69,0 days 02:17:13.000000000,0.0,,0.0,1.0,0.0,0
2022-05-24 21:36:06,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,19,8,18,0,,,0.22,0 days 02:32:08.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 21:36:11,1.12.0,FR1_4s_delay,6,3.91,1.0,1,Pellet,Left,19,8,19,0,0.18,969.0,,0 days 02:32:13.000000000,1.0,16.15,0.0,0.0,,0
2022-05-24 21:36:37,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,20,8,19,0,,,0.52,0 days 02:32:39.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 21:36:42,1.12.0,FR1_4s_delay,6,3.91,1.0,1,Pellet,Left,20,8,20,0,0.12,31.0,,0 days 02:32:44.000000000,1.0,0.5166666666666667,0.0,0.0,,0
2022-05-24 21:37:14,1.12.0,FR1_4s_delay,6,3.91,,1,Poke,Left,21,8,20,0,,,0.41,0 days 02:33:16.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 21:37:19,1.12.0,FR1_4s_delay,6,3.91,1.0,1,Pellet,Left,21,8,21,0,0.24,37.0,,0 days 02:33:21.000000000,1.0,0.6166666666666667,0.0,0.0,,0
2022-05-24 21:37:39,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,22,8,21,0,,,0.11,0 days 02:33:41.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 21:37:44,1.12.0,FR1_4s_delay,6,3.92,2.0,1,Pellet,Left,22,8,22,0,0.06,25.0,,0 days 02:33:46.000000000,1.0,0.4166666666666667,0.0,0.0,,0
2022-05-24 21:38:19,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,23,8,22,0,,,0.44,0 days 02:34:21.000000000,0.0,,1.0,0.0,1.0,0
2022-05-24 21:38:24,1.12.0,FR1_4s_delay,6,3.91,1.0,1,Pellet,Left,23,8,23,0,0.18,40.0,,0 days 02:34:26.000000000,1.0,0.6666666666666666,0.0,0.0,,0
2022-05-24 21:39:08,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,23,9,23,0,,,0.24,0 days 02:35:10.000000000,0.0,,0.0,1.0,0.0,0
2022-05-24 21:41:40,1.12.0,FR1_4s_delay,6,3.92,,1,Poke,Left,23,10,23,0,,,0.11,0 days 02:37:42.000000000,0.0,,0.0,1.0,0.0,0
