MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/12/2022 16:16:38,1.16.1,FR1Dual,0,4.16,nan,1,Left,Left,1,0,0,0,nan,nan,0.22
8/12/2022 16:21:54,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.62
8/12/2022 16:23:26,1.16.1,FR1Dual,0,4.16,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.26
8/12/2022 16:23:31,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,2,0,0,nan,nan,1.93
8/12/2022 16:23:33,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,3,0,0,nan,nan,0.02
8/12/2022 16:30:08,1.16.1,FR1Dual,0,4.17,nan,1,RightWithPellet,Left,2,4,0,0,nan,nan,0.62
8/12/2022 16:30:09,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,5,0,0,nan,nan,0.26
8/12/2022 16:33:02,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,6,0,0,nan,nan,0.25
8/12/2022 16:33:05,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,7,0,0,nan,nan,0.19
8/12/2022 16:33:06,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,8,0,0,nan,nan,0.15
8/12/2022 16:35:08,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,9,0,0,nan,nan,0.22
8/12/2022 16:37:20,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,10,0,0,nan,nan,0.25
8/12/2022 16:40:31,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,11,0,0,nan,nan,0.21
8/12/2022 16:59:06,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,12,0,0,nan,nan,0.05
8/12/2022 17:01:57,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,2,13,0,0,nan,nan,0.13
8/12/2022 17:07:34,1.16.1,FR1Dual,0,4.16,nan,1,LeftWithPellet,Left,3,13,0,0,nan,nan,0.16
8/12/2022 17:09:53,1.16.1,FR1Dual,0,4.16,nan,1,RightWithPellet,Left,3,14,0,0,nan,nan,0.20
8/12/2022 17:17:09,1.16.1,FR1Dual,0,4.16,1,1,Pellet,Left,3,14,1,0,Timed_out,nan,nan
8/12/2022 17:28:33,1.16.1,FR1Dual,0,4.16,nan,1,Left,Left,4,14,1,0,nan,nan,0.28
8/12/2022 17:29:56,1.16.1,FR1Dual,0,4.15,nan,1,RightWithPellet,Left,4,15,1,0,nan,nan,0.16
8/12/2022 17:30:29,1.16.1,FR1Dual,0,4.16,2,1,Pellet,Left,4,15,2,0,Timed_out,800,nan
8/12/2022 17:34:26,1.16.1,FR1Dual,0,4.16,nan,1,Right,Left,4,16,2,0,nan,nan,0.03
8/12/2022 17:34:28,1.16.1,FR1Dual,0,4.16,nan,1,RightDuringDispense,Left,4,17,2,0,nan,nan,1.34
8/12/2022 17:34:44,1.16.1,FR1Dual,0,4.16,2,1,Pellet,Left,4,17,3,0,13.69,255,nan
8/12/2022 17:38:26,1.16.1,FR1Dual,0,4.16,nan,1,Left,Left,5,17,3,0,nan,nan,0.11
8/12/2022 17:38:26,1.16.1,FR1Dual,0,4.16,nan,1,LeftDuringDispense,Left,6,17,3,0,nan,nan,0.01
8/12/2022 17:38:57,1.16.1,FR1Dual,0,4.16,3,1,Pellet,Left,6,17,4,0,25.25,253,nan
8/12/2022 17:43:42,1.16.1,FR1Dual,0,4.16,nan,1,Left,Left,7,17,4,0,nan,nan,0.30
8/12/2022 17:43:47,1.16.1,FR1Dual,0,4.16,1,1,Pellet,Left,7,17,5,0,4.56,290,nan
8/12/2022 17:47:43,1.16.1,FR1Dual,0,4.16,nan,1,Right,Left,7,18,5,0,nan,nan,0.06
8/12/2022 17:47:43,1.16.1,FR1Dual,0,4.16,nan,1,RightDuringDispense,Left,7,19,5,0,nan,nan,0.33
8/12/2022 17:48:21,1.16.1,FR1Dual,0,4.15,2,1,Pellet,Left,7,19,6,0,35.08,274,nan
8/12/2022 17:56:51,1.16.1,FR1Dual,0,4.16,nan,1,Right,Left,7,20,6,0,nan,nan,1.14
8/12/2022 17:56:58,1.16.1,FR1Dual,0,4.16,1,1,Pellet,Left,7,20,7,0,6.44,517,nan
8/12/2022 18:01:14,1.16.1,FR1Dual,0,4.15,nan,1,Left,Left,8,20,7,0,nan,nan,0.25
8/12/2022 18:01:31,1.16.1,FR1Dual,0,4.16,1,1,Pellet,Left,8,20,8,0,16.36,273,nan
8/12/2022 18:02:49,1.16.1,FR1Dual,0,4.16,nan,1,Left,Left,9,20,8,0,nan,nan,0.08
8/12/2022 18:02:50,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,9,20,9,0,0.03,78,nan
8/12/2022 18:03:35,1.16.1,FR1Dual,0,4.16,nan,1,Right,Left,9,21,9,0,nan,nan,0.02
8/12/2022 18:03:37,1.16.1,FR1Dual,0,4.16,1,1,Pellet,Left,9,21,10,0,1.94,48,nan
8/12/2022 18:09:28,1.16.1,FR1Dual,0,4.16,nan,1,Right,Left,9,22,10,0,nan,nan,0.56
8/12/2022 18:13:15,1.16.1,FR1Dual,0,4.16,1,1,Pellet,Left,9,22,11,0,Timed_out,578,nan
8/12/2022 18:13:58,1.16.1,FR1Dual,0,4.16,nan,1,Right,Left,9,23,11,0,nan,nan,0.11
8/12/2022 18:14:49,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,9,23,12,0,50.24,94,nan
8/12/2022 18:15:41,1.16.1,FR1Dual,0,4.15,nan,1,Left,Left,10,23,12,0,nan,nan,0.10
8/12/2022 18:17:01,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,10,23,13,0,Timed_out,132,nan
8/12/2022 18:20:09,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,10,24,13,0,nan,nan,0.01
8/12/2022 18:20:33,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,10,24,14,0,23.52,212,nan
8/12/2022 18:23:23,1.16.1,FR1Dual,0,4.16,nan,1,Right,Left,10,25,14,0,nan,nan,0.15
8/12/2022 18:23:55,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,10,25,15,0,30.72,202,nan
8/12/2022 18:24:54,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,10,26,15,0,nan,nan,0.04
8/12/2022 18:24:57,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,10,26,16,0,1.94,62,nan
8/12/2022 18:26:18,1.16.1,FR1Dual,0,4.16,nan,1,Right,Left,10,27,16,0,nan,nan,0.23
8/12/2022 18:26:23,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,10,27,17,0,3.94,86,nan
8/12/2022 18:27:32,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,10,28,17,0,nan,nan,0.22
8/12/2022 18:28:05,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,10,28,18,0,33.12,102,nan
8/12/2022 18:28:56,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,10,29,18,0,nan,nan,0.27
8/12/2022 18:28:57,1.16.1,FR1Dual,0,4.15,nan,1,RightDuringDispense,Left,10,30,18,0,nan,nan,0.05
8/12/2022 18:29:05,1.16.1,FR1Dual,0,4.16,2,1,Pellet,Left,10,30,19,0,5.30,60,nan
8/12/2022 18:34:51,1.16.1,FR1Dual,0,4.15,nan,1,Left,Left,11,30,19,0,nan,nan,0.16
8/12/2022 18:35:02,1.16.1,FR1Dual,0,4.16,1,1,Pellet,Left,11,30,20,0,10.16,357,nan
8/12/2022 18:35:45,1.16.1,FR1Dual,0,4.14,nan,1,Right,Left,11,31,20,0,nan,nan,0.02
8/12/2022 18:35:46,1.16.1,FR1Dual,0,4.15,nan,1,RightDuringDispense,Left,11,32,20,0,nan,nan,0.26
8/12/2022 18:36:22,1.16.1,FR1Dual,0,4.15,nan,1,RightWithPellet,Left,11,33,20,0,nan,nan,0.57
8/12/2022 18:36:26,1.16.1,FR1Dual,0,4.15,2,1,Pellet,Left,11,33,21,0,36.74,84,nan
8/12/2022 18:37:38,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,11,34,21,0,nan,nan,0.28
8/12/2022 18:37:44,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,11,34,22,0,5.54,78,nan
8/12/2022 18:40:13,1.16.1,FR1Dual,0,4.15,nan,1,Left,Left,12,34,22,0,nan,nan,0.02
8/12/2022 18:40:15,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,12,34,23,0,1.47,151,nan
8/12/2022 18:42:13,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,12,35,23,0,nan,nan,0.05
8/12/2022 18:43:02,1.16.1,FR1Dual,0,4.14,1,1,Pellet,Left,12,35,24,0,48.79,167,nan
8/12/2022 18:44:07,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,12,36,24,0,nan,nan,0.06
8/12/2022 18:44:32,1.16.1,FR1Dual,0,4.15,2,1,Pellet,Left,12,36,25,0,21.63,90,nan
8/12/2022 18:46:00,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,12,37,25,0,nan,nan,0.06
8/12/2022 18:46:07,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,12,37,26,0,6.64,95,nan
8/12/2022 18:46:50,1.16.1,FR1Dual,0,4.16,nan,1,Right,Left,12,38,26,0,nan,nan,0.16
8/12/2022 18:46:51,1.16.1,FR1Dual,0,4.15,nan,1,RightDuringDispense,Left,12,39,26,0,nan,nan,0.15
8/12/2022 18:48:23,1.16.1,FR1Dual,0,4.15,2,1,Pellet,Left,12,39,27,0,Timed_out,136,nan
8/12/2022 18:51:34,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,12,40,27,0,nan,nan,0.20
8/12/2022 18:51:36,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,12,40,28,0,2.33,193,nan
8/12/2022 18:59:54,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,12,41,28,0,nan,nan,0.00
8/12/2022 18:59:58,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,12,41,29,0,2.88,502,nan
8/12/2022 19:03:57,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,12,42,29,0,nan,nan,0.16
8/12/2022 19:04:41,1.16.1,FR1Dual,0,4.15,1,1,Pellet,Left,12,42,30,0,43.67,283,nan
8/12/2022 19:06:37,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,12,43,30,0,nan,nan,0.02
8/12/2022 19:06:43,1.16.1,FR1Dual,0,4.15,2,1,Pellet,Left,12,43,31,0,3.62,122,nan
8/12/2022 19:07:53,1.16.1,FR1Dual,0,4.15,nan,1,Right,Left,12,44,31,0,nan,nan,0.17
8/12/2022 19:07:58,1.16.1,FR1Dual,0,4.14,2,1,Pellet,Left,12,44,32,0,3.86,75,nan
