MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/8/2022 16:01:04,1.11.0,FR1,5,4.22,1,1,Left,Left,1,0,0,0,nan,nan,0.02
2/8/2022 16:03:46,1.11.0,FR1,5,4.22,1,1,Right,Left,1,1,0,0,nan,nan,0.35
2/8/2022 16:04:29,1.11.0,FR1,5,4.22,1,1,Right,Left,1,2,0,0,nan,nan,0.14
2/8/2022 16:05:59,1.11.0,FR1,5,4.23,1,1,Left,Left,2,2,0,0,nan,nan,0.52
2/8/2022 16:06:42,1.11.0,FR1,5,4.23,1,1,Right,Left,2,3,0,0,nan,nan,0.03
2/8/2022 16:07:16,1.11.0,FR1,5,4.22,1,1,Right,Left,2,4,0,0,nan,nan,0.04
2/8/2022 16:07:17,1.11.0,FR1,5,4.23,1,1,Right,Left,2,5,0,0,nan,nan,0.01
2/8/2022 16:07:20,1.11.0,FR1,5,4.22,1,1,Right,Left,2,6,0,0,nan,nan,0.05
2/8/2022 16:07:23,1.11.0,FR1,5,4.22,1,1,Right,Left,2,7,0,0,nan,nan,0.04
2/8/2022 16:07:34,1.11.0,FR1,5,4.23,1,1,Left,Left,3,7,0,0,nan,nan,0.34
2/8/2022 16:07:47,1.11.0,FR1,5,4.23,1,1,Right,Left,3,8,0,0,nan,nan,0.17
2/8/2022 16:08:03,1.11.0,FR1,5,4.21,1,1,Right,Left,3,9,0,0,nan,nan,0.20
2/8/2022 16:11:40,1.11.0,FR1,5,4.22,1,1,Left,Left,4,9,0,0,nan,nan,0.04
2/8/2022 16:11:42,1.11.0,FR1,5,4.22,1,1,Left,Left,5,9,0,0,nan,nan,0.12
2/8/2022 16:11:55,1.11.0,FR1,5,4.22,1,1,Left,Left,6,9,0,0,nan,nan,0.01
