MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
4/24/2021 17:25:44,1.4.2,FR1_Rev,2,4.07,1,1,Right,Left,0,1,0,0,nan,0.16
4/24/2021 17:25:49,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,1,1,0,0,nan,0.21
4/24/2021 17:25:50,1.4.2,FR1_Rev,2,4.06,2,1,Pellet,Left,1,1,1,0,0.18,nan
4/24/2021 17:26:50,1.4.2,FR1_Rev,2,4.06,1,1,Right,Left,1,2,1,0,nan,0.18
4/24/2021 17:27:12,1.4.2,FR1_Rev,2,4.05,1,1,Left,Left,2,2,1,0,nan,0.51
4/24/2021 17:27:14,1.4.2,FR1_Rev,2,4.05,2,1,Pellet,Left,2,2,2,0,0.19,nan
4/24/2021 17:29:46,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,3,2,2,0,nan,0.50
4/24/2021 17:29:47,1.4.2,FR1_Rev,2,4.06,2,1,Pellet,Left,3,2,3,0,0.18,nan
4/24/2021 17:30:22,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,4,2,3,0,nan,0.45
4/24/2021 17:30:27,1.4.2,FR1_Rev,2,4.06,4,1,Pellet,Left,4,2,4,0,0.06,nan
4/24/2021 17:31:42,1.4.2,FR1_Rev,2,4.06,1,1,Right,Left,4,3,4,0,nan,0.08
4/24/2021 17:38:43,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,5,3,4,0,nan,0.18
4/24/2021 17:38:46,1.4.2,FR1_Rev,2,4.06,1,1,Pellet,Left,5,3,5,0,2.40,nan
4/24/2021 17:38:58,1.4.2,FR1_Rev,2,4.05,1,1,Left,Left,6,3,5,0,nan,0.18
4/24/2021 17:38:59,1.4.2,FR1_Rev,2,4.05,1,1,Pellet,Left,6,3,6,0,0.18,nan
4/24/2021 17:39:31,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,7,3,6,0,nan,0.67
4/24/2021 17:39:33,1.4.2,FR1_Rev,2,4.06,1,1,Pellet,Left,7,3,7,0,0.44,nan
4/24/2021 17:40:28,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,8,3,7,0,nan,0.39
4/24/2021 17:40:30,1.4.2,FR1_Rev,2,4.06,1,1,Pellet,Left,8,3,8,0,0.88,nan
4/24/2021 17:41:33,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,9,3,8,0,nan,0.24
4/24/2021 17:41:34,1.4.2,FR1_Rev,2,4.06,1,1,Pellet,Left,9,3,9,0,0.18,nan
4/24/2021 17:44:31,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,10,3,9,0,nan,0.00
4/24/2021 17:44:34,1.4.2,FR1_Rev,2,4.06,2,1,Pellet,Left,10,3,10,0,0.44,nan
4/24/2021 17:45:01,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,11,3,10,0,nan,0.04
4/24/2021 17:45:04,1.4.2,FR1_Rev,2,4.06,2,1,Pellet,Left,11,3,11,0,0.12,nan
4/24/2021 17:56:52,1.4.2,FR1_Rev,2,4.05,1,1,Left,Left,12,3,11,0,nan,0.09
4/24/2021 17:56:54,1.4.2,FR1_Rev,2,4.05,1,1,Pellet,Left,12,3,12,0,0.31,nan
4/24/2021 17:57:18,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,13,3,12,0,nan,0.08
4/24/2021 17:57:19,1.4.2,FR1_Rev,2,4.06,1,1,Pellet,Left,13,3,13,0,0.19,nan
4/24/2021 17:57:57,1.4.2,FR1_Rev,2,4.05,1,1,Left,Left,14,3,13,0,nan,0.04
4/24/2021 17:57:58,1.4.2,FR1_Rev,2,4.05,1,1,Pellet,Left,14,3,14,0,0.25,nan
4/24/2021 17:58:29,1.4.2,FR1_Rev,2,4.06,1,1,Left,Left,15,3,14,0,nan,0.18
4/24/2021 17:58:30,1.4.2,FR1_Rev,2,4.06,1,1,Pellet,Left,15,3,15,0,0.37,nan
4/24/2021 18:34:25,1.4.2,FR1_Rev,2,4.05,1,1,Left,Left,16,3,15,0,nan,1.12
4/24/2021 18:34:27,1.4.2,FR1_Rev,2,4.05,1,1,Pellet,Left,16,3,16,0,0.88,nan
4/24/2021 18:34:52,1.4.2,FR1_Rev,2,4.05,1,1,Left,Left,17,3,16,0,nan,0.93
4/24/2021 18:34:56,1.4.2,FR1_Rev,2,4.05,2,1,Pellet,Left,17,3,17,0,0.31,nan
4/24/2021 18:35:30,1.4.2,FR1_Rev,2,4.05,1,1,Left,Left,18,3,17,0,nan,0.35
4/24/2021 18:35:31,1.4.2,FR1_Rev,2,4.05,1,1,Pellet,Left,18,3,18,0,0.56,nan
