MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/12/2022 10:32:43,1.16.1,RevPunish,0,4.18,nan,1,Left,Left,1,0,0,0,nan,nan,0.57
9/12/2022 10:35:12,1.16.1,RevPunish,0,4.18,nan,1,LeftWithPellet,Left,2,0,0,0,nan,nan,0.27
9/12/2022 10:35:17,1.16.1,RevPunish,0,4.18,nan,1,LeftWithPellet,Left,3,0,0,0,nan,nan,1.97
9/12/2022 10:35:19,1.16.1,RevPunish,0,4.18,nan,1,LeftWithPellet,Left,4,0,0,0,nan,nan,0.08
9/12/2022 10:35:31,1.16.1,RevPunish,0,4.18,4,1,Pellet,Left,4,0,1,0,Timed_out,nan,nan
9/12/2022 10:35:52,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,4,1,1,0,nan,nan,0.07
9/12/2022 10:39:02,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,4,2,1,0,nan,nan,0.52
9/12/2022 10:39:59,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,4,3,1,0,nan,nan,0.10
9/12/2022 10:40:12,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,4,4,1,0,nan,nan,0.26
9/12/2022 10:40:17,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,4,5,1,0,nan,nan,0.38
9/12/2022 10:41:14,1.16.1,RevPunish,0,4.18,nan,1,Left,Left,5,5,1,0,nan,nan,0.10
9/12/2022 10:41:15,1.16.1,RevPunish,0,4.18,2,1,Pellet,Left,5,5,2,0,0.03,344,nan
9/12/2022 10:41:52,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,5,6,2,0,nan,nan,0.09
9/12/2022 10:42:08,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,5,7,2,0,nan,nan,0.42
9/12/2022 10:42:13,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,5,8,2,0,nan,nan,0.28
9/12/2022 10:42:20,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,5,9,2,0,nan,nan,0.35
9/12/2022 10:42:49,1.16.1,RevPunish,0,4.18,nan,1,Left,Left,6,9,2,0,nan,nan,0.18
9/12/2022 10:42:54,1.16.1,RevPunish,0,4.18,1,1,Pellet,Left,6,9,3,0,3.74,99,nan
9/12/2022 10:45:40,1.16.1,RevPunish,0,4.18,nan,1,Left,Left,7,9,3,0,nan,nan,0.13
9/12/2022 10:45:40,1.16.1,RevPunish,0,4.18,nan,1,LeftDuringDispense,Left,8,9,3,0,nan,nan,0.07
9/12/2022 10:45:43,1.16.1,RevPunish,0,4.18,2,1,Pellet,Left,8,9,4,0,0.04,169,nan
9/12/2022 10:46:15,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,8,10,4,0,nan,nan,0.23
9/12/2022 10:47:15,1.16.1,RevPunish,0,4.18,nan,1,Left,Left,9,10,4,0,nan,nan,0.27
9/12/2022 10:47:20,1.16.1,RevPunish,0,4.18,1,1,Pellet,Left,9,10,5,0,4.01,97,nan
9/12/2022 10:51:09,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,9,11,5,0,nan,nan,0.25
9/12/2022 10:51:15,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,9,12,5,0,nan,nan,0.14
9/12/2022 10:51:39,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,9,13,5,0,nan,nan,0.15
9/12/2022 10:51:42,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,9,14,5,0,nan,nan,0.21
9/12/2022 10:51:51,1.16.1,RevPunish,0,4.18,nan,1,LefinTimeOut,Left,10,14,5,0,nan,nan,nan
9/12/2022 10:51:57,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,10,15,5,0,nan,nan,0.12
9/12/2022 10:51:58,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,10,16,5,0,nan,nan,0.08
9/12/2022 10:52:02,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,10,17,5,0,nan,nan,0.13
9/12/2022 10:54:16,1.16.1,RevPunish,0,4.18,nan,1,Left,Left,11,17,5,0,nan,nan,0.07
9/12/2022 10:54:20,1.16.1,RevPunish,0,4.18,1,1,Pellet,Left,11,17,6,0,3.35,420,nan
9/12/2022 11:02:28,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,11,18,6,0,nan,nan,0.17
9/12/2022 11:42:48,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,11,19,6,0,nan,nan,0.40
9/12/2022 11:43:18,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,11,20,6,0,nan,nan,0.33
9/12/2022 11:43:23,1.16.1,RevPunish,0,4.17,nan,1,Right,Left,11,21,6,0,nan,nan,0.29
9/12/2022 11:43:37,1.16.1,RevPunish,0,4.18,nan,1,LefinTimeOut,Left,12,21,6,0,nan,nan,nan
9/12/2022 11:43:40,1.16.1,RevPunish,0,4.17,nan,1,RightinTimeout,Left,12,22,6,0,nan,nan,0.19
9/12/2022 13:02:46,1.16.1,RevPunish,0,4.18,nan,1,Right,Left,12,23,6,0,nan,nan,0.20
9/12/2022 13:02:53,1.16.1,RevPunish,0,4.17,nan,1,RightinTimeout,Left,12,24,6,0,nan,nan,0.25
9/12/2022 13:02:56,1.16.1,RevPunish,0,4.18,nan,1,LefinTimeOut,Left,13,24,6,0,nan,nan,nan
9/12/2022 13:02:58,1.16.1,RevPunish,0,4.17,nan,1,RightinTimeout,Left,13,25,6,0,nan,nan,0.16
9/12/2022 13:03:12,1.16.1,RevPunish,0,4.17,nan,1,LefinTimeOut,Left,14,25,6,0,nan,nan,nan
9/12/2022 13:03:13,1.16.1,RevPunish,0,4.17,nan,1,LefinTimeOut,Left,15,25,6,0,nan,nan,nan
9/12/2022 13:03:13,1.16.1,RevPunish,0,4.18,nan,1,LefinTimeOut,Left,16,25,6,0,nan,nan,nan
9/12/2022 13:03:14,1.16.1,RevPunish,0,4.17,nan,1,LefinTimeOut,Left,17,25,6,0,nan,nan,nan
9/12/2022 13:03:18,1.16.1,RevPunish,0,4.18,nan,1,Left,Left,18,25,6,0,nan,nan,0.25
9/12/2022 13:03:21,1.16.1,RevPunish,0,4.17,1,1,Pellet,Left,18,25,7,0,2.49,7741,nan
9/12/2022 13:03:54,1.16.1,RevPunish,0,4.17,nan,1,Right,Left,18,26,7,0,nan,nan,0.22
9/12/2022 13:05:31,1.16.1,RevPunish,0,4.17,nan,1,Right,Left,18,27,7,0,nan,nan,0.33
9/12/2022 13:05:44,1.16.1,RevPunish,0,4.17,nan,1,RightinTimeout,Left,18,28,7,0,nan,nan,0.64
9/12/2022 13:05:45,1.16.1,RevPunish,0,4.17,nan,1,RightinTimeout,Left,18,29,7,0,nan,nan,0.27
9/12/2022 13:05:46,1.16.1,RevPunish,0,4.18,nan,1,RightinTimeout,Left,18,30,7,0,nan,nan,0.19
9/12/2022 15:01:06,1.16.1,RevPunish,0,4.17,nan,1,Left,Left,19,30,7,0,nan,nan,0.21
9/12/2022 15:01:23,1.16.1,RevPunish,0,4.17,7,1,Pellet,Left,19,30,8,0,2.96,7082,nan
9/12/2022 15:01:57,1.16.1,RevPunish,0,4.16,nan,1,Right,Left,19,31,8,0,nan,nan,0.29
9/12/2022 15:02:06,1.16.1,RevPunish,0,4.16,nan,1,RightinTimeout,Left,19,32,8,0,nan,nan,0.06
9/12/2022 15:02:07,1.16.1,RevPunish,0,4.17,nan,1,RightinTimeout,Left,19,33,8,0,nan,nan,0.19
9/12/2022 15:02:11,1.16.1,RevPunish,0,4.17,nan,1,LefinTimeOut,Left,20,33,8,0,nan,nan,nan
9/12/2022 15:02:14,1.16.1,RevPunish,0,4.16,nan,1,RightinTimeout,Left,20,34,8,0,nan,nan,0.30
9/12/2022 15:02:55,1.16.1,RevPunish,0,4.16,nan,1,Right,Left,20,35,8,0,nan,nan,0.25
