MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/17/2113 3:31:19,0,3.98,0,1,Poke,Left,1,0,0,nan
7/17/2113 3:37:59,0,4.00,1,1,Pellet,Left,1,0,1,1
7/17/2113 3:51:19,0,4.00,0,1,Poke,Left,2,0,1,nan
7/17/2113 3:51:41,0,3.99,3,1,Pellet,Left,2,0,2,18
7/17/2113 3:52:06,0,3.99,0,1,Poke,Left,3,0,2,nan
7/17/2113 3:52:09,0,3.99,1,1,Pellet,Left,3,0,3,1
7/17/2113 4:01:52,0,3.99,0,1,Poke,Left,4,0,3,nan
7/17/2113 4:01:56,0,4.00,1,1,Pellet,Left,4,0,4,2
7/17/2113 4:05:37,0,4.00,0,1,Poke,Left,4,1,4,nan
7/17/2113 4:05:44,0,4.00,0,1,Poke,Left,5,1,4,nan
7/17/2113 4:05:48,0,4.00,1,1,Pellet,Left,5,1,5,1
7/17/2113 4:23:09,0,4.00,0,1,Poke,Left,5,2,5,nan
7/17/2113 4:25:08,0,4.00,0,1,Poke,Left,6,2,5,nan
7/17/2113 4:25:11,0,4.00,1,1,Pellet,Left,6,2,6,0
7/17/2113 4:27:31,0,4.00,0,1,Poke,Left,7,2,6,nan
7/17/2113 4:27:35,0,3.98,1,1,Pellet,Left,7,2,7,1
7/17/2113 4:58:37,0,3.98,0,1,Poke,Left,8,2,7,nan
7/17/2113 4:58:42,0,3.99,1,1,Pellet,Left,8,2,8,3
7/17/2113 5:03:25,0,3.99,0,1,Poke,Left,9,2,8,nan
7/17/2113 5:03:29,0,3.98,1,1,Pellet,Left,9,2,9,2
7/17/2113 5:04:50,0,3.98,0,1,Poke,Left,10,2,9,nan
7/17/2113 5:06:03,0,3.98,1,1,Pellet,Left,10,2,10,70
7/17/2113 5:29:39,0,3.98,0,1,Poke,Left,11,2,10,nan
7/17/2113 5:29:49,0,3.98,1,1,Pellet,Left,11,2,11,8
7/17/2113 5:31:39,0,3.98,0,1,Poke,Left,11,3,11,nan
7/17/2113 5:36:16,0,3.98,0,1,Poke,Left,12,3,11,nan
7/17/2113 5:36:21,0,3.98,1,1,Pellet,Left,12,3,12,2
