MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/25/2020 18:13:35,1.1.45,700,4.01,0,FR1,Poke,Left,1,0,0,nan
8/25/2020 18:13:53,1.1.45,700,4.00,2,FR1,Pellet,Left,1,0,1,14
8/25/2020 18:16:00,1.1.45,700,4.00,0,FR1,Poke,Left,2,0,1,nan
8/25/2020 18:16:02,1.1.45,700,4.01,1,FR1,Pellet,Left,2,0,2,0
8/25/2020 18:17:20,1.1.45,700,4.01,0,FR1,Poke,Left,3,0,2,nan
8/25/2020 18:17:34,1.1.45,700,4.01,2,FR1,Pellet,Left,3,0,3,11
8/25/2020 18:18:55,1.1.45,700,4.01,0,FR1,Poke,Left,4,0,3,nan
8/25/2020 18:18:57,1.1.45,700,4.01,1,FR1,Pellet,Left,4,0,4,0
8/25/2020 18:19:34,1.1.45,700,4.01,0,FR1,Poke,Left,5,0,4,nan
8/25/2020 18:19:36,1.1.45,700,4.01,1,FR1,Pellet,Left,5,0,5,0
8/25/2020 18:20:16,1.1.45,700,4.02,0,FR1,Poke,Left,6,0,5,nan
8/25/2020 18:20:49,1.1.45,700,4.01,1,FR1,Pellet,Left,6,0,6,32
8/25/2020 18:20:51,1.1.45,700,4.01,0,FR1,Poke,Left,7,0,6,nan
8/25/2020 18:20:53,1.1.45,700,4.01,1,FR1,Pellet,Left,7,0,7,1
8/25/2020 18:21:28,1.1.45,700,4.01,0,FR1,Poke,Left,8,0,7,nan
8/25/2020 18:22:00,1.1.45,700,4.01,1,FR1,Pellet,Left,8,0,8,30
8/25/2020 18:22:01,1.1.45,700,4.01,0,FR1,Poke,Left,9,0,8,nan
8/25/2020 18:22:03,1.1.45,700,4.01,1,FR1,Pellet,Left,9,0,9,0
8/25/2020 18:22:32,1.1.45,700,4.01,0,FR1,Poke,Left,10,0,9,nan
8/25/2020 18:22:34,1.1.45,700,4.01,1,FR1,Pellet,Left,10,0,10,0
