MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/27/2020 17:30:37,0,3.73,0,1,Poke,Left,1,0,0,nan
7/27/2020 17:37:15,0,3.73,1,1,Pellet,Left,1,0,1,Timed_out
7/27/2020 17:42:37,0,3.73,0,1,Poke,Left,1,1,1,nan
7/27/2020 17:52:46,0,3.73,0,1,Poke,Left,2,1,1,nan
7/27/2020 17:52:50,0,3.73,1,1,Pellet,Left,2,1,2,2
7/27/2020 17:53:44,0,3.73,0,1,Poke,Left,3,1,2,nan
7/27/2020 17:53:49,0,3.73,1,1,Pellet,Left,3,1,3,3
7/27/2020 17:57:33,0,3.73,0,1,Poke,Left,3,2,3,nan
7/27/2020 18:03:42,0,3.73,0,1,Poke,Left,4,2,3,nan
7/27/2020 18:03:47,0,3.73,1,1,Pellet,Left,4,2,4,3
7/27/2020 18:07:50,0,3.73,0,1,Poke,Left,5,2,4,nan
7/27/2020 18:07:54,0,3.72,1,1,Pellet,Left,5,2,5,2
7/27/2020 18:31:34,0,3.72,0,1,Poke,Left,5,3,5,nan
7/27/2020 18:31:36,0,3.72,0,1,Poke,Left,5,4,5,nan
7/27/2020 18:32:01,0,3.72,0,1,Poke,Left,5,5,5,nan
7/27/2020 18:32:03,0,3.72,0,1,Poke,Left,5,6,5,nan
7/27/2020 18:32:07,0,3.72,0,1,Poke,Left,5,7,5,nan
7/27/2020 18:32:08,0,3.72,0,1,Poke,Left,5,8,5,nan
7/27/2020 18:32:10,0,3.72,0,1,Poke,Left,5,9,5,nan
7/27/2020 18:32:11,0,3.72,0,1,Poke,Left,5,10,5,nan
7/27/2020 18:32:18,0,3.72,0,1,Poke,Left,5,11,5,nan
7/27/2020 19:33:53,0,3.72,0,1,Poke,Left,6,11,5,nan
7/27/2020 19:33:56,0,3.72,1,1,Pellet,Left,6,11,6,1
7/27/2020 19:39:28,0,3.72,0,1,Poke,Left,7,11,6,nan
7/27/2020 19:39:36,0,3.72,1,1,Pellet,Left,7,11,7,4
7/27/2020 19:40:27,0,3.72,0,1,Poke,Left,8,11,7,nan
7/27/2020 19:40:30,0,3.71,1,1,Pellet,Left,8,11,8,1
7/27/2020 19:41:50,0,3.71,0,1,Poke,Left,9,11,8,nan
7/27/2020 19:41:53,0,3.71,1,1,Pellet,Left,9,11,9,1
7/27/2020 19:43:09,0,3.71,0,1,Poke,Left,9,12,9,nan
7/27/2020 19:43:10,0,3.71,0,1,Poke,Left,9,13,9,nan
7/27/2020 19:43:12,0,3.71,0,1,Poke,Left,9,14,9,nan
7/27/2020 19:43:13,0,3.71,0,1,Poke,Left,9,15,9,nan
7/27/2020 19:43:22,0,3.71,0,1,Poke,Left,9,16,9,nan
7/27/2020 19:43:24,0,3.71,0,1,Poke,Left,9,17,9,nan
7/27/2020 19:43:25,0,3.71,0,1,Poke,Left,9,18,9,nan
7/27/2020 19:43:56,0,3.71,0,1,Poke,Left,9,19,9,nan
7/27/2020 19:43:58,0,3.71,0,1,Poke,Left,9,20,9,nan
7/27/2020 19:43:59,0,3.71,0,1,Poke,Left,9,21,9,nan
7/27/2020 19:44:01,0,3.71,0,1,Poke,Left,9,22,9,nan
7/27/2020 19:44:20,0,3.71,0,1,Poke,Left,10,22,9,nan
7/27/2020 19:44:22,0,3.71,1,1,Pellet,Left,10,22,10,1
7/27/2020 19:45:07,0,3.71,0,1,Poke,Left,11,22,10,nan
7/27/2020 19:45:10,0,3.71,1,1,Pellet,Left,11,22,11,1
7/27/2020 19:46:39,0,3.71,0,1,Poke,Left,12,22,11,nan
7/27/2020 19:46:42,0,3.71,1,1,Pellet,Left,12,22,12,1
7/27/2020 19:47:18,0,3.71,0,1,Poke,Left,13,22,12,nan
7/27/2020 19:47:23,0,3.71,1,1,Pellet,Left,13,22,13,3
7/27/2020 19:48:07,0,3.71,0,1,Poke,Left,14,22,13,nan
7/27/2020 19:48:12,0,3.71,1,1,Pellet,Left,14,22,14,2
7/27/2020 19:48:35,0,3.71,0,1,Poke,Left,15,22,14,nan
7/27/2020 19:48:37,0,3.71,1,1,Pellet,Left,15,22,15,0
7/27/2020 19:49:01,0,3.71,0,1,Poke,Left,16,22,15,nan
7/27/2020 19:49:04,0,3.71,1,1,Pellet,Left,16,22,16,1
7/27/2020 19:49:24,0,3.71,0,1,Poke,Left,17,22,16,nan
7/27/2020 19:49:28,0,3.71,1,1,Pellet,Left,17,22,17,2
7/27/2020 19:49:49,0,3.71,0,1,Poke,Left,18,22,17,nan
7/27/2020 19:49:51,0,3.71,1,1,Pellet,Left,18,22,18,0
7/27/2020 19:50:22,0,3.71,0,1,Poke,Left,19,22,18,nan
7/27/2020 19:50:25,0,3.71,1,1,Pellet,Left,19,22,19,1
7/27/2020 19:50:38,0,3.71,0,1,Poke,Left,20,22,19,nan
7/27/2020 19:50:41,0,3.71,1,1,Pellet,Left,20,22,20,0
7/27/2020 19:52:56,0,3.71,0,1,Poke,Left,21,22,20,nan
7/27/2020 19:52:58,0,3.71,1,1,Pellet,Left,21,22,21,0
7/27/2020 19:53:48,0,3.71,0,1,Poke,Left,22,22,21,nan
7/27/2020 19:53:51,0,3.71,1,1,Pellet,Left,22,22,22,2
7/27/2020 19:54:36,0,3.71,0,1,Poke,Left,23,22,22,nan
7/27/2020 19:54:41,0,3.71,2,1,Pellet,Left,23,22,23,1
7/27/2020 19:55:04,0,3.71,0,1,Poke,Left,24,22,23,nan
7/27/2020 19:55:06,0,3.71,1,1,Pellet,Left,24,22,24,0
7/27/2020 19:55:32,0,3.71,0,1,Poke,Left,25,22,24,nan
7/27/2020 19:55:35,0,3.71,1,1,Pellet,Left,25,22,25,1
7/27/2020 19:56:02,0,3.71,0,1,Poke,Left,26,22,25,nan
7/27/2020 19:56:05,0,3.71,1,1,Pellet,Left,26,22,26,1
7/27/2020 19:56:19,0,3.71,0,1,Poke,Left,27,22,26,nan
7/27/2020 19:56:21,0,3.71,1,1,Pellet,Left,27,22,27,0
7/27/2020 20:34:35,0,3.71,0,1,Poke,Left,28,22,27,nan
7/27/2020 20:34:38,0,3.71,1,1,Pellet,Left,28,22,28,0
7/27/2020 20:35:02,0,3.71,0,1,Poke,Left,29,22,28,nan
7/27/2020 20:35:05,0,3.71,1,1,Pellet,Left,29,22,29,0
7/27/2020 20:35:43,0,3.71,0,1,Poke,Left,30,22,29,nan
7/27/2020 20:35:45,0,3.71,1,1,Pellet,Left,30,22,30,0
7/27/2020 20:36:17,0,3.71,0,1,Poke,Left,31,22,30,nan
7/27/2020 20:36:20,0,3.71,1,1,Pellet,Left,31,22,31,1
7/27/2020 20:36:30,0,3.71,0,1,Poke,Left,32,22,31,nan
7/27/2020 20:36:34,0,3.71,1,1,Pellet,Left,32,22,32,2
7/27/2020 20:36:51,0,3.71,0,1,Poke,Left,33,22,32,nan
7/27/2020 20:36:56,0,3.71,1,1,Pellet,Left,33,22,33,3
7/27/2020 20:37:23,0,3.71,0,1,Poke,Left,34,22,33,nan
7/27/2020 20:37:27,0,3.71,2,1,Pellet,Left,34,22,34,1
7/27/2020 20:38:07,0,3.71,0,1,Poke,Left,35,22,34,nan
7/27/2020 20:38:10,0,3.71,1,1,Pellet,Left,35,22,35,1
7/27/2020 20:38:41,0,3.71,0,1,Poke,Left,36,22,35,nan
