MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/8/2020 12:09:09,1.1.45,5,4.19,0,FR1,Poke,Left,1,0,0,nan
8/8/2020 12:10:22,1.1.45,5,4.20,2,FR1,Pellet,Left,1,0,1,69
8/8/2020 12:23:41,1.1.45,5,4.21,0,FR1,Poke,Left,2,0,1,nan
8/8/2020 12:23:45,1.1.45,5,4.20,1,FR1,Pellet,Left,2,0,2,1
8/8/2020 14:51:47,1.1.45,5,4.20,0,FR1,Poke,Left,3,0,2,nan
8/8/2020 14:51:51,1.1.45,5,4.18,1,FR1,Pellet,Left,3,0,3,1
8/8/2020 14:52:17,1.1.45,5,4.18,0,FR1,Poke,Left,4,0,3,nan
8/8/2020 14:52:22,1.1.45,5,4.18,2,FR1,Pellet,Left,4,0,4,1
8/8/2020 14:52:44,1.1.45,5,4.18,0,FR1,Poke,Left,5,0,4,nan
8/8/2020 14:52:48,1.1.45,5,4.18,1,FR1,Pellet,Left,5,0,5,1
8/8/2020 14:53:11,1.1.45,5,4.18,0,FR1,Poke,Left,6,0,5,nan
8/8/2020 14:53:16,1.1.45,5,4.18,2,FR1,Pellet,Left,6,0,6,2
8/8/2020 14:53:42,1.1.45,5,4.18,0,FR1,Poke,Left,7,0,6,nan
8/8/2020 14:53:47,1.1.45,5,4.18,2,FR1,Pellet,Left,7,0,7,1
8/8/2020 14:54:19,1.1.45,5,4.18,0,FR1,Poke,Left,8,0,7,nan
8/8/2020 14:54:22,1.1.45,5,4.18,1,FR1,Pellet,Left,8,0,8,1
8/8/2020 14:54:46,1.1.45,5,4.18,0,FR1,Poke,Left,9,0,8,nan
8/8/2020 14:54:49,1.1.45,5,4.18,1,FR1,Pellet,Left,9,0,9,1
8/8/2020 15:01:40,1.1.45,5,4.18,0,FR1,Poke,Left,10,0,9,nan
8/8/2020 15:01:44,1.1.45,5,4.18,1,FR1,Pellet,Left,10,0,10,2
8/8/2020 17:07:11,1.1.45,5,4.18,0,FR1,Poke,Left,11,0,10,nan
8/8/2020 17:07:15,1.1.45,5,4.18,1,FR1,Pellet,Left,11,0,11,1
8/8/2020 17:07:37,1.1.45,5,4.18,0,FR1,Poke,Left,12,0,11,nan
8/8/2020 17:07:41,1.1.45,5,4.16,1,FR1,Pellet,Left,12,0,12,2
8/8/2020 17:07:55,1.1.45,5,4.16,0,FR1,Poke,Left,13,0,12,nan
8/8/2020 17:07:58,1.1.45,5,4.16,1,FR1,Pellet,Left,13,0,13,1
8/8/2020 17:08:09,1.1.45,5,4.16,0,FR1,Poke,Left,14,0,13,nan
8/8/2020 17:08:12,1.1.45,5,4.16,1,FR1,Pellet,Left,14,0,14,1
8/8/2020 17:08:30,1.1.45,5,4.16,0,FR1,Poke,Left,15,0,14,nan
8/8/2020 17:08:35,1.1.45,5,4.16,2,FR1,Pellet,Left,15,0,15,1
8/8/2020 17:08:47,1.1.45,5,4.16,0,FR1,Poke,Left,16,0,15,nan
8/8/2020 17:08:51,1.1.45,5,4.16,1,FR1,Pellet,Left,16,0,16,1
8/8/2020 17:09:15,1.1.45,5,4.16,0,FR1,Poke,Left,17,0,16,nan
8/8/2020 17:09:18,1.1.45,5,4.16,1,FR1,Pellet,Left,17,0,17,1
8/8/2020 17:09:34,1.1.45,5,4.16,0,FR1,Poke,Left,18,0,17,nan
8/8/2020 17:09:37,1.1.45,5,4.16,1,FR1,Pellet,Left,18,0,18,1
8/8/2020 17:09:59,1.1.45,5,4.16,0,FR1,Poke,Left,19,0,18,nan
8/8/2020 17:10:01,1.1.45,5,4.16,1,FR1,Pellet,Left,19,0,19,0
8/8/2020 17:10:44,1.1.45,5,4.16,0,FR1,Poke,Left,20,0,19,nan
8/8/2020 17:10:49,1.1.45,5,4.16,2,FR1,Pellet,Left,20,0,20,1
8/8/2020 17:22:37,1.1.45,5,4.16,0,FR1,Poke,Left,21,0,20,nan
8/8/2020 17:22:41,1.1.45,5,4.15,1,FR1,Pellet,Left,21,0,21,2
8/8/2020 18:24:34,1.1.45,5,4.15,0,FR1,Poke,Left,22,0,21,nan
8/8/2020 18:24:37,1.1.45,5,4.15,1,FR1,Pellet,Left,22,0,22,1
8/8/2020 18:25:10,1.1.45,5,4.15,0,FR1,Poke,Left,23,0,22,nan
8/8/2020 18:25:17,1.1.45,5,4.15,3,FR1,Pellet,Left,23,0,23,1
8/8/2020 18:25:49,1.1.45,5,4.15,0,FR1,Poke,Left,24,0,23,nan
8/8/2020 18:25:52,1.1.45,5,4.15,1,FR1,Pellet,Left,24,0,24,1
8/8/2020 18:57:15,1.1.45,5,4.15,0,FR1,Poke,Left,24,1,24,nan
8/8/2020 19:02:43,1.1.45,5,4.15,0,FR1,Poke,Left,25,1,24,nan
8/8/2020 19:02:47,1.1.45,5,4.14,1,FR1,Pellet,Left,25,1,25,2
8/8/2020 19:03:09,1.1.45,5,4.14,0,FR1,Poke,Left,26,1,25,nan
8/8/2020 19:03:12,1.1.45,5,4.14,1,FR1,Pellet,Left,26,1,26,1
8/8/2020 19:06:14,1.1.45,5,4.14,0,FR1,Poke,Left,27,1,26,nan
8/8/2020 19:06:18,1.1.45,5,4.14,1,FR1,Pellet,Left,27,1,27,1
8/8/2020 19:07:10,1.1.45,5,4.14,0,FR1,Poke,Left,28,1,27,nan
8/8/2020 19:07:13,1.1.45,5,4.15,1,FR1,Pellet,Left,28,1,28,1
8/8/2020 19:07:33,1.1.45,5,4.15,0,FR1,Poke,Left,29,1,28,nan
8/8/2020 19:07:36,1.1.45,5,4.15,1,FR1,Pellet,Left,29,1,29,1
8/8/2020 19:08:02,1.1.45,5,4.15,0,FR1,Poke,Left,30,1,29,nan
8/8/2020 19:08:17,1.1.45,5,4.14,1,FR1,Pellet,Left,30,1,30,13
8/8/2020 19:16:57,1.1.45,5,4.14,0,FR1,Poke,Left,31,1,30,nan
8/8/2020 19:17:01,1.1.45,5,4.14,1,FR1,Pellet,Left,31,1,31,1
8/8/2020 19:24:04,1.1.45,5,4.14,0,FR1,Poke,Left,32,1,31,nan
8/8/2020 19:24:08,1.1.45,5,4.14,1,FR1,Pellet,Left,32,1,32,2
8/8/2020 19:24:35,1.1.45,5,4.14,0,FR1,Poke,Left,33,1,32,nan
8/8/2020 19:24:39,1.1.45,5,4.14,1,FR1,Pellet,Left,33,1,33,2
8/8/2020 19:39:42,1.1.45,5,4.14,0,FR1,Poke,Left,34,1,33,nan
8/8/2020 19:39:45,1.1.45,5,4.14,1,FR1,Pellet,Left,34,1,34,1
8/8/2020 19:40:09,1.1.45,5,4.14,0,FR1,Poke,Left,35,1,34,nan
8/8/2020 19:40:13,1.1.45,5,4.14,1,FR1,Pellet,Left,35,1,35,2
8/8/2020 19:40:34,1.1.45,5,4.14,0,FR1,Poke,Left,36,1,35,nan
8/8/2020 19:40:38,1.1.45,5,4.14,1,FR1,Pellet,Left,36,1,36,1
8/8/2020 19:50:42,1.1.45,5,4.14,0,FR1,Poke,Left,37,1,36,nan
8/8/2020 19:50:46,1.1.45,5,4.14,1,FR1,Pellet,Left,37,1,37,2
8/8/2020 19:53:27,1.1.45,5,4.14,0,FR1,Poke,Left,37,2,37,nan
8/8/2020 19:53:28,1.1.45,5,4.14,0,FR1,Poke,Left,37,3,37,nan
8/8/2020 19:54:12,1.1.45,5,4.14,0,FR1,Poke,Left,38,3,37,nan
8/8/2020 19:54:15,1.1.45,5,4.14,1,FR1,Pellet,Left,38,3,38,1
8/8/2020 20:52:23,1.1.45,5,4.14,0,FR1,Poke,Left,39,3,38,nan
8/8/2020 20:52:27,1.1.45,5,4.14,1,FR1,Pellet,Left,39,3,39,2
8/8/2020 20:52:59,1.1.45,5,4.14,0,FR1,Poke,Left,40,3,39,nan
8/8/2020 20:53:02,1.1.45,5,4.14,1,FR1,Pellet,Left,40,3,40,1
8/8/2020 20:54:16,1.1.45,5,4.14,0,FR1,Poke,Left,41,3,40,nan
8/8/2020 20:54:20,1.1.45,5,4.13,1,FR1,Pellet,Left,41,3,41,2
8/8/2020 20:54:57,1.1.45,5,4.13,0,FR1,Poke,Left,42,3,41,nan
8/8/2020 20:55:00,1.1.45,5,4.13,1,FR1,Pellet,Left,42,3,42,0
8/8/2020 20:55:22,1.1.45,5,4.13,0,FR1,Poke,Left,43,3,42,nan
8/8/2020 20:55:27,1.1.45,5,4.13,2,FR1,Pellet,Left,43,3,43,1
8/8/2020 20:55:53,1.1.45,5,4.13,0,FR1,Poke,Left,44,3,43,nan
8/8/2020 20:55:57,1.1.45,5,4.13,1,FR1,Pellet,Left,44,3,44,2
8/8/2020 21:02:40,1.1.45,5,4.13,0,FR1,Poke,Left,45,3,44,nan
8/8/2020 21:02:43,1.1.45,5,4.13,1,FR1,Pellet,Left,45,3,45,1
8/8/2020 21:04:01,1.1.45,5,4.13,0,FR1,Poke,Left,45,4,45,nan
8/8/2020 21:19:08,1.1.45,5,4.13,0,FR1,Poke,Left,46,4,45,nan
8/8/2020 21:19:11,1.1.45,5,4.13,1,FR1,Pellet,Left,46,4,46,1
8/8/2020 21:19:37,1.1.45,5,4.13,0,FR1,Poke,Left,47,4,46,nan
8/8/2020 21:19:40,1.1.45,5,4.13,1,FR1,Pellet,Left,47,4,47,1
8/8/2020 21:20:00,1.1.45,5,4.13,0,FR1,Poke,Left,48,4,47,nan
8/8/2020 21:20:03,1.1.45,5,4.13,1,FR1,Pellet,Left,48,4,48,1
8/8/2020 21:20:39,1.1.45,5,4.13,0,FR1,Poke,Left,48,5,48,nan
8/8/2020 21:21:23,1.1.45,5,4.13,0,FR1,Poke,Left,49,5,48,nan
8/8/2020 21:21:26,1.1.45,5,4.13,1,FR1,Pellet,Left,49,5,49,1
8/8/2020 21:21:48,1.1.45,5,4.13,0,FR1,Poke,Left,50,5,49,nan
8/8/2020 21:21:51,1.1.45,5,4.14,1,FR1,Pellet,Left,50,5,50,1
8/8/2020 21:27:06,1.1.45,5,4.14,0,FR1,Poke,Left,51,5,50,nan
8/8/2020 21:27:10,1.1.45,5,4.13,1,FR1,Pellet,Left,51,5,51,2
8/8/2020 21:27:38,1.1.45,5,4.13,0,FR1,Poke,Left,52,5,51,nan
8/8/2020 21:27:41,1.1.45,5,4.13,1,FR1,Pellet,Left,52,5,52,1
8/8/2020 22:21:40,1.1.45,5,4.13,0,FR1,Poke,Left,53,5,52,nan
8/8/2020 22:21:43,1.1.45,5,4.13,1,FR1,Pellet,Left,53,5,53,1
8/8/2020 22:22:03,1.1.45,5,4.13,0,FR1,Poke,Left,54,5,53,nan
8/8/2020 22:22:06,1.1.45,5,4.13,1,FR1,Pellet,Left,54,5,54,1
8/8/2020 22:22:23,1.1.45,5,4.13,0,FR1,Poke,Left,55,5,54,nan
8/8/2020 22:22:26,1.1.45,5,4.12,1,FR1,Pellet,Left,55,5,55,1
8/8/2020 22:22:45,1.1.45,5,4.12,0,FR1,Poke,Left,56,5,55,nan
8/8/2020 22:22:48,1.1.45,5,4.12,1,FR1,Pellet,Left,56,5,56,1
8/8/2020 22:23:10,1.1.45,5,4.12,0,FR1,Poke,Left,57,5,56,nan
8/8/2020 22:23:13,1.1.45,5,4.12,1,FR1,Pellet,Left,57,5,57,1
