MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/9/2020 16:07:27,0,4.16,0,1,Poke,Left,0,1,0,nan
6/9/2020 16:22:52,0,4.16,0,1,Poke,Left,1,1,0,nan
6/9/2020 16:25:26,0,4.15,15,1,Pellet,Left,1,1,1,144
6/9/2020 16:50:13,0,4.14,0,1,Poke,Left,2,1,1,nan
6/9/2020 16:52:32,0,4.14,2,1,Pellet,Left,2,1,2,135
6/9/2020 18:34:23,0,4.14,0,1,Poke,Left,3,1,2,nan
6/9/2020 18:35:25,0,4.12,4,1,Pellet,Left,3,1,3,55
6/9/2020 18:59:53,0,4.13,0,1,Poke,Left,3,2,3,nan
6/9/2020 19:00:10,0,4.12,0,1,Poke,Left,3,3,3,nan
6/9/2020 19:00:24,0,4.12,0,1,Poke,Left,4,3,3,nan
6/9/2020 19:00:44,0,4.13,2,1,Pellet,Left,4,3,4,17
6/9/2020 19:47:14,0,4.13,0,1,Poke,Left,4,4,4,nan
6/9/2020 19:47:15,0,4.12,0,1,Poke,Left,4,5,4,nan
6/9/2020 19:57:47,0,4.12,0,1,Poke,Left,5,5,4,nan
6/9/2020 19:58:04,0,4.12,2,1,Pellet,Left,5,5,5,14
6/9/2020 19:59:40,0,4.12,0,1,Poke,Left,6,5,5,nan
6/9/2020 19:59:47,0,4.12,2,1,Pellet,Left,6,5,6,3
6/9/2020 20:23:01,0,4.12,0,1,Poke,Left,7,5,6,nan
6/9/2020 20:23:14,0,4.11,4,1,Pellet,Left,7,5,7,6
6/9/2020 20:24:32,0,4.12,0,1,Poke,Left,7,6,7,nan
6/9/2020 20:24:34,0,4.12,0,1,Poke,Left,7,7,7,nan
6/9/2020 20:24:58,0,4.12,0,1,Poke,Left,8,7,7,nan
6/9/2020 20:25:10,0,4.12,2,1,Pellet,Left,8,7,8,5
6/9/2020 20:25:32,0,4.12,0,1,Poke,Left,9,7,8,nan
6/9/2020 20:25:59,0,4.11,4,1,Pellet,Left,9,7,9,20
6/9/2020 20:27:04,0,4.12,0,1,Poke,Left,10,7,9,nan
6/9/2020 20:27:10,0,4.12,2,1,Pellet,Left,10,7,10,1
6/9/2020 20:27:41,0,4.11,0,1,Poke,Left,11,7,10,nan
6/9/2020 20:27:47,0,4.11,2,1,Pellet,Left,11,7,11,1
6/9/2020 20:28:21,0,4.12,0,1,Poke,Left,11,8,11,nan
6/9/2020 20:28:54,0,4.12,0,1,Poke,Left,11,9,11,nan
6/9/2020 20:29:08,0,4.12,0,1,Poke,Left,12,9,11,nan
6/9/2020 20:29:27,0,4.11,15,1,Pellet,Left,12,9,12,2
6/9/2020 20:36:56,0,4.11,0,1,Poke,Left,13,9,12,nan
6/9/2020 20:37:02,0,4.11,2,1,Pellet,Left,13,9,13,3
