,MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,filename,RelativeTime,poke_int,Errors
0,2020-06-09 15:38:40,0,4.18,0,1,Poke,Left,1,0,0,NaN,FED3.CSV,0 days 00:00:00,NaN,NaN
1,2020-06-09 15:38:46,0,4.2,2,1,Pellet,Left,1,0,1,NaN,FED3.CSV,0 days 00:00:06,0 days 00:00:06,0.0
2,2020-06-09 15:38:52,0,4.18,0,1,Poke,Left,2,0,1,NaN,FED3.CSV,0 days 00:00:12,0 days 00:00:06,0.0
3,2020-06-09 15:41:49,0,4.2,1,1,Pellet,Left,2,0,2,NaN,FED3.CSV,0 days 00:03:09,0 days 00:02:57,0.0
4,2020-06-09 15:55:47,0,4.19,0,1,Poke,Left,2,1,2,NaN,FED3.CSV,0 days 00:17:07,0 days 00:13:58,1.0
5,2020-06-09 15:56:44,0,4.19,0,1,Poke,Left,2,2,2,NaN,FED3.CSV,0 days 00:18:04,0 days 00:00:57,1.0
6,2020-06-09 15:56:46,0,4.19,0,1,Poke,Left,2,3,2,NaN,FED3.CSV,0 days 00:18:06,0 days 00:00:02,1.0
7,2020-06-09 15:58:55,0,4.19,0,1,Poke,Left,2,4,2,NaN,FED3.CSV,0 days 00:20:15,0 days 00:02:09,1.0
8,2020-06-09 16:03:20,0,4.18,0,1,Poke,Left,3,4,2,NaN,FED3.CSV,0 days 00:24:40,0 days 00:04:25,0.0
9,2020-06-09 16:03:44,0,4.2,20,1,Pellet,Left,3,4,3,NaN,FED3.CSV,0 days 00:25:04,0 days 00:00:24,0.0
10,2020-06-09 16:04:17,0,4.19,0,1,Poke,Left,4,4,3,NaN,FED3.CSV,0 days 00:25:37,0 days 00:00:33,0.0
11,2020-06-09 16:04:27,0,4.2,3,1,Pellet,Left,4,4,4,NaN,FED3.CSV,0 days 00:25:47,0 days 00:00:10,0.0
12,2020-06-09 16:04:46,0,4.19,0,1,Poke,Left,5,4,4,NaN,FED3.CSV,0 days 00:26:06,0 days 00:00:19,0.0
13,2020-06-09 16:04:53,0,4.19,2,1,Pellet,Left,5,4,5,NaN,FED3.CSV,0 days 00:26:13,0 days 00:00:07,0.0
14,2020-06-09 16:07:45,0,4.19,0,1,Poke,Left,5,5,5,NaN,FED3.CSV,0 days 00:29:05,0 days 00:02:52,1.0
