MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/21/2020 16:31:13,26,4.20,0,1,Poke,Left,0,1,0,nan
2/21/2020 16:31:17,26,4.20,0,1,Poke,Left,0,2,0,nan
2/21/2020 16:31:20,26,4.20,0,1,Poke,Left,0,3,0,nan
2/21/2020 16:33:55,26,4.20,0,1,Poke,Left,1,3,0,nan
2/21/2020 16:37:17,26,4.16,22,1,Pellet,Left,1,3,1,136
2/21/2020 17:26:07,26,4.18,0,1,Poke,Left,2,3,1,nan
2/21/2020 17:26:11,26,4.16,1,1,Pellet,Left,2,3,2,2
2/21/2020 17:27:25,26,4.18,0,1,Poke,Left,3,3,2,nan
2/21/2020 17:27:31,26,4.17,2,1,Pellet,Left,3,3,3,2
2/21/2020 17:37:35,26,4.18,0,1,Poke,Left,3,4,3,nan
2/21/2020 17:53:20,26,4.18,0,1,Poke,Left,3,5,3,nan
2/21/2020 18:28:22,26,4.18,0,1,Poke,Left,4,5,3,nan
2/21/2020 18:28:29,26,4.14,2,1,Pellet,Left,4,5,4,3
2/21/2020 18:30:27,26,4.18,0,1,Poke,Left,4,6,4,nan
2/21/2020 18:30:30,26,4.17,0,1,Poke,Left,4,7,4,nan
2/21/2020 18:32:58,26,4.17,0,1,Poke,Left,4,8,4,nan
2/21/2020 18:33:15,26,4.17,0,1,Poke,Left,5,8,4,nan
2/21/2020 18:33:21,26,4.16,2,1,Pellet,Left,5,8,5,2
2/21/2020 18:34:28,26,4.18,0,1,Poke,Left,6,8,5,nan
2/21/2020 18:34:35,26,4.16,2,1,Pellet,Left,6,8,6,3
2/21/2020 18:34:57,26,4.18,0,1,Poke,Left,7,8,6,nan
2/21/2020 18:35:10,26,4.18,3,1,Pellet,Left,7,8,7,4
2/21/2020 18:36:57,26,4.17,0,1,Poke,Left,8,8,7,nan
2/21/2020 18:37:12,26,4.14,4,1,Pellet,Left,8,8,8,9
2/21/2020 18:37:30,26,4.18,0,1,Poke,Left,9,8,8,nan
2/21/2020 18:54:34,26,4.18,2,1,Pellet,Left,9,8,9,1008
2/21/2020 18:58:09,26,4.17,0,1,Poke,Left,10,8,9,nan
2/21/2020 18:58:25,26,4.14,3,1,Pellet,Left,10,8,10,11
2/21/2020 18:58:56,26,4.17,0,1,Poke,Left,11,8,10,nan
2/21/2020 18:59:09,26,4.16,4,1,Pellet,Left,11,8,11,7
2/21/2020 19:20:31,26,4.17,0,1,Poke,Left,12,8,11,nan
2/21/2020 19:20:54,26,4.13,4,1,Pellet,Left,12,8,12,17
2/21/2020 19:21:27,26,4.17,0,1,Poke,Left,13,8,12,nan
2/21/2020 19:21:32,26,4.14,2,1,Pellet,Left,13,8,13,2
2/21/2020 19:21:54,26,4.17,0,1,Poke,Left,14,8,13,nan
2/21/2020 19:21:59,26,4.16,2,1,Pellet,Left,14,8,14,2
2/21/2020 19:22:25,26,4.16,0,1,Poke,Left,15,8,14,nan
2/21/2020 20:13:39,26,4.16,2,1,Pellet,Left,15,8,15,1509
2/21/2020 20:34:03,26,4.16,0,1,Poke,Left,16,8,15,nan
2/21/2020 20:34:18,26,4.12,4,1,Pellet,Left,16,8,16,8
2/21/2020 20:34:40,26,4.16,0,1,Poke,Left,17,8,16,nan
2/21/2020 20:34:53,26,4.14,3,1,Pellet,Left,17,8,17,8
2/21/2020 20:35:23,26,4.16,0,1,Poke,Left,18,8,17,nan
2/21/2020 20:35:40,26,4.15,4,1,Pellet,Left,18,8,18,11
2/21/2020 20:36:19,26,4.15,0,1,Poke,Left,19,8,18,nan
2/21/2020 21:23:19,26,4.14,2,1,Pellet,Left,19,8,19,2
2/21/2020 21:24:42,26,4.15,0,1,Poke,Left,20,8,19,nan
2/21/2020 21:24:47,26,4.11,2,1,Pellet,Left,20,8,20,2
2/21/2020 21:24:58,26,4.15,0,1,Poke,Left,21,8,20,nan
2/21/2020 21:25:12,26,4.15,15,1,Pellet,Left,21,8,21,5
2/21/2020 21:26:04,26,4.14,0,1,Poke,Left,22,8,21,nan
2/21/2020 21:26:18,26,4.12,4,1,Pellet,Left,22,8,22,7
2/21/2020 21:26:44,26,4.14,0,1,Poke,Left,23,8,22,nan
2/21/2020 21:26:59,26,4.11,4,1,Pellet,Left,23,8,23,9
2/21/2020 21:28:00,26,4.14,0,1,Poke,Left,24,8,23,nan
2/21/2020 22:30:44,26,4.14,1,1,Pellet,Left,24,8,24,2228
2/21/2020 22:31:19,26,4.14,0,1,Poke,Left,25,8,24,nan
2/21/2020 22:31:25,26,4.12,2,1,Pellet,Left,25,8,25,1
2/21/2020 22:50:12,26,4.13,0,1,Poke,Left,26,8,25,nan
2/21/2020 22:50:31,26,4.11,4,1,Pellet,Left,26,8,26,12
2/21/2020 22:50:56,26,4.14,0,1,Poke,Left,27,8,26,nan
2/21/2020 22:51:10,26,4.14,4,1,Pellet,Left,27,8,27,8
2/21/2020 23:07:53,26,4.14,0,1,Poke,Left,28,8,27,nan
2/21/2020 23:09:09,26,4.13,2,1,Pellet,Left,28,8,28,70
2/22/2020 3:19:50,26,4.09,0,1,Poke,Left,29,8,28,nan
2/22/2020 3:19:55,26,4.08,2,1,Pellet,Left,29,8,29,1
2/22/2020 3:20:18,26,4.09,0,1,Poke,Left,30,8,29,nan
2/22/2020 3:20:35,26,4.07,4,1,Pellet,Left,30,8,30,10
2/22/2020 3:21:11,26,4.09,0,1,Poke,Left,31,8,30,nan
2/22/2020 4:17:44,26,4.09,2,1,Pellet,Left,31,8,31,3
2/22/2020 4:18:23,26,4.09,0,1,Poke,Left,32,8,31,nan
2/22/2020 4:18:32,26,4.06,2,1,Pellet,Left,32,8,32,6
2/22/2020 4:18:51,26,4.09,0,1,Poke,Left,33,8,32,nan
2/22/2020 4:19:05,26,4.09,4,1,Pellet,Left,33,8,33,8
2/22/2020 4:46:56,26,4.09,0,1,Poke,Left,33,9,33,nan
2/22/2020 4:48:48,26,4.09,0,1,Poke,Left,34,9,33,nan
2/22/2020 4:48:55,26,4.07,2,1,Pellet,Left,34,9,34,3
2/22/2020 4:49:30,26,4.08,0,1,Poke,Left,35,9,34,nan
2/22/2020 4:49:36,26,4.07,2,1,Pellet,Left,35,9,35,2
2/22/2020 4:49:47,26,4.09,0,1,Poke,Left,36,9,35,nan
