MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time,,,,,,,,,,
2/21/2020 16:20,700,4.11,0,1,Poke,Left,1,0,0,0,,,,,,,,,,
2/21/2020 16:32,700,4.11,2,1,Pellet,Left,1,0,1,10,,,,,,,,,,
2/21/2020 16:42,700,4.11,0,1,Poke,Left,1,1,1,nan,,,,,,,,,,
2/21/2020 16:56,700,4.11,0,1,Poke,Left,2,1,1,nan,,,,,,,,,,
2/21/2020 16:57,700,4.1,20,1,Pellet,Left,2,1,2,4,,,,,,,,,,
2/21/2020 17:26,700,4.11,0,1,Poke,Left,3,1,2,nan,,,,,,,,,,
2/21/2020 17:26,700,4.09,2,1,Pellet,Left,3,1,3,2,,,,,,,,,,
2/21/2020 17:27,700,4.11,0,1,Poke,Left,4,1,3,nan,,,,,,,,,,
2/21/2020 17:27,700,4.09,2,1,Pellet,Left,4,1,4,1,,,,,,,,,,
2/21/2020 17:29,700,4.1,0,1,Poke,Left,5,1,4,nan,,,,,,,,,,
2/21/2020 17:29,700,4.1,15,1,Pellet,Left,5,1,5,2,,,,,,,,,,
2/21/2020 17:32,700,4.11,0,1,Poke,Left,6,1,5,nan,,,,,,,,,,
2/21/2020 17:33,700,4.1,15,1,Pellet,Left,6,1,6,1,,,,,,,,,,
2/21/2020 17:33,700,4.1,0,1,Poke,Left,7,1,6,nan,,,,,,,,,,
2/21/2020 17:33,700,4.08,2,1,Pellet,Left,7,1,7,2,,,,,,,,,,
2/21/2020 17:36,700,4.1,0,1,Poke,Left,7,2,7,nan,,,,,,,,,,
2/21/2020 17:37,700,4.1,0,1,Poke,Left,8,2,7,nan,,,,,,,,,,
2/21/2020 17:38,700,4.08,22,1,Pellet,Left,8,2,8,5,,,,,,,,,,
2/21/2020 17:39,700,4.1,0,1,Poke,Left,8,3,8,nan,,,,,,,,,,
2/21/2020 17:39,700,4.1,0,1,Poke,Left,8,4,8,nan,,,,,,,,,,
2/21/2020 17:39,700,4.1,0,1,Poke,Left,9,4,8,nan,,,,,,,,,,
2/21/2020 17:39,700,4.08,2,1,Pellet,Left,9,4,9,1,,,,,,,,,,
2/21/2020 17:39,700,4.09,0,1,Poke,Left,10,4,9,nan,,,,,,,,,,
2/21/2020 17:39,700,4.07,4,1,Pellet,Left,10,4,10,3,,,,,,,,,,
2/21/2020 17:47,700,4.09,0,1,Poke,Left,11,4,10,nan,,,,,,,,,,
2/21/2020 18:13,700,4.09,1,1,Pellet,Left,11,4,11,1594,,,,,,,,,,
2/21/2020 18:31,700,4.09,0,1,Poke,Left,12,4,11,nan,,,,,,,,,,
2/21/2020 18:31,700,4.08,2,1,Pellet,Left,12,4,12,2,,,,,,,,,,
2/21/2020 18:32,700,4.09,0,1,Poke,Left,13,4,12,nan,,,,,,,,,,
2/21/2020 18:32,700,4.07,4,1,Pellet,Left,13,4,13,5,,,,,,,,,,
2/21/2020 18:32,700,4.09,0,1,Poke,Left,14,4,13,nan,,,,,,,,,,
2/21/2020 18:32,700,4.08,15,1,Pellet,Left,14,4,14,2,,,,,,,,,,
2/21/2020 18:33,700,4.09,0,1,Poke,Left,14,5,14,nan,,,,,,,,,,
2/21/2020 18:33,700,4.09,0,1,Poke,Left,14,6,14,nan,,,,,,,,,,
2/21/2020 18:33,700,4.09,0,1,Poke,Left,14,7,14,nan,,,,,,,,,,
2/21/2020 18:47,700,4.09,0,1,Poke,Left,15,7,14,nan,,,,,,,,,,
2/21/2020 18:47,700,4.07,4,1,Pellet,Left,15,7,15,5,,,,,,,,,,
2/21/2020 18:48,700,4.09,0,1,Poke,Left,16,7,15,nan,,,,,,,,,,
2/21/2020 18:48,700,4.07,4,1,Pellet,Left,16,7,16,6,,,,,,,,,,
2/21/2020 18:49,700,4.09,0,1,Poke,Left,17,7,16,nan,,,,,,,,,,
2/21/2020 19:08,700,4.09,15,1,Pellet,Left,17,7,17,1168,,,,,,,,,,
2/21/2020 19:17,700,4.09,0,1,Poke,Left,18,7,17,nan,,,,,,,,,,
2/21/2020 19:18,700,4.09,2,1,Pellet,Left,18,7,18,2,,,,,,,,,,
2/21/2020 19:18,700,4.09,0,1,Poke,Left,19,7,18,nan,,,,,,,,,,
