MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
2/21/2020 16:42,5,4.27,0,1,Poke,Left,1,0,0,nan
2/21/2020 16:42,5,4.12,2,1,Pellet,Left,1,0,1,1
2/21/2020 17:16,5,4.28,0,1,Poke,Left,1,1,1,nan
2/21/2020 17:51,5,4.27,0,1,Poke,Left,1,2,1,nan
2/21/2020 18:39,5,4.26,0,1,Poke,Left,2,2,1,nan
2/21/2020 18:39,5,4.26,15,1,Pellet,Left,2,2,2,7
2/21/2020 19:08,5,4.26,0,1,Poke,Left,2,3,2,nan
2/21/2020 19:29,5,4.26,0,1,Poke,Left,3,3,2,nan
2/21/2020 19:29,5,4.17,2,1,Pellet,Left,3,3,3,2
2/21/2020 19:29,5,4.26,0,1,Poke,Left,4,3,3,nan
2/21/2020 19:29,5,4.11,2,1,Pellet,Left,4,3,4,2
2/21/2020 19:30,5,4.25,0,1,Poke,Left,5,3,4,nan
2/21/2020 19:30,5,4.12,2,1,Pellet,Left,5,3,5,1
2/21/2020 19:31,5,4.26,0,1,Poke,Left,5,4,5,nan
2/21/2020 19:31,5,4.26,0,1,Poke,Left,5,5,5,nan
2/21/2020 19:31,5,4.25,0,1,Poke,Left,6,5,5,nan
2/21/2020 19:32,5,4.11,2,1,Pellet,Left,6,5,6,1
2/21/2020 19:32,5,4.26,0,1,Poke,Left,7,5,6,nan
2/21/2020 19:32,5,4.11,2,1,Pellet,Left,7,5,7,1
2/21/2020 19:32,5,4.26,0,1,Poke,Left,8,5,7,nan
2/21/2020 19:33,5,4.11,2,1,Pellet,Left,8,5,8,2
2/21/2020 19:33,5,4.25,0,1,Poke,Left,9,5,8,nan
2/21/2020 19:33,5,4.16,1,1,Pellet,Left,9,5,9,2
2/21/2020 19:34,5,4.26,0,1,Poke,Left,10,5,9,nan
2/21/2020 19:34,5,4.1,2,1,Pellet,Left,10,5,10,2
2/21/2020 19:35,5,4.25,0,1,Poke,Left,11,5,10,nan
2/21/2020 19:35,5,4.1,2,1,Pellet,Left,11,5,11,1
2/21/2020 19:35,5,4.26,0,1,Poke,Left,12,5,11,nan
2/21/2020 19:35,5,4.1,4,1,Pellet,Left,12,5,12,4
2/21/2020 19:36,5,4.25,0,1,Poke,Left,13,5,12,nan
2/21/2020 19:36,5,4.25,15,1,Pellet,Left,13,5,13,4
2/21/2020 19:37,5,4.25,0,1,Poke,Left,14,5,13,nan
2/21/2020 19:37,5,4.09,4,1,Pellet,Left,14,5,14,2
2/21/2020 20:24,5,4.25,0,1,Poke,Left,15,5,14,nan
2/21/2020 20:25,5,4.09,2,1,Pellet,Left,15,5,15,2
2/21/2020 20:25,5,4.25,0,1,Poke,Left,16,5,15,nan
2/21/2020 20:25,5,4.24,17,1,Pellet,Left,16,5,16,8
2/21/2020 20:27,5,4.25,0,1,Poke,Left,17,5,16,nan
2/21/2020 20:27,5,4.16,1,1,Pellet,Left,17,5,17,1
2/21/2020 20:28,5,4.25,0,1,Poke,Left,18,5,17,nan
2/21/2020 20:28,5,4.24,15,1,Pellet,Left,18,5,18,3
2/21/2020 20:30,5,4.25,0,1,Poke,Left,19,5,18,nan
2/21/2020 20:30,5,4.11,4,1,Pellet,Left,19,5,19,5
2/21/2020 22:22,5,4.23,0,1,Poke,Left,20,5,19,nan
2/21/2020 22:23,5,4.09,2,1,Pellet,Left,20,5,20,1
2/21/2020 22:23,5,4.23,0,1,Poke,Left,21,5,20,nan
2/21/2020 22:23,5,4.09,2,1,Pellet,Left,21,5,21,1
2/21/2020 22:23,5,4.23,0,1,Poke,Left,22,5,21,nan
2/21/2020 22:23,5,4.23,2,1,Pellet,Left,22,5,22,3
2/21/2020 22:24,5,4.23,0,1,Poke,Left,23,5,22,nan
2/21/2020 22:24,5,4.23,15,1,Pellet,Left,23,5,23,1
2/21/2020 22:25,5,4.23,0,1,Poke,Left,24,5,23,nan
2/21/2020 22:25,5,4.23,15,1,Pellet,Left,24,5,24,4
2/21/2020 22:26,5,4.23,0,1,Poke,Left,25,5,24,nan
2/21/2020 22:26,5,4.09,3,1,Pellet,Left,25,5,25,3
2/21/2020 22:26,5,4.23,0,1,Poke,Left,26,5,25,nan
2/21/2020 22:26,5,4.23,15,1,Pellet,Left,26,5,26,2
2/21/2020 23:08,5,4.23,0,1,Poke,Left,27,5,26,nan
2/21/2020 23:09,5,4.1,2,1,Pellet,Left,27,5,27,21
2/22/2020 0:32,5,4.22,0,1,Poke,Left,28,5,27,nan
2/22/2020 0:32,5,4.22,3,1,Pellet,Left,28,5,28,3
2/22/2020 0:33,5,4.22,0,1,Poke,Left,29,5,28,nan
2/22/2020 0:33,5,4.07,2,1,Pellet,Left,29,5,29,1
2/22/2020 0:33,5,4.22,0,1,Poke,Left,30,5,29,nan
2/22/2020 0:33,5,4.22,15,1,Pellet,Left,30,5,30,4
2/22/2020 0:34,5,4.22,0,1,Poke,Left,31,5,30,nan
2/22/2020 0:34,5,4.08,3,1,Pellet,Left,31,5,31,4
2/22/2020 0:34,5,4.22,0,1,Poke,Left,32,5,31,nan
2/22/2020 0:34,5,4.22,1,1,Pellet,Left,32,5,32,3
2/22/2020 0:35,5,4.22,0,1,Poke,Left,33,5,32,nan
2/22/2020 0:35,5,4.22,2,1,Pellet,Left,33,5,33,4
2/22/2020 0:35,5,4.22,0,1,Poke,Left,34,5,33,nan
2/22/2020 0:35,5,4.08,2,1,Pellet,Left,34,5,34,8
2/22/2020 0:36,5,4.22,0,1,Poke,Left,35,5,34,nan
2/22/2020 0:36,5,4.07,4,1,Pellet,Left,35,5,35,5
2/22/2020 1:08,5,4.22,0,1,Poke,Left,36,5,35,nan
2/22/2020 1:08,5,4.21,2,1,Pellet,Left,36,5,36,2
2/22/2020 1:09,5,4.22,0,1,Poke,Left,37,5,36,nan
2/22/2020 1:09,5,4.07,2,1,Pellet,Left,37,5,37,2
2/22/2020 1:10,5,4.22,0,1,Poke,Left,38,5,37,nan
2/22/2020 1:10,5,4.22,15,1,Pellet,Left,38,5,38,1
2/22/2020 1:10,5,4.22,0,1,Poke,Left,39,5,38,nan
2/22/2020 1:10,5,4.21,2,1,Pellet,Left,39,5,39,1
2/22/2020 1:11,5,4.21,0,1,Poke,Left,40,5,39,nan
2/22/2020 1:11,5,4.21,15,1,Pellet,Left,40,5,40,6
2/22/2020 1:11,5,4.22,0,1,Poke,Left,41,5,40,nan
2/22/2020 1:11,5,4.07,2,1,Pellet,Left,41,5,41,1
2/22/2020 1:12,5,4.21,0,1,Poke,Left,42,5,41,nan
2/22/2020 1:12,5,4.08,2,1,Pellet,Left,42,5,42,2
2/22/2020 1:36,5,4.21,0,1,Poke,Left,43,5,42,nan
2/22/2020 1:36,5,4.07,2,1,Pellet,Left,43,5,43,3
2/22/2020 1:37,5,4.22,0,1,Poke,Left,44,5,43,nan
2/22/2020 1:37,5,4.07,2,1,Pellet,Left,44,5,44,1
2/22/2020 2:12,5,4.21,0,1,Poke,Left,45,5,44,nan
2/22/2020 2:12,5,4.07,16,1,Pellet,Left,45,5,45,10
2/22/2020 2:12,5,4.21,0,1,Poke,Left,46,5,45,nan
2/22/2020 2:13,5,4.12,2,1,Pellet,Left,46,5,46,3
2/22/2020 2:26,5,4.21,0,1,Poke,Left,47,5,46,nan
2/22/2020 2:26,5,4.21,15,1,Pellet,Left,47,5,47,2
2/22/2020 2:26,5,4.2,0,1,Poke,Left,48,5,47,nan
2/22/2020 2:26,5,4.07,3,1,Pellet,Left,48,5,48,8
2/22/2020 2:27,5,4.21,0,1,Poke,Left,49,5,48,nan
2/22/2020 2:27,5,4.07,2,1,Pellet,Left,49,5,49,2
2/22/2020 2:27,5,4.21,0,1,Poke,Left,50,5,49,nan
2/22/2020 2:27,5,4.07,2,1,Pellet,Left,50,5,50,1
2/22/2020 3:52,5,4.2,0,1,Poke,Left,50,6,50,nan
2/22/2020 4:03,5,4.2,0,1,Poke,Left,50,7,50,nan
2/22/2020 4:04,5,4.19,0,1,Poke,Left,50,8,50,nan
2/22/2020 4:04,5,4.2,0,1,Poke,Left,50,9,50,nan
2/22/2020 4:19,5,4.2,0,1,Poke,Left,50,10,50,nan
2/22/2020 4:24,5,4.2,0,1,Poke,Left,50,11,50,nan
2/22/2020 4:27,5,4.19,0,1,Poke,Left,50,12,50,nan
2/22/2020 4:27,5,4.2,0,1,Poke,Left,50,13,50,nan
2/22/2020 4:29,5,4.2,0,1,Poke,Left,50,14,50,nan
2/22/2020 4:36,5,4.2,0,1,Poke,Left,50,15,50,nan
2/22/2020 4:53,5,4.2,0,1,Poke,Left,50,16,50,nan
2/22/2020 4:53,5,4.19,0,1,Poke,Left,51,16,50,nan
2/22/2020 4:53,5,4.11,2,1,Pellet,Left,51,16,51,2
2/22/2020 4:58,5,4.19,0,1,Poke,Left,51,17,51,nan
2/22/2020 4:58,5,4.19,0,1,Poke,Left,51,18,51,nan
2/22/2020 4:58,5,4.19,0,1,Poke,Left,51,19,51,nan
2/22/2020 4:58,5,4.2,0,1,Poke,Left,51,20,51,nan
2/22/2020 5:05,5,4.19,0,1,Poke,Left,51,21,51,nan
2/22/2020 5:05,5,4.19,0,1,Poke,Left,51,22,51,nan
2/22/2020 5:08,5,4.19,0,1,Poke,Left,51,23,51,nan
2/22/2020 5:10,5,4.2,0,1,Poke,Left,51,24,51,nan
2/22/2020 5:10,5,4.2,0,1,Poke,Left,51,25,51,nan
2/22/2020 5:13,5,4.19,0,1,Poke,Left,51,26,51,nan
2/22/2020 5:13,5,4.19,0,1,Poke,Left,51,27,51,nan
2/22/2020 5:16,5,4.19,0,1,Poke,Left,51,28,51,nan
2/22/2020 5:17,5,4.2,0,1,Poke,Left,51,29,51,nan
2/22/2020 5:41,5,4.19,0,1,Poke,Left,51,30,51,nan
2/22/2020 5:41,5,4.18,0,1,Poke,Left,51,31,51,nan
2/22/2020 5:42,5,4.19,0,1,Poke,Left,51,32,51,nan
2/22/2020 7:15,5,4.18,0,1,Poke,Left,52,32,51,nan
2/22/2020 7:15,5,4.18,2,1,Pellet,Left,52,32,52,4
2/22/2020 7:24,5,4.18,0,1,Poke,Left,52,33,52,nan
2/22/2020 7:24,5,4.17,0,1,Poke,Left,52,34,52,nan
2/22/2020 7:24,5,4.18,0,1,Poke,Left,52,35,52,nan
2/22/2020 7:24,5,4.18,0,1,Poke,Left,52,36,52,nan
2/22/2020 7:24,5,4.18,0,1,Poke,Left,52,37,52,nan
2/22/2020 7:24,5,4.17,0,1,Poke,Left,52,38,52,nan
2/22/2020 7:24,5,4.18,0,1,Poke,Left,52,39,52,nan
2/22/2020 7:28,5,4.18,0,1,Poke,Left,52,40,52,nan
2/22/2020 7:28,5,4.17,0,1,Poke,Left,52,41,52,nan
2/22/2020 10:45,5,4.16,0,1,Poke,Left,53,41,52,nan
2/22/2020 10:45,5,4.16,4,1,Pellet,Left,53,41,53,4
2/22/2020 10:55,5,4.15,0,1,Poke,Left,54,41,53,nan
2/22/2020 10:55,5,4.17,2,1,Pellet,Left,54,41,54,7
2/22/2020 14:13,5,4.15,0,1,Poke,Left,55,41,54,nan
2/22/2020 14:13,5,3.98,2,1,Pellet,Left,55,41,55,2
2/22/2020 14:14,5,4.15,0,1,Poke,Left,56,41,55,nan
2/22/2020 14:14,5,3.96,2,1,Pellet,Left,56,41,56,2
