MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Warning_Stim, Aversive_Stim, Active_Poke, Reward_Prob, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
12/12/2018 15:42:26,33,3.83,3,1,0,0,Left,NA,1,0,1,1
12/12/2018 16:08:43,33,3.83,3,1,0,0,Left,NA,2,4,2,9
12/12/2018 16:15:19,33,3.83,3,1,0,0,Left,NA,3,4,3,14
12/12/2018 16:16:39,33,3.83,4,1,0,0,Left,NA,4,4,4,4
12/12/2018 16:17:46,33,3.83,2,1,0,0,Left,NA,5,12,5,3
12/12/2018 16:18:40,33,3.83,3,1,0,0,Left,NA,6,15,6,3
12/12/2018 16:27:22,33,3.83,3,1,0,0,Left,NA,7,15,7,10
12/12/2018 16:44:21,33,3.83,3,1,0,0,Left,NA,8,72,8,8
12/12/2018 16:45:18,33,3.83,4,1,0,0,Left,NA,9,72,9,3
12/12/2018 16:50:53,33,3.83,5,1,0,0,Left,NA,10,73,10,30
12/12/2018 17:21:12,33,3.83,3,1,0,0,Left,NA,11,79,11,80
12/12/2018 17:23:12,33,3.83,4,1,0,0,Left,NA,12,79,12,2
12/12/2018 17:33:45,33,3.83,5,1,0,0,Left,NA,13,85,13,8
12/12/2018 18:30:13,33,3.82,2,1,0,0,Left,NA,14,87,14,10
12/12/2018 18:33:20,33,3.82,3,1,0,0,Left,NA,15,93,15,12
12/12/2018 18:35:06,33,3.82,3,1,0,0,Left,NA,16,93,16,2
12/12/2018 18:37:09,33,3.82,2,1,0,0,Left,NA,17,93,17,1
12/12/2018 18:38:00,33,3.82,2,1,0,0,Left,NA,18,93,18,2
12/12/2018 18:39:00,33,3.82,4,1,0,0,Left,NA,19,93,19,1
12/12/2018 18:44:46,33,3.82,2,1,0,0,Left,NA,20,93,20,3
12/12/2018 18:46:40,33,3.82,3,1,0,0,Left,NA,21,93,21,2
12/12/2018 19:23:13,33,3.82,3,1,0,0,Left,NA,23,93,22,4
12/12/2018 19:23:53,33,3.82,3,1,0,0,Left,NA,24,93,23,2
12/12/2018 19:25:22,33,3.82,2,1,0,0,Left,NA,25,93,24,5
12/12/2018 19:26:13,33,3.82,2,1,0,0,Left,NA,26,93,25,2
12/12/2018 19:27:04,33,3.82,3,1,0,0,Left,NA,27,93,26,2
12/12/2018 19:32:05,33,3.82,2,1,0,0,Left,NA,28,93,27,2
12/12/2018 19:53:50,33,3.82,3,1,0,0,Left,NA,29,93,28,2
12/12/2018 20:18:22,33,3.82,3,1,0,0,Left,NA,30,93,29,1
12/12/2018 20:20:34,33,3.81,3,1,0,0,Left,NA,31,93,30,2
12/12/2018 20:22:05,33,3.82,6,1,0,0,Left,NA,32,93,31,15
12/12/2018 20:22:46,33,3.82,2,1,0,0,Left,NA,33,93,32,1
12/12/2018 20:23:25,33,3.82,3,1,0,0,Left,NA,34,93,33,4
12/12/2018 20:24:16,33,3.82,6,1,0,0,Left,NA,35,94,34,3
12/12/2018 20:55:49,33,3.81,3,1,0,0,Left,NA,36,96,35,2
12/12/2018 20:55:59,33,3.82,2,1,0,0,Left,NA,37,96,36,3
12/12/2018 20:58:00,33,3.82,5,1,0,0,Left,NA,38,97,37,3
12/12/2018 20:58:16,33,3.82,4,1,0,0,Left,NA,39,97,38,3
12/12/2018 21:15:44,33,3.81,3,1,0,0,Left,NA,40,97,39,2
12/12/2018 21:17:06,33,3.82,3,1,0,0,Left,NA,41,97,40,2
12/12/2018 21:17:41,33,3.81,4,1,0,0,Left,NA,42,97,41,2
12/12/2018 21:45:36,33,3.81,5,1,0,0,Left,NA,44,97,42,1663
12/12/2018 21:55:36,33,3.80,3,1,0,0,Left,NA,45,97,43,2
12/12/2018 21:56:27,33,3.80,6,1,0,0,Left,NA,46,97,44,13
12/12/2018 21:57:40,33,3.81,5,1,0,0,Left,NA,47,98,45,17
12/12/2018 21:58:34,33,3.80,3,1,0,0,Left,NA,48,98,46,2
12/12/2018 22:04:12,33,3.81,5,1,0,0,Left,NA,49,98,47,291
12/12/2018 22:23:00,33,3.80,2,1,0,0,Left,NA,50,98,48,56
12/12/2018 22:25:30,33,3.80,3,1,0,0,Left,NA,51,98,49,3
12/12/2018 22:25:43,33,3.80,4,1,0,0,Left,NA,52,98,50,6
12/12/2018 23:00:19,33,3.80,2,1,0,0,Left,NA,53,98,51,2
12/12/2018 23:00:33,33,3.80,2,1,0,0,Left,NA,54,98,52,4
12/12/2018 23:07:27,33,3.80,3,1,0,0,Left,NA,55,98,53,392
12/12/2018 23:09:06,33,3.80,2,1,0,0,Left,NA,56,98,54,3
12/12/2018 23:10:31,33,3.80,3,1,0,0,Left,NA,57,98,55,77
12/12/2018 23:59:30,33,3.80,2,1,0,0,Left,NA,58,98,56,164
12/13/2018 0:15:02,33,3.80,6,1,0,0,Left,NA,59,138,57,2
12/13/2018 0:15:47,33,3.80,3,1,0,0,Left,NA,60,140,58,2
12/13/2018 0:17:57,33,3.80,2,1,0,0,Left,NA,61,140,59,122
12/13/2018 0:39:59,33,3.80,3,1,0,0,Left,NA,62,141,60,277
12/13/2018 0:41:32,33,3.79,2,1,0,0,Left,NA,63,141,61,3
12/13/2018 0:43:14,33,3.80,4,1,0,0,Left,NA,64,141,62,80
12/13/2018 0:48:04,33,3.80,2,1,0,0,Left,NA,65,142,63,61
12/13/2018 0:50:11,33,3.80,3,1,0,0,Left,NA,66,142,64,33
12/13/2018 1:28:46,33,3.80,7,1,0,0,Left,NA,67,142,65,2281
12/13/2018 1:50:57,33,3.79,2,1,0,0,Left,NA,68,142,66,2
12/13/2018 1:51:44,33,3.80,3,1,0,0,Left,NA,69,142,67,5
12/13/2018 1:52:17,33,3.79,3,1,0,0,Left,NA,70,142,68,2
12/13/2018 1:53:50,33,3.79,3,1,0,0,Left,NA,71,144,69,2
12/13/2018 1:54:45,33,3.79,3,1,0,0,Left,NA,72,144,70,5
12/13/2018 2:05:55,33,3.79,6,1,0,0,Left,NA,73,144,71,623
12/13/2018 2:30:17,33,3.79,2,1,0,0,Left,NA,74,145,72,4
12/13/2018 2:31:02,33,3.79,3,1,0,0,Left,NA,75,145,73,2
12/13/2018 2:31:47,33,3.78,6,1,0,0,Left,NA,76,145,74,17
12/13/2018 2:32:29,33,3.79,2,1,0,0,Left,NA,77,145,75,2
12/13/2018 2:33:07,33,3.79,2,1,0,0,Left,NA,78,145,76,2
12/13/2018 3:09:32,33,3.78,4,1,0,0,Left,NA,79,146,77,2
12/13/2018 3:10:08,33,3.78,4,1,0,0,Left,NA,80,146,78,3
12/13/2018 3:10:48,33,3.79,6,1,0,0,Left,NA,81,146,79,11
12/13/2018 3:14:11,33,3.78,9,1,0,0,Left,NA,82,146,80,132
12/13/2018 3:46:14,33,3.78,2,1,0,0,Left,NA,83,146,81,83
