MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time,,,,,,,,,,
2/4/2020 19:19:15,9,3.87,0,1,Poke,Left,0,1,0,nan,,,,,,,,,,
2/4/2020 19:26:50,9,3.87,0,1,Poke,Left,0,2,0,nan,,,,,,,,,,
2/4/2020 19:30:41,9,3.87,0,1,Poke,Left,1,2,0,nan,,,,,,,,,,
2/4/2020 19:53:54,9,3.87,1,1,Pellet,Left,1,2,1,350,,,,,,,,,,
2/4/2020 20:12:44,9,3.87,0,1,Poke,Left,2,2,1,nan,,,,,,,,,,
2/4/2020 20:12:54,9,3.86,1,1,Pellet,Left,2,2,2,2,,,,,,,,,,
2/4/2020 20:14:17,9,3.87,0,1,Poke,Left,2,3,2,nan,,,,,,,,,,
2/4/2020 20:20:12,9,3.87,0,1,Poke,Left,3,3,2,nan,,,,,,,,,,
2/4/2020 20:20:25,9,3.86,1,1,Pellet,Left,3,3,3,9,,,,,,,,,,
2/4/2020 20:21:19,9,3.87,0,1,Poke,Left,4,3,3,nan,,,,,,,,,,
2/4/2020 20:21:29,9,3.86,1,1,Pellet,Left,4,3,4,4,,,,,,,,,,
2/4/2020 20:24:14,9,3.87,0,1,Poke,Left,4,4,4,nan,,,,,,,,,,
2/4/2020 20:24:15,9,3.87,0,1,Poke,Left,4,5,4,nan,,,,,,,,,,
2/4/2020 20:27:34,9,3.86,0,1,Poke,Left,4,6,4,nan,,,,,,,,,,
2/4/2020 20:27:35,9,3.86,0,1,Poke,Left,4,7,4,nan,,,,,,,,,,
2/4/2020 20:28:25,9,3.86,0,1,Poke,Left,5,7,4,nan,,,,,,,,,,
2/4/2020 20:28:43,9,3.86,1,1,Pellet,Left,5,7,5,4,,,,,,,,,,
2/4/2020 20:30:02,9,3.86,0,1,Poke,Left,6,7,5,nan,,,,,,,,,,
2/4/2020 20:30:14,9,3.86,1,1,Pellet,Left,6,7,6,4,,,,,,,,,,
2/4/2020 20:32:01,9,3.86,0,1,Poke,Left,7,7,6,nan,,,,,,,,,,
2/4/2020 20:35:23,9,3.86,1,1,Pellet,Left,7,7,7,2,,,,,,,,,,
2/4/2020 20:46:55,9,3.86,0,1,Poke,Left,7,8,7,nan,,,,,,,,,,
2/4/2020 20:46:56,9,3.86,0,1,Poke,Left,7,9,7,nan,,,,,,,,,,
2/4/2020 20:47:09,9,3.86,0,1,Poke,Left,8,9,7,nan,,,,,,,,,,
2/4/2020 21:10:52,9,3.85,1,1,Pellet,Left,8,9,8,16,,,,,,,,,,
2/4/2020 21:11:49,9,3.86,0,1,Poke,Left,9,9,8,nan,,,,,,,,,,
2/4/2020 21:12:01,9,3.85,1,1,Pellet,Left,9,9,9,7,,,,,,,,,,
2/4/2020 21:12:26,9,3.86,0,1,Poke,Left,10,9,9,nan,,,,,,,,,,
2/4/2020 21:12:32,9,3.86,1,1,Pellet,Left,10,9,10,2,,,,,,,,,,
2/4/2020 21:12:53,9,3.86,0,1,Poke,Left,11,9,10,nan,,,,,,,,,,
2/4/2020 21:13:08,9,3.85,1,1,Pellet,Left,11,9,11,12,,,,,,,,,,
2/4/2020 21:13:27,9,3.86,0,1,Poke,Left,12,9,11,nan,,,,,,,,,,
2/4/2020 21:13:34,9,3.85,1,1,Pellet,Left,12,9,12,3,,,,,,,,,,
